Frage,a,b,c,d,e
"14. Passant P hat sich vor Ladenschluss in einem Kaufhaus einschließen lassen. Kaufhausdetektiv K entdeckt P und fordert ihn auf, das Kaufhaus zu verlassen. P weigert sich. K setzt bei P einen Festhaltegriff an und bringt ihn nach draußen. War die Maßnahme von K gemäß BGB gerechtfertigt?",A) Ja. P hatte eine gegenwärtige Gefahr geschaffen. K durfte P im Wege des aggressiven Notstands gemäß § 904 BGB aus dem Kaufhaus bringen,B) Ja. P hielt sich unbefugt im Kaufhaus auf. Deshalb durfte K den P im Rahmen der allgemeinen Selbsthilfe gemäß § 229 BGB nach draußen bringen,"C) Ja. P handelte in verbotener Eigenmacht in Form der Besitzstörung. K durfte den P aufgrund der Selbsthilfe des Besitzdieners gemäß §§ 859, 869 BGB nach draußen  bringen",D) Ja. Das Verhalten des P stellt einen gegenwärtigen rechtswidrigen Angriff gegen das Hausrecht des Kaufhausbetreibers dar. Deshalb durfte K den P im Rahmen der Notwehr gemäß § 227 BGB nach draußen bringen,.
"15. Gemäß §§ 855 und 860 BGB darf der Besitzdiener die Rechte ausüben, die dem Besitzer zustehen. Auf welche Fälle trifft dies zu?","A) Er darf zur Durchsetzung eines Anspruchs zugunsten des Besitzers den Täter festnehmen, wenn er der Flucht verdächtig ist",B) Er darf eine dem Besitzer weggenommene Sache dem auf frischer Tat betroffenen oder verfolgten Täter notfalls mit Gewalt abnehmen,"C) Er darf sich mit Gewalt einer Besitzstörung erwehren, die gegen den Besitzer gerichtet ist",D) Er darf eine gegen den Besitz des Besitzherrn gerichtete gegenwärtige Gefahr abwenden,.
"16. Die Wachperson F beobachtet auf der Heimfahrt vom Wachdienst, wie eine ihr unbekannte Person vor einer Gaststätte ein Fahrrad ankettet. Dieses Fahrrad wurde vor einigen Tagen aus dem Fuhrpark ihres Wachobjektes gestohlen. Die unbekannte Person betritt die Gaststätte. Darf F im Sinne der ihm übertragenen allgemeinen Selbsthilfe gemäß § 229 BGB tätig werden?",A) Ja. Er darf die Kette entfernen und das Fahrrad an sich nehmen. Damit sichert F den Anspruch auf Herausgabe des Eigentums,"B) Nein. Es kann angenommen werden, dass sich die Person längere Zeit in der Gaststätte aufhalten wird. So kann die sofort informierte Polizei noch rechtzeitig eintreffen","C) Ja. Die Person kann festgenommen werden, wenn diese sich mit dem Fahrrad unerkannt entfernen will, bevor die alarmierte Polizei eintrifft","D) Nein, da die unbekannte Person nicht auf frischer Tat bei der Wegnahme des Fahrrads betroffen wurde",.
"17. Damit die allgemeine Selbsthilfe gemäß § 229 BGB zulässig ist, müssen bestimmte Voraussetzungen erfüllt sein. Welche gehören dazu?",A) Obrigkeitliche Hilfe kann nicht rechtzeitig erlangt werden,B) Es muss ein gegenwärtiger und rechtswidriger Angriff vorliegen,C) Der Täter muss auf frischer Tat verfolgt werden,"D) Ohne sofortiges Einschreiten besteht die Gefahr, dass die Anspruchs Verwirklichung vereitelt oder wesentlich erschwert wird",.
"18. Wachperson W bewacht das Lager eines Kunden. Während eines Kontrollganges beobachtet W die Person X, die vor der Wand einer Lagerhalle steht und eine Farbspraydose hörbar schüttelt. W ist Besitzdiener. Kann W gemäß BGB eingreifen, um die Verunstaltung der Lagerhalle mit Graffiti durch X zu verhindern?","A) Ja, W kann aber erst im Sinne der allgemeinen Selbsthilfe einschreiten, wenn X begonnen hat, die Wand der Lagerhalle zu besprühen","B) Ja, W kann durch das Selbsthilferecht des Besitzdieners verhindern, dass X den Besitz des Kunden durch Graffiti stört","C) Ja, W kann den unmittelbar bevorstehenden , rechtswidrigen Angriff auf das Rechtsgut „Eigentum"" des Kunden durch Notwehr abwehren","D) Ja, W kann im Sinne des Angriffsnotstands gegen X vorgehen , um die Gefahr der Verunstaltung der Lagerhalle durch Graffiti abzuwenden",.
19. Welche Aussagen zum Besitzdiener sind gemäß § 855 BGB richtig?,"A) Ein Besitzdiener begeht verbotene Eigenmacht, wenn er im Umgang mit einer Sache nach eigenem Willen verfährt und dabei das Weisungsrecht des Besitzers missachtet","B) Der weisungsberechtigte Besitzer muss zugleich auch der Eigentümer der Sache sein, die er dem Besitzdiener überlässt","C) Besitzdiener ist, wer im Umgang mit einer Sache den Weisungen des Besitzers der Sache folgen muss und die Weisungen erfüllt, z.B. im Umgang mit Dienstfahrzeugen",D) Besitzdiener haben an den vom Besitzer übernommenen Sachen unmittelbaren Besitz,.
20. Wie unterscheiden sich die Notwehr und der Verteidigungsnotstand gemäß BGB?,"A) Bei der Notwehr droht eine Gefahr, die von einer Sache ausgeht",B) Bei der Notwehr geht ein Angriff von einem Menschen aus,C) Beim Verteidigungsnotstand geht ein Angriff von einem Menschen aus,"D) Beim Verteidigungsnotstand droht eine Gefahr, die von einer Sache ausgeht",.
"21. A wurde sein Roller gestohlen. Einige Tage später begegnet er auf der Straße dem ihm unbekannten D, der gerade mit diesem Roller wegfahren will. Was darf A gemäß § 229 BGB, allgemeine Selbsthilfe, tun?",A) Er darf dem D den Roller abnehmen und wieder in Besitz nehmen. A darf dabei den Widerstand des D beseitigen,"B) Er darf D nach einem Ausweis durchsuchen , wenn D seine Personalien nicht freiwillig nennen will","C) Er darf D festnehmen, wenn D seine Personalien nicht nennen will und versucht, unerkannt zu entkommen","D) Er darf gegen D nichts unternehmen, weil er D nicht auf frischer Tat betroffen hat",.
"22. Wann befindet sich eine Person in einer „Notwehrlage"" im Sinne der Notwehr gemäß § 227 BGB?",A) Wenn die Person grundlos von einer geistig verwirrten Person mit einer Eisenstange geschlagen wird,B) Wenn die Person von einem zehnjährigen Kind rechtswidrig und gegenwärtig angegriffen wird,C) Wenn die Person von einem herrenlosen Tier angefallen wird,D) Wenn die Person von herabstürzenden Dachziegeln getroffen und verletzt wird,.
23. Welche Aussagen zum Verteidigungsnotstand gemäß § 228 BGB sind richtig?,A) Die Notstandshandlung muss zur Abwendung der Gefahr erforderlich sein. Die Beschädigung oder Zerstörung der Sache darf nicht außer Verhältnis zu der Gefahr stehen,"B) Der Verteidigungsnotstand erlaubt die Beschädigung oder Zerstörung einer fremden Sache, um damit eine durch sie drohende Gefahr abzuwenden","C) Beim Verteidigungsnotstand kann die drohende Gefahr von Sachen, Tieren, Witterungsverhältnissen oder Menschen ausgehen","D) Die Notstandshandlung ist unzulässig, wenn der Notstandshandelnde die Gefahr selbst verursacht hat",.
24. Was beschreibt das Hausrecht?,"A) Der Hausrechtsinhaber kann bestimmen, welche Personen sich in seinem Hausrechtsbereich aufhalten dürfen",B) Der Hausrechtsinhaber kann Verhaltensregeln für seinen Hausrechtsbereich festlegen,"C) Der Hausrechtsinhaber muss zustimmen, wenn Personen mit Sonderzugangsrechten seinen Hausrechtsbereich betreten wollen","D) Der Hausrechtsinhaber darf in seinem Hausrechtsbereich tun und lassen, was er will",.
25. Welche der Delikte sind Vergehen?,A) Unterschlagung,B) Nichtanzeige geplanter Straftaten,C) Schwere Körperverletzung,D) Räuberischer Diebstahl,.
"26. Die Straftat wird allgemein als eine tatbestandsmäßige, rechtswidrige und schuldhafte Handlung eines Menschen dargestellt. Wobei handelt es sich im strafrechtlichen Sinne um eine schuldhafte menschliche Handlung?","A) Wenn eine Person bei einem Unglücksfall keine Hilfe leistet, obwohl dies möglich und zumutbar wäre",B) Wenn sich eine Person im Zustand der Bewusstlosigkeit bewegt und dabei eine andere Person verletzt,C) Wenn eine Person in rechtswidriger Zueignungsabsicht eine fremde bewegliche Sache einem anderen wegnimmt,D) Wenn ein 12-jähriger Schüler gewollt einen anderen Schüler mittels einer Ohrfeige körperlich misshandelt,.
27. Welche Aussagen zum Diebstahl (§ 242 StGB) und zur Unterschlagung (§ 246 StGB) sind richtig?,A) Bei beiden Delikten ist der Versuch straflos,B) Bei beiden Delikten handelt es sich um Vergehen,C) Bei beiden Delikten handelt es sich um Offizialdelikte,D) Bei beiden Delikten handelt es sich um Antragsdelikte,.
28. Welche Aussage/n zur Verteidigungshandlung bei der Notwehr gemäß § 32 StGB ist/sind  richtig?,A) Die Abwehr des Angriffs kann als Gegenangriff erfolgen,"B) Es ist zur Abwehr stets das Mittel einzusetzen, welches in seiner Intensität dem Mittel des Angriffs entspricht","C) Sofern mehrere Mittel zur Abwehr des Angriffs zur Verfügung stehen, ist das mildeste und geeignetste Mittel zu wählen",D) Bei einem Angriff auf das Eigentum darf nicht auf das höherwertige Rechtsgut der Gesundheit des Angreifers eingewirkt werden,.
29. Welche Aussagen zur Notwehr gemäß § 32 StGB sind richtig?,A) Die Notwehr ist ein Rechtfertigungsgrund,B) Die Notwehr ist ein Entschuldigungsgrund,C) Die Notwehr ist zulässig gegen Angriffe von gefährlichen Tieren,"D) Die Notwehr erlaubt nur die Verletzung von Rechtsgütern des Angreifers, z.B. die körperliche  Unversehrtheit",.
30. Welche Aussage trifft auf Vergehen im Sinne des StGB zu?,"A) Bei Vergehen ist die Strafverfolgung erst dann möglich, wenn ein Strafantrag gestellt wurde",B) Bei Vergehen ist nur Vorsatz oder Unterlassen strafbar,"C) Bei Vergehen ist der Versuch nur strafbar, wenn er durch das Gesetz ausdrücklich mit Strafe bedroht ist",D) Bei Vergehen ist der Versuch stets strafbar,.
"31. Der Hausfriedensbruch gemäß § 123 StGB nennt geschützte Örtlichkeiten wie Wohnung, Geschäftsräume oder befriedetes Besitztum. Was zählt zum befriedeten Besitztum?",A) Rohbau bzw. Baustelle,B) Umzäuntes Betriebsgelände,C) Personenkraftwagen,D) Mobile Verkaufsbuden,.
32. Wer begeht eine strafbare Freiheitsberaubung gemäß § 239 StGB?,A) Wer einen Menschen gegen dessen Willen an einen Baum ankettet,B) Wer einen Menschen bei Begehung eines Diebstahls gemäß § 127 Abs. 1 StPO vorläufig festnimmt,"C) Wer unbefugt alle Ausgänge eines Gebäudes blockiert, sodass niemand nach Hause gehen kann","D) Wer einen Menschen in einen Raum einsperrt, der sich im Erdgeschoß befindet und mit leicht zu öffnenden Fenstern ausgestattet  ist.",.
33. Welche Aussagen zum Strafantrag sind gemäß StGB richtig?,A) Der Strafantrag ist vom Geschädigten zu stellen,"B) Der Strafantrag ist erforderlich, um Schadensersatzansprüche durchsetzen zu können",C) Der Strafantrag muss schriftlich gestellt werden,D) Der Strafantrag ist innerhalb eines Jahres nach Kenntnis von Tat und Täter zu stellen,.
"34. Wann liegt der besonders schwere Fall des Diebstahls gemäß §§ 242, 243 StGB vor?",A) Wenn der Täter die Hilflosigkeit einer anderen Person ausnutzt und ihr die Geldbörse aus der Hosentasche stiehlt,B) Wenn der Täter eine Geldbörse aus einem offenen Einkaufskorb stiehlt,C) Wenn der Täter aus einem Museum ein nicht gesichertes Ausstellungsstück stiehlt,D) Wenn der Täter in einem Kaufhaus Parfüm im Wert von 30 Euro stiehlt,.
"35. Was bedeutet der Grundsatz „Keine Strafe ohne Gesetz"" gemäß StGB?","A) Eine Person darf nur bestraft werden, wenn ihr Verhalten einen gesetzlich umschriebenen Tatbestand erfüllt",B) Dieser im Grundgesetz verankerte Grundsatz dient der Einschränkung staatlicher Willkür,"C) Dieser Grundsatz gilt nur für Straftatbestände, die im StGB beschrieben werden","D) Dieser Grundsatz umfasst auch, dass Strafgesetze rückwirkend erlassen und angewendet werden können",.
36. Kaufhausdetektiv K soll im Zusammenhang mit einem Diebstahl als Zeuge aussagen. Was muss K als Zeuge gemäß StPO beachten?,"A) K darf sich als Zeuge bei der Vernehmung keiner schriftlichen Unterlagen bedienen, um seine Erinnerungen aufzufrischen","B) K ist verpflichtet, wahrheitsgemäß auszusagen, sofern die StPO keine Ausnahme zulässt, etwa das Auskunftsverweigerungsrecht","C) K ist verpflichtet, zum festgesetzten Termin zur Vernehmung vor dem Richter zu erscheinen","D) K muss zur Zeugenvernehmung nur dann erscheinen, wenn er schriftlich und unter Einhaltung einer Frist von zwei Wochen geladen wird",.
37. Welche Unfälle sind über die für das Bewachungsgewerbe zuständige Verwaltungs-Berufsgenossenschaft  versichert?,A) Arbeitsunfälle,B) Wegeunfälle,C) Häusliche Unfälle,D) Freizeitunfälle,.
"38. Welche Pflichten beschreibt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, für den Unternehmer?","A) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal anhand der Dienstanweisung vor Aufnahme der Tätigkeit und darüber hinaus regelmäßig unterwiesen wird","B) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal jährlich einer arbeitsmedizinischen Untersuchung unterzogen wird, um die körperliche Eignung zu überprüfen","C) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal die Dienstanweisung wöchentlich zur Kenntnis nimmt und dies mit seiner Unterschrift bestätigt","D) Er muss dafür sorgen, dass für Geldtransporte nur Personen eingesetzt werden, die mindestens 18 Jahre alt, persönlich zuverlässig, geeignet sowie für diese Aufgabe besonders ausgebildet und in diese eingewiesen sind",.
"39. Die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, verbietet den Genuss von Alkohol und anderen berauschenden Mitteln während der Dienstzeit und in einem angemessenen Zeitraum vor Dienstantritt. Was sind „andere berauschende Mittel""?","A) Medikamente, die die Reaktionsfähigkeit beeinträchtigen",B) Koffein- und nikotinhaltige Genussmittel,C) Energydrinks,D) Betäubungsmittel,.
"40.Welche Aussagen zur Ausrüstung sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?",A) Sie muss immer auf dem neuesten technischen Stand sein,B) Sie muss sich in einem ordnungsgemäßen Zustand befinden,C) Sie muss vor Witterungseinflüssen schützen und wasserabweisend sein,D) Sie darf die Bewegungsfreiheit nicht mehr als nach den Umständen unvermeidbar beeinträchtigen,.
"41. Wofür sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, besondere Befähigungsnachweise für Wach- und Sicherungstätigkeiten erforderlich?",A) Für das Führen von Diensthunden,B) Für das Begleiten von Besuchern,C) Für die Durchführung von Eingangskontrollen,D) Für das Führen von Schusswaffen,.
42. Während eines Kontrollgangs entdeckt eine Wachperson eine nicht abgesicherte Gefahrenstelle. Was muss die Wachperson im Sinne der Unfallverhütung tun?,"A) Sie muss die Gefahrenstelle, soweit möglich und zumutbar, unverzüglich absichern",B) Sie muss das Ereignis im Wachbuch eintragen. Weitere Pflichten hat sie nicht,"C) Sie muss unverzüglich damit beginnen, den Grund für die Gefahrenstelle zu ermitteln",D) Sie muss gemäß der Dienstanweisung den Sachverhalt sofort der zuständigen Stelle melden,.
"43. Welche Voraussetzungen müssen Diensthunde gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, erfüllen?","A) Als Diensthunde dürfen Leihhunde eingesetzt werden, wenn diese eine tägliche Gesamtbelastungsdauer von zwölf Stunden leisten können",B) Bösartige Diensthunde dürfen nur durch erfahrene Hundeführer und mit Maulkorb geführt werden,C) Ungeprüfte Hunde dürfen unter bestimmten Voraussetzungen für Wahrnehmungs- und Meldeaufgaben eingesetzt werden,"D) Als Diensthunde sind nur Hunde geeignet, die für die vorgesehenen Aufgaben ausgebildet sind und eine entsprechende Prüfung mit Erfolg abgelegt haben",.
"44. Welche Aussagen zur Dienstanweisung sind gemäß Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?",A) In der Dienstanweisung können zur Durchsetzung von Ordnungsregeln im Wachobjekt auch Polizeibefugnisse übertragen werden,B) Das Verhalten des Wach- und Sicherungspersonals und das Weitermelden von Mängeln und besonderen Gefahren ist in der Dienstanweisung zu regeln,C) Vor jedem Dienstbeginn muss die Kenntnisnahme der Dienstanweisung durch Unterschrift bestätigt werden,"D) Wachpersonen , die die Dienstanweisung nicht befolgen, begehen eine Ordnungswidrigkeit",.
45. Welche Aussage zu den Anscheinswaffen ist gemäß WaffG richtig?,A) Sie weisen Funktionen von Schusswaffen auf. Mit ihnen werden Geschosse durch einen Lauf getrieben,"B) Sie sind Gegenstände, die mit gebräuchlichen Werkzeugen so umgebaut werden können, dass aus ihnen Geschosse verschossen werden können","C) Sie sind Nachbildungen von Schusswaffen, die äußerlich den Anschein von Feuerwaffen hervorrufen","D) Anscheinswaffen dürfen in der Öffentlichkeit geführt werden, da sie keine Gefahr für andere darstellen",.
46. Eine Wachperson hat ein behördlich zugelassenes Elektroimpulsgerät im persönlichen Besitz. Zum Eigenschutz führt sie diesen Gegenstand im Dienst bei sich. Ist diese Handlungsweise erlaubt?,"A) Nein, wenn die Wachperson keine Erlaubnis von ihrem Arbeitgeber hat","B) Ja, wenn der Auftraggeber zugestimmt hat","C) Ja, zum Eigenschutz sind behördlich zugelassene Verteidigungsmittel immer erlaubt","D) Ja, wenn das Elektroimpulsgerät über ein PTB-Prüfzeichen verfügt",.
"47. Welche Aussagen für die Erteilung einer „Waffenbesitzkarte"" sind gemäß WaffG richtig?","A) Für die Erteilung einer Waffenbesitzkarte für Schusswaffen sind Art, Anzahl und Kaliber der Schusswaffen anzugeben",B) Die Erlaubnis zum Erwerb und Besitz von Schusswaffen wird durch Eintragung in einen Waffenschein erteilt,C) Innerhalb von zwei Wochen muss der zuständigen Behörde der Erwerb schriftlich oder elektronisch angezeigt und die Waffenbesitzkarte zur Eintragung des Erwerbs vorgelegt werden,"D) Die Erlaubnis zum Erwerb einer Schusswaffe gilt für die Dauer von drei Monaten, die Erlaubnis zum Besitz wird auf ein Jahr befristet",.
48. Welche der folgenden Voraussetzungen müssen/ muss zum Erwerb einer Schusswaffe gegeben sein? ,A) Vollendung des 25. Lebensjahres ,B) Nachweis eines Bedürfnisses,C) Die Person besitzt einen gültigen Waffenschein,D) Nachweis der Waffensachkunde und Zuverlässigkeit ,.
49. Warum werden Mitarbeitergespräche geführt?,A) Zur Ermittlung der Zufriedenheit der Mitarbeiter,B) Zur Verdeutlichung der Hierarchieunterschiede,C) Zur Verhinderung von Gerüchten und Stärkung des gegenseitigen Vertrauens,D) Zur Weitergabe von internen Firmeninformationen des Auftraggebers,.
50. Was bewirken Gesten als Ausdrucksmittel der nonverbalen Kommunikation am ehesten?,A) Sie verbessern die Verständlichkeit des Gesagten,B) Sie verfälschen das Gesagte,C) Sie ermöglichen in allen Kulturen Verständigung,D) Sie stören die Kommunikation und lenken den Zuhörer ab,.
51. Mitarbeitergespräche sind ein wichtiges Instrument zur Mitarbeiterführung. Welche Grundsätze gelten für solche Gespräche?,A) Der Vorgesetzte lädt die Mitarbeiter frühzeitig zum Gespräch ein,B) Der Vorgesetzte spielt seine größere Gesprächserfahrung und höhere Position aus,C) Der Vorgesetzte informiert die Mitarbeiter vorher nicht über den Gesprächsanlass,D) Der Vorgesetzte fasst am Ende des Gesprächs die Ergebnisse kurz zusammen,.
"52. Wozu dient das sogenannte „aktive Zuhören""?",A) Es soll Vertrauen zum Gesprächspartner aufbauen,"B) Es soll ermöglichen, den Gesprächspartner zu manipulieren",C) Es soll dem Gesprächspartner Wertschätzung signalisieren,D) Es soll die Kontrolle über den Gesprächspartner ermöglichen,.
53.Was sollte bei der Kommunikation mit Geflüchteten beachtet werden?,A) Fragen stellen und aktiv zuhören,B) Bei Schwierigkeiten Ordnungsregeln in jedem Fall durchsetzen,C) Ausschließlich auf der Sachebene kommunizieren,"D) Eigene Werte transparent machen, ohne dabei zu belehren",.
54. In welchen Fällen wird Stress positiv empfunden?,A) Wenn er durch eine besonders schwierige Aufgabe ausgelöst wird,B) Wenn er durch Angst ausgelöst wird,C) Wenn er durch eine angestrebte Beförderung ausgelöst wird,D) Wenn er durch ein erfolgreiches Bewerbungsgespräch ausgelöst wird,.
55. Ein Mitarbeiter ist unentschuldigt mehrfach zu spät zum Dienst erschienen. Was ist beim Mitarbeitergespräch zu beachten?,A) Mit dem Mitarbeiter ist ein Vieraugengespräch zu führen,B) Der Mitarbeiter ist vor den anderen Kollegen zu kritisieren,C) Die Kritik ist emotional vorzubringen,D) Die Eigenverantwortung des Mitarbeiters ist zu fördern,.
56. In welchen Fällen kann negativer Stress ausgelöst werden?,A) Wenn routinemäßig eine Tätigkeit mit viel Erfahrung ausgeübt wird,B) Wenn ein Mitarbeiter bei der Ausübung neuer Tätigkeiten überfordert ist,C) Wenn leichte Bürotätigkeiten ohne hohe Anforderungen verrichtet werden,D) Wenn in Räumen bei höhen Temperaturen und Lärm gearbeitet werden muss,.
"57. Was ist im Umgang mit einer wütenden Person hilfreich, um deeskalierend zu wirken?",A) Die Situation auf der Beziehungsebene zu Ende bringen. Die Sachebene ist nicht hilfreich,B) Die andere Person zur Ruhe kommen lassen und Verständnis zeigen,"C) Wenn die Person beleidigend wird, laut werden und mit Folgen drohen",D) Selbstbeherrscht sein und mit Emotionen offen umgehen,.
58. Wachpersonen sollen auch in schwierigen Situationen Ruhe bewahren. Was kann dazu beitragen?,A) Bei Aggression mit Gegen Aggression reagieren,B) Beleidigungen im Dienst nicht persönlich nehmen,C) Ausreichend Abstand zum Gegenüber halten,D) Den eigenen Standpunkt stets lautstark vertreten,.
59. Was sollte im Umgang mit Gruppen beachtet werden?,A) Sich provozieren lassen,B) Sich neutral verhalten,C)  Sich mit der ganzen Gruppe unterhalten,D) Sich mit der Gruppe verbünden,.
60. Wodurch wird Deeskalation gefördert?,A) Durch die Veränderung der Sichtweise auf aggressives Verhalten,B) Durch die konsequente Durchsetzung des Hausrechts,C) Durch die Verminderung gewaltauslösender Faktoren,D) Durch das Eindämmen des freien Willens des Gegenübers,.
