Frage,a,b,c,d,e
12. Wann gilt die DS-GVO?,A) Sie gilt für die ganz oder teilweise automatisierte Verarbeitung personenbezogener Daten ,B) Sie gilt für die Verarbeitung personenbezogener Daten zu familiären Zwecken ohne Bezug zu einer oder wirtschaftlichen Tätigkeit ,"C) Sie gilt für die nichtautomatisierte Verarbeitung personenbezogener Daten, die in einem Dateisystem sind oder gespeichert werden sollen ","D) Sie gilt für die Verarbeitung personenbezogener Daten durch die Strafverfolgungsbehörden zum Zwecke Aufdeckung und Verfolgung von Straftaten 
",.
13. Welche Aussagen zur „Selbsthilfe des Besitzdieners“ sind gemäß §§ 860 und 855 BGB richtig? ,"A) Der Besitzdiener darf eine dem Besitzer weggenommene Sache auch Tage später dem Dieb abnehmen, um sie dem Besitzer zurückzugeben ","B) Der Besitzdiener darf bei verbotener Eigenmacht nur eingreifen, wenn er sich zuvor vom Eigentümer die Zustimmung eingeholt hat ",C) Der Besitzdiener darf eine dem Besitzer weggenommene Sache dem auf frischer Tat betroffenen oder Täter notfalls mit angemessener Gewalt abnehmen ,"D)  Der Besitzdiener darf eine Person, die sich unbefugt im Hausrechtsbereich aufhält, vom Objekt verweisen oder mit angemessener Gewalt entfernen ",.
14. Wann darf sich der Besitzer gemäß BGB verbotener Eigenmacht mit Gewalt erwehren?,A)  Wenn er eine Person am unbefugten Betreten seines Warenlagers hindern will,B) Wenn er einen Angriff gegen sein Leben abwenden will,"C) Wenn er verhindern will, dass sein geparkter PKW mutwillig beschädigt wird","D) Wenn er verhindern will, dass sein falsch geparkter PKW von einem Abschleppunternehmen abtransportiert wird. Die Polizei hat das Abschleppunternehmen dazu beauftragt",.
"15. Dürfen Wachpersonen zur Aufrechterhaltung der betrieblichen Sicherheit und Ordnung und zum Schutz von Leib, Leben sowie weiterer Rechtsgüter in die Rechte Dritter eingreifen? ","A) Ja, sie dürfen in die Rechte Dritter zur Durchsetzung von Sicherheitsinteressen des Auftraggebers uneingeschränkt eingreifen ","B) Ja, sie dürfen Befugnisse wie die Notwehr und Notstände zugunsten eines Auftraggebers unter Beachtung des Grundsatzes der Erforderlichkeit einsetzen ","C) Ja, sie dürfen im Rahmen der Wahrnehmung des Hausrechts des Auftraggebers das unbefugte Betreten des Betriebsgeländes und der Betriebsgebäude untersagen ","D) Nein, weil Wachpersonen nicht die Eigenschaft und Befugnisse eines Polizeivollzugsbeamten besitzen ",.
"16. Wann ist die,,Selbsthilfe des Besitzers"" gemäß § 859 BGB zulässig?",A) Sie ist zulässig in Form der Besitzwehr bei beweglichen Sachen und Grundstücken ,"B) Sie ist zulässig in Form der Besitzkehr bei beweglichen Sachen, wenn der Täter auf frischer Tat betroffen oder verfolgt wird ","C) Sie ist zulässig in Form der Besitzkehr bei Grundstücken, wenn der Täter auf frischer Tat betroffen wird ","D) Sie ist zulässig in Form der Besitzwehr oder Besitzkehr, wenn der Täter widerrechtlich und schuldhaft handelt",.
"17. Welche Rechte besitzt der Eigentümer gemäß § 903 BGB, soweit nicht das Gesetz oder Rechte Dritter entgegenstehen? ","A) Er darf für Besucher, die seine Geschäftsräume betreten wollen, eine Hausordnung erstellen ","B) Er darf andere Personen von jeder Einwirkung auf sein Eigentum ausschließen, um z. B. die unbefugte Wegnahme oder Benutzung zu verhindern ","C) Er darf Passanten verbieten, sein Betriebsgelände von öffentlichen Straßen aus zu fotografieren","D) Er darf als Eigentümer seiner Geschäftsräume eine Betriebsprüfung, z.B. durch die Gewerbebehörde, verwehren ",.
"18. Welche Aussagen zum ,,Eigentum"" sind richtig? ",A) Eigentum wird durch Art. 14 GG als Grundrecht geschützt ,B) Eigentum darf nicht eingeschränkt werden ,C) Eigentum kann durch Gesetze eingeschränkt werden ,D) Eigentum darf nur durch Notstandsbestimmungen geschützt werden ,.
19. Welche Aussage zur „Unerlaubten Handlung“ gemäß § 823 BGB ist richtig? ,A) Unerlaubte Handlungen werden mit Geldbußen geahndet ,B) Unerlaubte Handlungen lösen in der Regel Schadensersatzpflichten aus,C) Unerlaubte Handlungen werden mit Geldstrafe geahndet ,D) Unerlaubte Handlungen bestehen auch in der Verletzung von Vertragspflichten ,.
20. Welche Aussagen zu den Rechtfertigungsgründen im BGB sind richtig? ,A) Die Gewaltanwendung ist nur unter den gesetzlich festgelegten Voraussetzungen zum Schutz oder zur Durchsetzung von Rechten gestattet ,B) Die Rechtfertigungsgründe dürfen nur zum Schutz eigener Rechtsgüter angewendet werden ,"C) Grundsätzlich ist nur der Staat zur Gewaltanwendung befugt. Nur die Rechtfertigungsgründe, wie z. B. die Notwehr, erlauben dem Bürger im privaten Bereich die Gewaltanwendung ","D) Wenn die gesetzlich festgelegten Voraussetzungen der Rechtfertigungsgründe im BGB beachtet werden, besteht in keinem Fall die Pflicht zum Schadensersatz ",.
21. Welche Aussagen zum „Besitzdiener“ gemäß BGB sind richtig? ,A) Er hat kein eigenes Selbsthilferecht. Er darf lediglich die vom Besitzer übertragenen Selbsthilferechte in dessen Interesse ausüben ,B) Er hat die gleichen Selbsthilferechte wie der Besitzer. Er darf eine entzogene Sache auch nach Tagen dem Dieb mittels Besitzkehr wieder abnehmen,"C) Er darf im Namen des Besitzers eine unbekannte Person, die widerrechtlich das Schutzobjekt betreten hat, mit angemessener Gewalt entfernen","D) Er darf die vom Besitzer übertragenen Selbsthilferechte auch dann ausüben, wenn die Besitzstörung oder Besitzentziehung nicht mehr gegenwärtig ist ",.
22. Wann befindet sich eine Person in einer „Notwehrlage“ im Sinne der Notwehr gemäß § 227 BGB? ,A) Wenn die Person grundlos von einer geistig verwirrten Person mit einer Eisenstange geschlagen wird ,B) Wenn die Person von einem 10-jährigen Kind rechtswidrig und gegenwärtig angegriffen wird ,C) Wenn die Person von einem herrenlosen Tier angefallen wird ,D) Wenn die Person von herabstürzenden Dachziegeln getroffen und verletzt wird ,.
"23. In einem vollbesetzten Bierzelt schubst eine betrunkene Person einen anderen Gast von seinem Sitzplatz. Der Gast bittet eine anwesende Wachperson, ihm seinen Sitzplatz wieder zu beschaffen. Darf die Wachperson dem Gast helfen? ","A) Die Wachperson darf dem Gast helfen. Die betrunkene Person hat in verbotener Eigenmacht gehandelt. Voraussetzung ist aber, dass obrigkeitliche Hilfe nicht sofort zur Stelle ist ",B) Die Wachperson darf dem Gast helfen. Die betrunkene Person hat in verbotener Eigenmacht gehandelt. Der Gast darf sich auf die Selbsthilfe des Besitzers berufen. Dabei darf sich der Gast im Rahmen der Erforderlichkeit der Hilfe der Wachperson bedienen ,"C)  Die Wachperson darf dem Gast nicht helfen. Die Wachperson kann den Gast nur darauf hinweisen, dass er sich gegen die von der betrunkenen Person ausgeübte verbotene Eigenmacht mit Gewalt erwehren darf. ","D) Die Wachperson darf dem Gast nicht helfen. Das Verhalten der betrunkenen Person ist weder ein Notwehrfall noch ein Notstandsfall, sodass ein Einschreiten gegen die betrunkene Person unzulässig ist ",.
24. In welchen Fällen ist der Handelnde gemäß BGB grundsätzlich zum Schadensersatz verpflichtet? ,"A) Im Falle von verbotener Eigenmacht, wenn durch diese ein Schaden entstanden ist ",B)  Im Falle eines Verteidigungsnotstandes ,C)  Im Falle einer unerlaubten Handlung ,D) Im Falle einer Notwehr,.
"25. Welche Aussagen zur „,Unterschlagung“ gemäß § 246 StGB sind richtig? ","A)  Unterschlagung liegt z.B. vor, wenn eine Person eine auf der Straße gefundene Sache in der Absicht einsteckt, diese zu behalten",B) Die Unterschlagung schützt das Rechtsgut „Eigentum“ ,C) Bei der Unterschlagung nimmt der Täter einem anderen eine bewegliche Sache mit Gewalt weg ,D) Die Unterschlagung ist auch bei fahrlässiger Begehung strafbar ,.
26. In welchen Fällen ist die Notwehr gemäß § 32 StGB in der Regel nicht geboten? ,A) Bei einer absichtlichen Provokation ,B) Wenn der Angreifer alkoholisiert ist ,"C) Bei einem Bagatellangriff, z.B. bei einer bedeutungslosen Unhöflichkeit ",D) Bei einem waffenlosen Angriff durch ein sechsjähriges Kind,.
"27. K betritt ein Kaufhaus, versteckt sich und lässt sich nach Geschäftsschluss einschließen. Nach einer Weile hat er verschiedene Elektroartikel in seinem Rucksack verstaut und will das Kaufhaus verlassen. Kaufhausdetektiv P stellt K und verhindert, dass K mit der Beute flüchtet. P hält K bis zum Eintreffen der alarmierten Polizei fest. Auf welche Rechtfertigungsgründe kann P sein Einschreiten stützen? ",A) Auf die „Vorläufige Festnahme“ gemäß § 127 Abs. 1 StPO ,"B) Auf den „Rechtfertigenden Notstand"" gemäß § 34 StGB ","C) Auf den Entschuldigenden Notstand"" gemäß § 35 StGB ",D) Auf die Notwehr gemäß § 32 StGB ,.
28. Wachperson S nimmt die Person B ungerechtfertigt im Sinne von § 127 Abs. 1 StPO fest. Dabei wird B verletzt. Hat sich S möglicherweise strafbar gemacht? ,"A) Ja, wegen falscher Verdächtigung gemäß § 164 StGB ","B) Ja, wegen fahrlässiger Körperverletzung gemäß §§ 223, 229 StGB ","C) Ja, wegen Beleidigung gemäß § 185 StGB ","D) Ja, wegen Freiheitsberaubung gemäß § 239 StGB ",.
"29 Welche Aussagen zum „,Allgemeinen Teil"" des StGB sind richtig? ","A) Er regelt, dass rechtswidrige Taten nach der Strafandrohung in Verbrechen und Vergehen eingeteilt werden. Diese Einteilung erfolgt nach der jeweils angedrohten Höchststrafe","B) Er enthält Aussagen über die Grundlagen der Strafbarkeit, z.B. zum Unterschied zwischen Vorsatz und Fahrlässigkeit ","C) Er bestimmt, dass menschliches Verhalten nur dann strafbar ist, wenn die rechtswidrigen Taten vorsätzlich begangen werden ","D)  Er enthält z.B. Regelungen zu Täterschaft und Teilnahme, Notwehr und Notstand ",.
"30. Welche Straftatbestände sind,,Eigentumsdelikte""?",A) Raub gemäß § 249 StGB ,B) Urkundenfälschung gemäß § 267 StGB ,C) Unterschlagung gemäß § 246 StGB ,D) Betrug gemäß § 263 StGB,.
31. Welche Aussagen zum Strafrecht sind richtig?,"A) Fahrlässiges Handeln kann zu einer Bestrafung führen, wenn dies ausdrücklich im Gesetz bestimmt ist ",B) Bei allen Verbrechen und Vergehen ist der Versuch strafbar ,C) Tun oder Unterlassen kann zu einer Bestrafung führen ,D) Nur vorsätzliches Handeln kann zu einer Bestrafung führen,.
"32 Ein Passant beobachtet, wie eine Frau einer Mutter den Kinderwagen entreißt. Der Passant rennt der Täterin nach und hält sie bis zum Eintreffen der Polizei fest. Die Täterin versetzt dem Passanten einige Faustschläge. Der Passant hat durch sein Einschreiten die Entführung des Kindes verhindert. Welche Aussagen zu diesem Fall sind richtig? ","A) Der Passant durfte die Täterin nicht festhalten, weil er selbst durch den Entführungsversuch nicht unmittelbar betroffen war","B) Der Passant durfte das Kind aus der Gefahrenlage aufgrund des „Rechtfertigenden Notstandes"" gemäß § 34 StGB retten","C) Der Passant durfte die Täterin gemäß § 127 Abs. 1 StPO vorläufig festnehmen, weil er sie auf frischer Tat verfolgt hat und ihre Identität nicht sofort feststellbar war
",D) Der Passant durfte den Angriff auf die Freiheit des Kindes in Nothilfe und die Faustschläge gegen sich in Notwehr gemäß § 32 StGB abwehren ,.
"33. Welche Aussagen zur „Unterlassenen Hilfeleistung"" gemäß § 323c StGB sind richtig? ",A) Die Art und der Umfang der Hilfeleistung richten sich nach den Fähigkeiten und Möglichkeiten der zur Hilfe verpflichteten Person ,"B) Eine „Gemeine Not"" ist z.B. der plötzliche Ausfall der Stromversorgung einer Stadt",C) Die Pflicht zur Hilfeleistung besteht nur bei „Unglücksfällen“. Damit sind Verkehrsunfälle gemeint ,"D) Die „Unterlassene Hilfeleistung"" ist ein sogenanntes „,unechtes Unterlassungsdelikt“",.
34. Was sind Merkmale des Betrugs gemäß § 263 StGB?,A) Täuschung einer anderen Person über Tatsachen ,B) Vermögensschaden ,C) Herstellen einer unechten Urkunde ,D) Nötigungsmittel wie Androhung von Gewalt ,.
35. Welche Aussagen zur Notwehr gemäß § 32 StGB sind richtig? ,A)  Die Notwehr setzt einen Angriff mit Waffengewalt auf das Rechtsgut Leben oder die körperliche Unversehrtheit einer Person voraus ,B) Ein Angriff muss von einem Menschen ausgehen. Ein Tier kann nicht rechtswidrig handeln,C) Die Notwehr rechtfertigt nur die Einwirkung auf Rechtsgüter des Angreifers ,"D) Die Notwehrhandlung erlaubt auch Eingriffe in die Rechtsgüter unbeteiligter Dritter 
",.
"36, Welche Aussagen zur,,Verletzung des Briefgeheimnisses"" gemäß § 202 StGB sind richtig?",A) Tatobjekte sind Schriftstücke wie Briefe und Fotos ,B) Tatobjekte sind elektronisch gespeicherte Daten ,C) Tathandlung ist z. B. das Öffnen eines verschlossenen Briefes ,D) Tathandlung ist stets die Kenntnisnahme des Inhalts von Schriftstücken,.
"37. Bei Sicherungstätigkeiten, wie z. B. in Asylunterkünften, können sich für das Wach- und Sicherungspersonal besondere Gefahren ergeben. Welche Aussagen dazu sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Es darf nur Wach- und Sicherungspersonal eingesetzt werden, das über ausreichend Menschenkenntnis und Lebenserfahrung verfügt und die Sachkundeprüfung erfolgreich abgelegt hat ",B) Der Unternehmer muss die zu sichernden Objekte zum Schutz des Wach- und Sicherungspersonals regelmäßig auf Gefahren überprüfen und festgestellte Gefahren beseitigen ,"C) Der Unternehmer ist verpflichtet, bei Sicherungstätigkeiten mit besonderen Gefahren, z. B. mit einem hohen Konfrontationspotenzial, immer zwei oder mehr Wachpersonen einzusetzen ","D) Der Unternehmer muss sicherstellen, dass das Wach- und Sicherungspersonal überwacht wird, z.B. per Telefon oder Personen-Notsignal-Anlagen ",.
"38. Welche Aussagen zu „Nebentätigkeiten“ sind gemäß der Unfallverhütungs- vorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig? ","A) Nebentätigkeiten, die über den eigentlichen Sicherungsauftrag hinausgehen, müssen in der Dienstanweisung schriftlich festgelegt werden ",B) Nebentätigkeiten sind bei der Durchführung von Geld- und Werttransporten unzulässig. Davon ausgenommen ist z.B. die Beseitigung von Störungen an Geldautomaten ,C) Nebentätigkeiten wie Kehrdienste oder Lagerarbeiten muss das Wach- und Sicherungspersonal erledigen. Hierfür genügen mündliche Absprachen mit dem Auftraggeber ,"D) Nebentätigkeiten wie die gelegentliche Kontrolle oder Bedienung technischer Anlagen dürfen vom Wach- und Sicherungspersonal ausgeführt werden, wenn es eingewiesen wurde ",.
"39. Welche Pflichten beschreibt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, für den Unternehmer?","A) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal anhand der Dienstanweisung vor Aufnahme der Tätigkeit und darüber hinaus regelmäßig unterwiesen wird ","B) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal jährlich einer arbeitsmedizinischen Untersuchung unterzogen wird, um die körperliche Eignung zu überprüfen ","C) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal die Dienstanweisung wöchentlich zur Kenntnis nimmt und dies mit seiner Unterschrift bestätigt ","D) Er muss dafür sorgen, dass für Geldtransporte nur Personen eingesetzt werden, die mindestens 18 Jahre alt, persönlich zuverlässig, geeignet sowie für diese Aufgabe besonders ausgebildet und in diese eingewiesen sind ",.
"40. Was bestimmt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, für die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen?","A) Das Wach- und Sicherungspersonal darf nur unter Beachtung waffenrechtlicher Bestimmungen mit Schusswaffen ausgerüstet werden, wenn es der Unternehmer ausdrücklich anordnet ","B) Das Wach- und Sicherungspersonal darf im Wachdienst mit Zustimmung des Unternehmers Schusswaffen führen, wenn es den „Kleinen Waffenschein“ besitzt ","C) Der Unternehmer muss sicherstellen, dass das mit Schusswaffen ausgerüstete Wach- und Sicherungspersonal regelmäßig an Schießübungen teilnimmt und die Schießfertigkeit nachgewiesen wird",D) Das Wach- und Sicherungspersonal muss vor Dienstantritt Schusswaffen auf Mängel überprüfen und die Mängel selbst beheben,.
"41. Das Wach- und Sicherungspersonal muss gemäß der Unfallverhütungs- vorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, in Wachobjekte eingewiesen werden. Welche Aussagen zur Objekteinweisung sind richtig? ","A) Der Unternehmer muss dafür sorgen, dass das Wach- und Sicherungspersonal in das Wachobjekt und in die spezifischen Gefahren eingewiesen wird ","B) Der Unternehmer muss das Wach- und Sicherungspersonal über das Verhalten bei der Begegnung mit Diensthunden einweisen lassen, wenn im Wachobjekt diese Hunde eingesetzt werden ","C) Der Unternehmer muss dafür sorgen, dass das Wach- und Sicherungspersonal immer zur Tageszeit in das Wachobjekt eingewiesen wird ","D) Der Unternehmer kann auf die Objekteinweisung verzichten, wenn das Wach- und Sicherungspersonal über ausreichend Berufserfahrung verfügt. Ansonsten genügt eine Objekteinweisung alle zwei Jahre ",.
"42. Welche Aussagen über,,Dienstanweisungen"" sind gemäß der Unfall- verhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?",A)  Dienstanweisungen müssen das Verhalten des Wach- und Sicherungspersonals und das Weitermelden von Mängeln und besonderen Gefahren regeln ,"B) Damit das Wach- und Sicherungspersonal Bewachungsaufgaben sicher durchführen kann, müssen in den Dienstanweisungen die Aufgaben im erforderlichen Umfang und in verständlicher Sprache geregelt werden",C)  Das Wach- und Sicherungspersonal muss innerhalb der ersten zwei Wochen nach Aufnahme der Tätigkeit in die Dienstanweisungen unterwiesen werden,.,.
"43. Was regelt die „Objektbezogene Dienstanweisung""? ",A) Verschwiegenheitspflicht ,B) Meldepflichten bei besonderen Ereignissen ,C) Umfang und Ablauf der Wach- und Sicherungstätigkeiten ,D) Verbot berauschender Mittel ,.
"44. Welche Aussagen zur Ausrüstung des Wach- und Sicherungspersonals sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig? ","A) Ausrüstungsgegenstände wie Handleuchten, Kommunikationsmittel oder sonstige Hilfsmittel müssen dem aktuellen Stand der Technik entsprechen",B) Eingesetzte Dienstfahrzeuge müssen sich in einem betriebssicheren Zustand befinden ,"C) Bei der Dienstkleidung müssen Witterungseinflüsse wie Nässe, Kälte und Hitze berücksichtigt werden",D) Ausrüstungsgegenstände und Hilfsmittel müssen aus gesundheitlichen Gründen monatlich desinfiziert und gereinigt werden,.
45. Welche Grundregeln bestimmt das WaffG für die Aufbewahrung von Schusswaffen und Munition? ,A) Schusswaffen und Munition müssen in feuerhemmenden Tresoren aufbewahrt werden,"B) Es müssen erforderliche Vorkehrungen getroffen werden, um zu verhindern, dass unbefugte Dritte die Waffen oder Munition an sich nehmen ",C) Schusswaffen müssen in ihre Einzelteile zerlegt und getrennt von der Munition aufbewahrt werden,"D) Es muss durch geeignete Maßnahmen unterbunden werden, dass die Waffen oder die Munition abhanden kommen",.
"46. Welche Aussagen für die Erteilung einer „Waffenbesitzkarte"" sind gemäß WaffG richtig?","A) Für die Erteilung einer Waffenbesitzkarte für Schusswaffen sind Art, Anzahl und Kaliber der Schusswaffen anzugeben ",B) Die Erlaubnis zum Erwerb und Besitz von Schusswaffen wird durch Eintragung in einen Waffenschein erteilt,C)  Innerhalb von zwei Wochen muss der zuständigen Behörde der Erwerb schriftlich oder elektronisch angezeigt werden und die Waffenbesitzkarte zur Eintragung des Erwerbs vorgelegt werden ,"D) Die Erlaubnis zum Erwerb einer Schusswaffe gilt für die Dauer von drei Monaten, die Erlaubnis zum Besitz wird auf ein Jahr befristet ",.
47. Was sind „Allgemeine Bestimmungen“ des WaffG?,A) Das WaffG regelt den Umgang mit Waffen oder Munition unter Berücksichtigung der Belange der öffentlichen Sicherheit und Ordnung ,"B) Umgang mit einer Waffe oder Munition hat, wer diese erwirbt, besitzt, überlässt, führt, verbringt, mitnimmt, damit schießt, sie herstellt, bearbeitet, instand setzt oder damit Handel treibt ","C) Der Umgang mit Waffen oder Munition ist nur Personen gestattet, die das 25. Lebensjahr vollendet haben ","D) Bei der Beantragung einer Waffenbesitzkarte muss eine Haftpflichtversicherung in Höhe von 1 Million Euro, pauschal für Personen- und Sachschäden, nachgewiesen werden",.
48. Eine Wachperson führt eine Schusswaffe. Welche gültigen Dokumente muss sie gemäß WaffG mitführen? ,A) Waffenbesitzkarte ,B) Personalausweis oder Pass,C) Waffenschein ,D) Firmenausweis ,E) Kopie der Dienstanweisung 
"49. Was ist der Zweck des „Aktiven Zuhörens"" im Gespräch? ",A) Informationen erlangen ,B) Kontrolle des Gesprächspartners ,C) Den Inhalt des Gesprächs verstehen,D) Emotionen weiterleiten ,.
50. Welche Aussagen zur „Höflichkeit“ sind richtig? ,"A) Wer höflich ist, wird als Schwächling angesehen, ausgenutzt und ausgelacht ","B) Wer höflich ist, kann schneller Kontakt zu anderen Personen herstellen ","C) Wer höflich ist, zeigt, dass er kein Durchsetzungsvermögen besitzt ","D)  Wer höflich ist, erleichtert die Zusammenarbeit in der Gruppe ",.
51. Ein Fahrgast raucht im rauchfreien Bahnhof. Wie sollte der Fahrgast durch eine Wachperson auf das Rauchverbot aufmerksam gemacht werden?,"A) Wenn Sie rauchen möchten, verlassen Sie bitte den Bahnhof!"" ","B) Hallo, mein Freund, mach' die Kippe sofort aus!","C) Bitte machen Sie Ihre Zigarette aus, hier dürfen Sie nicht rauchen!"" ","D) ,,Die Raucher! Sie können es wohl nicht lassen!""",.
52. Wann verhalten sich Wachpersonen professionell? ,A) Wenn sie autoritär auftreten und entsprechend handeln,B) Wenn sie grundsätzlich auf ihrem Standpunkt beharren,C) Wenn sie kundenorientiert und angemessen handeln,"D) Wenn sie rechthaberisch auftreten 
",.
"53 Was ist im Umgang mit einer wütenden Person hilfreich, um deeskalierend zu wirken?",A) Die Situation auf der Beziehungsebene zu Ende bringen. Die Sachebene ist nicht hilfreich,B) Die andere Person zur Ruhe kommen lassen und Verständnis zeigen ,"C) Wenn die Person beleidigend wird, laut werden und mit Folgen drohen ",D) Selbstbeherrscht sein und mit Emotionen offen umgehen ,.
