Frage,a,b,c,d,e
20. Wer ist gemäß § 855 BGB Besitzdiener?,"A) Der Geschäftsführer, wenn er sein Firmenfahrzeug auch für Privatfahrten nutzt. ","B) Der Geldbote, der auftragsgemäß die Tageseinnahmen eines Supermarktes zur Bank transportiert. ","C) Eine Wachperson, die ein Funkgerät verwendet, das ihr für den Wachdienst zur Verfügung gestellt wurde. ","D) Der Elektriker, der damit beauftragt ist, nach einem Kurzschluss die Stromversorgung wiederherzustellen. ",.
"21. Für einen Schaden ist grundsätzlich verantwortlich, wer diesen z.B. …",A) nach Alkoholgenuss widerrechtlich verursacht hat,B) im Zustand der Bewusstlosigkeit verursacht hat,C) im Zustand krankhafter Störung der Geistestätigkeit verursacht hat,D) als Erwachsener vorsätzlich und ohne Rechtfertigung verursacht hat,.
22. Welcher Straftatbestand wird durch den Defensivnotstand gemäß § 228 BGB gerechtfertigt?,A) Hausfriedensbruch (§ 123 StGB),B) Körperverletzung (§ 223 StGB),C) Sachbeschädigung (303 StGB),D) Schadenersatzpflicht (823 BGB),.
"23. Bei welcher zivilrechtlichen Notstandsregelung wird auf eine fremde Sache eingewirkt, von der keine Gefahr ausgeht?",A) Notwehr gemäß § 227 BGB,B) Defensiver Notstand gemäß § 228 BGB,C) Allgemeine Selbsthilfe gemäß § 229 BGB,D) Aggressiver Notstand gemäß § 904 BGB,.
"24. Was muss ein Türsteher beachten, wenn er sich gegen die „verbotene Eigenmacht“ eines Gastes zur Wehr setzt?",A) Der Gast darf ihm nicht bekannt sein,B) Es muss dringender Fluchtverdacht bestehen,C) Es muss eine vollendete rechtswidrige Tat vorliegen,D) Die Verhältnismäßigkeit muss beachtet werden,.
"25. B beabsichtigt, ein falsches IHK-Prüfungszeugnis zu erstellen, damit er künftig als Ladendetektiv arbeiten kann. Der befreundete Grafiker A stellt ihm ein leeres Zeugnisformular zur Verfügung. 
Wie ist das Verhalten von A strafrechtlich zu beurteilen? 
",A) A ist Mittäter ,B) A ist Anstifter ,C) A ist Gehilfe ,D) A ist Alleintäter ,.
"26. Welche Aussagen zur ""Verletzung des Briefgeheimnisses"" gemäß § 202 StGB sind richtig? ",A) Tatobjekte sind Schriftstücke wie Briefe und Fotos ,"B) Tatobjekte sind elektronisch gespeicherte Daten 
",C) Tathandlung ist z. B. das Öffnen eines verschlossenen Briefes ,D) Tathandlung ist stets die Kenntnisnahme des Inhalts von Schriftstücken ,.
27. Was gehört zum Deliktsaufbau eines Straftatbestandes? ,A) Tatbestandsmäßigkeit,"B)  Personenschaden und Sachschaden 
",C)  Rechtswidrigkeit und Schuld ,D) Garantenstellung ,.
"28. Ein Türsteher findet bei einer unbekannten Person während einer Zutrittskontrolle eine Gasschusswaffe. Die Person hat der Taschenkontrolle zugestimmt und gibt an, keinen kleinen Waffenschein zu besitzen.
Was darf der Türsteher?",A) Er darf der Person den Zutritt zur Diskothek untersagen,B) Er darf die Person gemäß § 127 Abs. 1 StPO vorläufig festnehmen,C) Er darf die Gasschusswaffe sicherstellen und in seine Tasche stecken,.,.
"29. Wer wird im Sinne der vorläufigen Festnahme gemäß StPO ""auf frischer Tat betroffen""?",A) Wer bei der Begehung einer verfolgbaren Straftat gestellt wird,B) Wer bei der Begehung einer Ordnungswidrigkeit gestellt wird,C) Wer bei der Verursachung einer Gefahr gestellt wird,D) Wer nach der Begehung einer Straftat am Tatort oder in dessen unmittelbarer Nähe gestellt wird,.
30. Worin unterscheidet sich Täterschaft und Teilnahme?,A) Der Täter begeht die Tat stets ohne Mitwirkung eines anderen,B) Der Teilnehmer beteiligt sich an einer fremden Tat,C) Der Teilnehmer besitzt mitgestaltende Tatherrschaft,D) Der Täter begeht eine eigene Tat,.
31. Eine Notwehrhandlung im Sinne des § 32 StGB muss...,A) ...in jedem Fall vorher angekündigt werden,B) ...grundsätzlich ohne körperliche Gewalt erfolgen,C) ...das mildeste und ausreichende Mittel darstellen,D) ...die sofortige Beendigung des Angriffs erwarten lassen,"E) ...durch Furcht, Verwirrung oder Schrecken gerechtfertigt sein"
32. Was wird durch den rechtfertigenden Notstand gemäß § 34 StGB erlaubt?,"A) Die Rechtsgüter der Allgemeinheit zu verteidigen, wenn dies zur Abwehr einer gemeinen Gefahr erforderlich ist.","B) Die Rechtsgüter einer anderen Person zu verletzen, um eine gegenwärtige Gefahr abzuwenden.","C) Die Rechtsgüter einer anderen Person zu verletzen, um einen gegenwärtigen, rechtswidrigen Angriff abzuwenden.","D) Das geringwertigere Rechtsgut eines anderen zu verletzen, um ein höherwertigeres Rechtsgut zu schützen.",.
33. Die Erfüllung einer Gebotsnorm muss dem Menschen möglich sein. Wann Ist ein  aktives Tun dagegen nicht möglich?,"A)  Wenn er bei Beachtung einer Gebotsnorm eigene Interessen vernachlässigen muss, z.B.  einen Termin versäumen
","B)  Bei einer individuellen Handlungsunfähigkeit, z.B. Gehbehinderung","C) Bei fehlender räumlicher Nähe, wegen erforderlicher Hilfsmittel, z.B. Rettungs- oder  Notwehrmittel",.,.
34. Wer ist gemäß StGB Amtsträger?,A) Amtsträger sind Richter,B) Amtsträger sind Vereinsvorstände,C) Amtsträger sind Geschäftsführer einer GmbH,D) Amtsträger sind Bürgermeister,.
"35. Wann liegt gemäß §§ 223, 226 StGB eine schwere Körperverletzung vor?",A) beim Verlust eines Backenzahnes,B) beim Verlust des Sehvermögens auf einem Auge,C) beim Verlust eines Fingernagels,"D)  beim Verlust des Gehöres
",.
"36. Wie kann man eine Körperverletzung begehen?
",A)  körperliche Misshandlung ,B) Verabreichung von Gift,C) Gesundheitsschädigung,.,.
"37. Was ist beim Umgang mit Schusswaffen gemäß der Unfallverhütungsvorschrift DGUV 23, Wach- und Sicherungsdienste, zu beachten? ",A) Die Ausgabe von Schusswaffen darf nur der Gewerbetreibende vornehmen ,"B) Schusswaffen dürfen auch im Dienst geführt werden, wenn der Waffenträger nicht regelmäßig an Schießübungen teilnimmt",C) Schusswaffen dürfen nur im entladenen Zustand übergeben werden,D) Schusswaffen und Munition sind getrennt voneinander aufzubewahren.,.
"38. Trotz Verbotes gemäß Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, trinkt eine Wachperson während des Dienstes Alkohol. Welche Aussage hierzu ist richtig? ","A)  Der Bewachungsgewerbetreibende muss der Wachperson wegen Dienstunfähigkeit untersagen, die Arbeit fortzusetzen","B) Der Bewachungsgewerbetreibende darf die Wachperson weiterbeschäftigen, wenn es der Auftraggeber erlaubt.","C) Der Bewachungsgewerbetreibende darf die Wachperson weiterbeschäftigen, wenn ein wichtiger Grund für den Alkoholkonsum vorliegt, z. B. ein Firmenjubiläum.",D) Der Bewachungsgewerbetreibende darf die Wachperson unter Aufsicht eines Arbeitskollegen weiterbeschäftigen.,.
"39.  Wie sind die Aufzeichnungen über Eignungen, Ausbildung und besondere Befähigungen des Sicherheitspersonals zu führen?",A) Personenbezogen,B) Tätigkeitsbezogen,C) Objektbezogen,D)  Auftragsbezogen,.
40.  Welche Tätigkeiten erfordern nach der Unfallverhütungsvorschrift eine spezielle Ausbildung und Befähigung der Versicherten im Wach- und Sicherheitsgewerbe?,"A)  Kontrollgänge
",B) Observation,C) Alarmverfolgung,D) Personenschutz,"E) Objektbewachung
"
41. Wann hat der Unternehmer die Überwachung des Wach- und Sicherheitspersonals gemäß DGUV Vorschrift 23 sicherzustellen?,A)  Wenn ein begründeter Straftatverdacht gegenüber dem Personal besteht,B) Wenn sich bei Sicherungstätigkeiten besondere Gefahren ergeben können,C)  Wenn die Sicherungstätigkeit im Schutzobjekt alleine durchgeführt wird,D)  Wenn die Tätigkeit ein hohes Konfrontationspotential mit sich bringt,.
"42. Wer gilt als geeignet für die Tätigkeit im Geldtransport? Personen, die..","A)  ...mindestens 25 Jahre alt und nicht vorbestraft sind
",B) ...besonders ausgebildet und eingewiesen sind,C)  ... mit Schusswaffen besonders gut umgehen können,D) ...mindestens 18 Jahre alt und persönlich zuverlässig sind.,.
43.  Für wen gelten die gemeinsamen und besonderen Bestimmungen der DGUV V23?,A) Sicherheitsbeauftragte,B) Sicherheitsunternehmer,C)  Sicherheitspersonal,D) Fachkräfte für Arbeitssicherheit,.
44. Was haben Dienstanweisungen gemäß DGUV Vorschrift 23 zu regeln?,A) Die Arbeitsplatzsicherheit der Wachpersonen,"B)  Hinweise auf Arbeitszeiten und Bereitschaftsdienste
","C)  Verhalten des Wach- und Sicherungspersonals
",D) Weitermelden von Mängeln und besonderen Gefahren,E) Hinweise auf Anzeigepflicht bei Waffengebrauch
45. Welche Fristen gelten für die Waffenbesitzkarte gemäß WaffG?,A) Die Erlaubnis zum Erwerb einer Waffe gilt für die Dauer eines Jahres.,B) Die Erlaubnis zum Erwerb einer Waffe gilt für die Dauer von vier Wochen. ,C) Die Erlaubnis zum Besitz einer Waffe gilt für die Dauer von drei Jahren.,D) Die Erlaubnis zum Besitz einer Waffe wird in der Regel unbefristet erteilt. ,.
46.  Welche Dokumente berechtigen zum Erwerb von Munition für Schusswaffen nach dem Waffengesetz?,A) Waffenbesitzkarte mit Eintrag,B) Munitionserwerbsschein,C) Waffensachkundeprüfung,D)  Waffenschein,.
47.  Nicht immer sind rechtliche Inhalte gleichbedeutend mit umgangssprachlichen Begriffen. Was bedeutet „überlassen“ im Sinne des Waffengesetzes? ,"A)  Im Sinne des Gesetzes überlässt eine Schusswaffe, wer die tatsächliche Gewalt über sie einem anderen zur rechtmäßigen Nutzung einräumt","B) Im Sinne des Gesetzes überlässt nur dann einen Gegenstand, wer die tatsächliche Gewalt über ihn einem anderen durch Abschluss eines gültigen Kauf-, Miet- oder Leihvertrages zur rechtmäßigen Nutzung einräumt ","C) Im Sinne des Gesetzes überlässt eine Waffe oder Munition, wer die tatsächliche Gewalt darüber einem anderen einräumt ",.,.
48. Wann ist der Einsatz einer Schusswaffe meldepflichtig?,"A) Nur dann, wenn es zur Verletzung einer Person gekommen ist ",B)  Jeder Schusswaffeneinsatz ist meldepflichtig ,C) Nur wenn es in der Dienstanweisung steht,"D)  Nur dann, wenn eine Sache beschädigt oder zerstört worden ist",.
49. Welche Aussagen zur Gruppe sind richtig? ,A) Gruppenregeln werden je nach Zielsetzung und Struktur der Gruppe ausschließlich rational entwickelt ,B) Voraussetzung zur Bildung und zum Erhalt einer Gruppe ist das Gruppenziel,C) Jede Position in der Gruppenhierarchie hat den gleichen Stellenwert ,"D) Gruppen unterwerfen sich Regeln. Sie sind darauf ausgerichtet, das Gruppenziel zu erreichen ",.
"50. In welchen Situationen handelt es sich um Gruppen? 
",A) Wenn acht Personen an einer Haltestelle auf den Bus warten,B) Wenn vier Wachpersonen in einer Schicht arbeiten und eine von ihnen der Schichtleiter,C) ist Wenn Tausende von Zuschauern am Straßenrand einen Marathonlauf verfolgen,D) Wenn eine Fußballmannschaft für ein Meisterschaftsspiel trainiert ,.
51. Wie lässt sich ein Konflikt am leichtesten deeskalieren? ,A) Laut werden und sich so Gehör und Respekt verschaffen ,B) Ruhig bleiben und Provokationen überhören ,C) Den Konflikt autoritär beenden ,D) Außenstehende einbeziehen ,.
52. Wann verhalten sich Personen in Gesprächen oder Diskussionen sachlich?,A) Wenn sie mit Witzen vom Thema ablenken und damit die Stimmungen lockern.,"B) Wenn es ihnen darum geht, im Mittelpunkt zu stehen.",C) Wenn sie sich Gegenargumente anhören und darauf eingehen.,D) Wenn sie ihre Meinung mit Passenden Argumenten vertreten.,.
53. Was zählt zur nonverbalen Kommunikation?,A) Das gesprochene Wort,B) Kopf- und Körperhaltung,C) Gestik und Mimik,D) Schriftliche Äußerungen,.
54. In welchen Fällen kann negativer Stress ausgelöst werden?,A) Wenn routinemäßig eine Tätigkeit mit viel Erfahrung ausgeübt wird,B) Wenn ein Mitarbeiter bei der Ausübung neuer Tätigkeiten überfordert ist,C) Wenn leichte Bürotätigkeiten ohne hohe Anforderungen verrichtet werden,D) Wenn in Räumen bei hohen Temperaturen und Lärm gearbeitet werden muss,.
55. Was lässt sich beim Gesprächspartner durch aktives Zuhören erreichen?,A) Distanz,B) Zurückhaltung,C) Vertrauen,D) Offenheit,.
56. Welche Aussagen zur Beziehungsebene sind richtig?,"A) Gefühle wie Wut, Ärger und gute Laune oder Vorurteile sind ständige Begleiter des Menschen und drücken sich auf der Beziehungsebene aus","B) Es kommt allein auf die zu übermittelnde Sachinformation an. Deshalb ist der Umstand, wie etwas gesagt wird, bedeutungslos","C) Die Beziehungsebene kann die Sachebene überlagern, weil besonders der Tonfall, die Wortwahl und Blicke etwas darüber ausdrücken, wie die Gesprächspartner zueinander stehen","D) Die Beziehungsebene hat im Berufsleben keinen Einfluss auf das Gelingen bzw. Misslingen eines Gesprächs, weil die Beziehungsebene die Privatsphäre betrifft",.
57. Jugendliche lehnen häufig festgefügte Vorschriften und Ordnungsregeln ab. Worauf kommt es bei der Kommunikation mit Jugendlichen an?,A) Dass die Jugendlichen auch bei Ordnungskonflikten respektiert werden,"B) Dass die Jugendlichen mit Strenge zur Ordnung gerufen werden, damit sie Umgangsformen lernen",C) Dass die Jugendlichen vorurteilsfrei und ohne Vorhaltungen angesprochen werden,"D) Dass den Jugendlichen klargemacht wird, dass ihre Meinung wegen geringer Lebenserfahrung nicht zählt",.
58. Warum werden Mitarbeitergespräche geführt?,A) Zur Ermittlung der Zufriedenheit der Mitarbeiter,B) Zur Verdeutlichung der Hierarchieunterschiede,C) Zur Verhinderung von Gerüchten und zur Stärkung des gegenseitigen Vertrauens,D) Zur Weitergabe von internen Firmeninformationen des Auftraggebers,.
59. Welche Aussagen zur Wahrnehmung sind richtig?,A) Die Fähigkeit und Bereitschaft zur Wahrnehmung ist bei allen Menschen gleich stark ausgeprägt,"B) Für die bewusste Wahrnehmung ist es erforderlich, dass der Beobachter aufmerksam, interessiert und motiviert beobachtet",C) Wahrgenommene Details werden im Gedächtnis gespeichert und können noch Wochen später lückenlos wiedergegeben werden,"D) Die Wahrnehmung liefert vielfältige Informationen, die für die Beurteilung von Personen und Situationen wichtig sind",.
"60. Wie vermeiden Sie, dass sich ein Gespräch negativ entwickelt?","A) Ich bekunde dem Gesprächspartner mein Interesse, z. B. durch Blickkontakt",B) Durch dauerndes Dazwischenreden,C) Ich lasse den Gesprächspartner ausreden und höre zu,.,.
61. Ein Sicherheitsmitarbeiter hat eine Person bei einem Diebstahl ertappt. Was ist bei der Befragung der Person zu beachten?,A) Die Person nicht unter Druck setzen,B) Die Person kritisch und mit lauter Stimme befragen,C) Die Person unnachgiebig und streng behandeln,D) Die Person mit Respekt behandeln,E) Die Person im Beisein von Kunden befragen
62. Welches Verhalten ist im Umgang mit einer alkoholisierten Person zweckmäßig?,A) Die Person ignorieren,B) Die Person ernst nehmen,C) Die Person provozieren,D) Die Person vor anderen bloßstellen,.
63. Was ist Stress?,A) Stress ist eine Form von Aggression,"B) Stress ist die unspezifische Reaktion des Körpers auf Anforderungen, die an ihn gestellt werden",C) Stress ist über lange Zeit angestaute Wut,D) Stress ist immer negativ und daher auf Dauer schädlich für Körper und Seele,.
64. Welche Aussagen zum Begriff der Frustration sind richtig?,A) Sie kann durch störende Reize ausgelöst werden,B) Sie löst immer Aggressionen aus,C) Sie kann Menschen resignieren lassen,D) Sie kann Aggressionen verhindern,.
65. Eine im Freien stehende Holzkiste mit Holzwolle ist in Brand geraten. Welcher Brandklasse ist dieser Brand zuzuordnen? ,A) Brandklasse A ,B) Brandklasse C ,C) Brandklasse D ,D) Brandklasse E,"E) Brandklasse F 
"
"66. Welche Aussagen zu ""einbruchhemmenden Türen"" sind richtig?","A) Sie müssen Türzargen besitzen, die aus einer einfachen Holzkonstruktion bestehen","B) Sie sind in sechs Widerstandsklassen eingeteilt, den höchsten Schutz bietet die Klasse RC6 ",C) Sie müssen aus Türblättern mit einem Wabenkern aus Pappe bestehen,D) Sie sind in der Regel z. B. mit Mehrfachverriegelungen und Aufbohrschutz ausgerüstet ,.
67. Welche Regeln sind im Brandfall immer zu beachten?,A) Türen schließen,"B) Fenster öffnen
",C) Aufzüge benutzen,D) Belüftungen einschalten,"E) Angriffswege freihalten
"
68. Welches sind keine wesentlichen Bestandteile einer Tür?,A) Türbänder,B) Querriegel,C) Türzarge,D) Türspion,E) Türblatt
"69. Ein Schutzobjekt soll mit Freilandsystemen geschützt werden. Dabei sollen die Überwindung des Zauns sicher gemeldet und Eindringlinge zuverlässig abgeschreckt werden. Welches System erfüllt diese Schutzziele am ehesten?
",A) Infrarot-Bewegungsmelder,B) Energiedraht-System,C) Alarmdrahtglas,"D)  Mikrofon-Sensorkabel
",.
"70.  Welches System kann den Unterflursystemen zugeordnet werden?
",A)  Hochfrequenz- Sensorkabe,B) Mikrowellen- Lichtschranke,C)  Mikrofon- Sensorkabe,D)  Differenzialdrucksystem,.
"71. Welche Stoffe gehören zur „Brandklasse C""?","A) Feste, brennbare Stoffe","B)  Gasförmige, brennbare Stoffe","C) Flüssige, brennbare Stoffe
","D) Nicht brennbare Stoffe
",.
"72. Der Freilandschutz und die Freilandüberwachung …
",A)  dienen der Verhinderung oder Verzögerung des Eindringens in ein Objekt,B) dienen der Beobachtung und Detektion von Personen,"C) dienen der routinemäßigen Zutritts- und Aufenthaltskontrolle von Mitarbeitern und Besuchern
",.,.
