Frage,a,b,c,d,
"24. Überprüfen Sie bei den unten angeführten Sachverhalten, ob gegen das Schikaneverbot (§ 226 BGB) verstoßen wird. Kreuzen Sie den Fall (die Fälle) der Schikane an.","A) Ein Sicherheitsmitarbeiter führt immer wieder bei wenigen bestimmten Personen Taschenkontrollen durch, obwohl er nicht dazu beauftragt ist und das Verhalten dieser Personen auch hierzu keinen Anlass gibt","B) Ein Türsteher einer gastgewerblichen Diskothek gewährt Jugendlichen keinen Eintritt, weil sie sich einer Alterskontrolle nicht unterziehen wollen","C) Ein Sicherheitsmitarbeiter hat über einen Handwerker, der gegen Unfallverhütungsvorschriften verstoßen hat, eine Meldung an die Betriebsleitung verfasst. Der Handwerker befürchtet nun Nachteile",D) Ein Sicherheitsmitarbeiter kommt immer wieder zu spät zum Dienst. Dafür wird er jedes Mal von seinem Vorgesetzten getadelt,.
25. Was sind Offizialdelikte?,A) Straftaten die vom Staat verfolgt werden müssen.,B) Alle Verbrechen.,"C)  Alle Vergehen.
",D) D Straftaten die nur auf Antrag des Opfers verfolgt werden,.
26.  Ein Kaufhausdetektiv (umgangssprachlich) soll im Zusammenhang mit einem Diebstahl  als Zeuge aussagen. Was trifft für ihn zu? ,"A)  Der Detektiv ist verpflichtet, auf Vorladung bei der Polizei zur Aussage zu erscheinen.  Die Polizei hat die Befugnis, das Erscheinen zu erzwingen ","B)  Der Detektiv ist verpflichtet, vor Gericht zu erscheinen. Als Zeuge muss er aussagen, somit kann er kein Auskunftsverweigerungsrecht geltend machen ","C)  Der Detektiv ist verpflichtet, auf Vorladung bei der Staatsanwaltschaft zur Aussage zu erscheinen. Die Staatsanwaltschaft hat eine Zwangsbefugnis und kann das Erscheinen erzwingen","D) Der Detektiv darf vor der Hauptverhandlung nicht mehr in seine dienstlichen Aufzeichnungen vom Tag des Vorfalls sehen, um objektiv zu bleiben",.
"27. Welche der unten stehenden Aussagen ist (sind) richtig? Vorläufige Festnahme gemäß § 127 Abs. 1 StPO ist jedermann befugt, …","A) …eine Person, die eine Ordnungswidrigkeit begangen hat, vorläufig festzunehmen",B) …einen 13 jährigen Straftäter vorläufig festzunehmen,"C) …eine Person, die einer Straftat verdächtig ist, vorläufig festzunehmen, wenn die Voraussetzungen gegeben sind und der Tatverdächtige den Strafverfolgungsbehörden überstellt werden soll ",.,.
28. Wer macht sich wegen des Deliktes der Freiheitsberaubung (§ 239 StGB) strafbar?,A)  Wer im Rahmen der erlaubten Selbsthilfe nach § 229 BGB den Verpflichteten festnimmt,B) Wer eine Person wegen einer Straftat nach § 127 StPO vorläufig festnimmt,C) Wer jemanden gegen seinen Willen mehrere Stunden in einer Toilette einsperrt,.,.
29.  Ein Sicherheitsmitarbeiter ist in einem Strafverfahren Zeuge und soll zur Sache vernommen werden. Der Zeuge…,A) …ist grundsätzlich mündlich zu vernehmen,"B) …darf nicht über die Person des Beschuldigten informiert werden, damit die Zeugenaussage möglichst objektiv erfolgt","C) …ist berechtigt, sich bei der Vernehmung schriftlicher Unterlagen zu bedienen, um seine Erinnerungen aufzufrischen ",.,.
30. Was bedeutet der Grundsatz „Keine Strafe ohne Gesetz“ gemäß StGB?,"A)  Eine Person darf nur bestraft werden, wenn ihr Verhalten den Tatbestand eines Gesetzes rechtswidrig und schuldhaft erfüllt","B)  Gesetzliche Regelungen legen fest, welches Verhalten mit welcher Strafe bedroht ist","C)  Dieser Grundsatz gilt nur für die Straftatbestände, die im StGB beschrieben werden",.,.
31. Wann liegt Hausfriedensbruch gemäß StGB vor? ,A) Wenn jemand einen Supermarkt trotz Hausverbots betritt.,"B) Wenn jemand in einen Supermarkt geht, Ware an sich nimmt und das Geschäft verlässt, ohne zu bezahlen. ","C) Wenn jemand einen Supermarkt nach Ladenschluss nicht verlässt, obwohl er dazu vom Geschäftsführer aufgefordert worden ist. ","D) Wenn jemand auf einen öffentlich zugänglichen Parkplatz fährt, auf den nur Anwohner mit Berechtigungsausweis parken dürfen. ",.
32. Wann ist die Notwehr gemäß § 32 StGB zulässig? ,"A) Kaufhausdetektiv k hat eine Person bei einem Diebstahl betroffen und diese gebeten, sich auszuweisen. Statt sich auszuweisen, holt der Dieb zum Faustschlag aus",B) Spaziergänger A wird von einem frei laufenden Hund angefallen. Der Hund hat sich im Bein von A festgebissen und lässt nicht los ,C) Türsteher T hat einer Person den Zutritt in die Diskothek verweigert. Daraufhin greift die Person den T tätlich an ,D) Person A rempelt in einer dichten Menschenmenge unabsichtlich Person B an ,.
33. Wann ist die vorläufige Festnahme gemäß & 127 Abs. 1 StPO gerechtfertigt?,A) Ein Ladendetektiv überrascht eine junge Frau beim Diebstahl einer Schachtel . Sie zeigt ihm sofort ihren Personalausweis,"B) Eine City-Streife stellt einen Räuber. Dieser erklärt, er habe keinen Ausweis dabei. Der Räuber will flüchten, ","C) Eine City-Streife stellt fest, dass einige Kinder im Alter von acht bis zehn Jahren gerade dabei sind, Autos zu zerkratzen.","D) Eine City-Streife verfolgt einen Dieb nach frischer Tat. Nach kurzer Verfolgung wird der Dieb gestellt. Dieser weigert sich, seinen Ausweis zu zeigen. ",.
"34.  Wie unterscheiden sich Vergehen und Verbrechen im Sinne des § 12 StGB voneinander?
",A) Verbrechen sind im Mindestmaß mit einer Freiheitsstrafe von einem Jahr oder darüber bedroht,B)  Vergehen sind mit Freiheitsstrafe oder Geldstrafe oder Geldbuße. Verbrechen sind mit Freiheitsstrafe nicht unter einem Jahr bedroht,"C) Verbrechen sind mit Freiheitsstrafe bedroht, Vergehen mit Geldbuße
",D)  Vergehen sind im Mindestmaß mit einer Freiheitsstrafe unter einem Jahr oder mit Geldstrafe bedroht,.
35.  Der Hausfriedensbruch (§ 123 StGB) nennt auch den Schutzbereich „befriedetes Besitztum“. Welcher Fall wird / welche Fälle werden hiervon erfasst?,A)  Personenkraftwagen,"B)  Eine mit Brettern vernagelte Villa, die zum Abbruch bestimmt ist","C)  Ein auf allen Seiten umzäuntes Gelände (Mauer, Hecke, Holzzaun)",.,.
"36.  Der Sicherheitsmitarbeiter B. beobachtet auf einem Parkplatz des Betriebsgeländes den stark angetrunkenen Mitarbeiter L., der mit seinem Pkw das Betriebsgelände verlassen will. B. nimmt L. die Autoschlüssel ab. L. will B. wegen Nötigung anzeigen.
Durfte B. wie beschrieben handeln?","A) Nein, die Freiheit der Person ist ein Grundrecht, in das der Sicherheitsmitarbeiter nicht eingreifen darf","B) Nein, eine Meldung an die Geschäftsleitung hätte genügt","C)  Ja, die Handlung des L. war nicht anders abwendbar und B. hat im rechtfertigenden Notstand gehandelt (§ 34 StGB)
","D)  Nein, denn der Mitarbeiter L. ist für sein Tun selbst verantwortlich",.
"37. .Gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, muss der Bewachungs-Gewerbetreibende dafür sorgen,dass Schusswaffen mindestens einmal jährlich durch Sachkundige auf Handhabungssicherheit überprüft werden.
Wer ist zur Prüfung der Handhabungssicherheit befugt?","A)  Nur wer im Besitz des „Kleinen Waffenscheins"" ist",B)  Nur wer die Ausbildung zum Büchsenmacher erfolgreich beendet hat,C) Nur wer aufgrund seiner Ausbildung und Erfahrung ausreichende Kenntnisse über die jeweilige Schusswaffe hat,.,.
"38.  Was sind Nebentätigkeiten gemäß der Unfallverhütungsvorschrift DGUVVorschrift 23, Wach- und Sicherungsdienste?
",A)  Mündliche Absprachen zwischen dem Auftraggeber und dem Bewachungspersonal,"B)  Zusätzliche Tätigkeiten, die über den eigentlichen Sicherungsauftrag hinausgehen und in der Dienstanweisung schriftlich festgelegt sind",C) Andere gewerbliche Tätigkeiten während der Bereitschaftszeiten im Wachdienst,D)  Nebentätigkeiten sind z. B. Lager oder Gartenarbeiten,.
39.  Wie können im Wach- und Sicherungsdienst Arbeitsunfälle vermieden werden?,"A) Das Wach- und Sicherungspersonal tritt seinen Dienst ausgeruht und nüchtern an
",B) Das Wach- und Sicherungspersonal führt im Dienst Schreckschusswaffen als Notwehrmittel mit ,"C)  Das Wach- und Sicherungspersonal prüft vor Fahrtbeginn, ob sich Geld transportfahrzeuge in einem betriebssicheren Zustand befinden",.,.
"40. Was muss in der „Allgemeinen Dienstanweisung“ gemäß Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beschrieben werden?
",A)  Die Beschreibung von Nebentätigkeiten wie Winterdiensten,B) Der Umgang mit Schusswaffen,C) Die objektspezifischen Abläufe von Zugangskontrollen und Kontrollgängen,D) Das Verbot berauschender Mittel,.
"41. Was regelt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, in Bezug auf berauschende Mittel?",A) Der Genuss von alkoholischen Getränken und die Einnahme anderer berauschender Mittel wie Drogen sind während der Dienstzeit verboten,"B) Geringe Mengen von alkoholischen Getränken dürfen konsumiert werden, wenn sich das Wach- und Sicherungspersonal dadurch nicht gefährdet. ",C) Bei Dienstantritt muss das Wach- und Sicherungspersonal nüchtern sein. ,"D) Die Pflicht, bei Dienstantritt nüchtern zu sein, bezieht sich nur auf alkoholische Getränke. ",.
"42. Das Wach- und Sicherungspersonal muss gemäß der Unfallverhütungsvorschrift DGUV 23, Wach- und Sicherungsdienste, In Wachobjekte eingewiesen Welche Aussagen zur Objekteinweisung sind richtig? ","A) Der Unternehmer kann auf die Objekteinweisung verzichten, wenn das Wach und Sicherungspersonal über ausreichend Berufserfahrung verfügt. Ansonsten genügt eine Objekteinweisung alle zwei Jahre.","B) Der Unternehmer muss dafür sorgen, dass das Wach- und Sicherungspersonal immer zur Tageszeit in das Wachobiekt eingewiesen wird. ","C) Der Unternehmer muss dafür sorgen, dass das Wach- und muss dafür sorgen, dass das Wach- und Sicherungspersonal in das Wachobiekt und in die spezifischen Gefahren eingewiesen wird","D) Der Unternehmer muss das Wach- und Sicherungspersonal über das Verhalten bei der Begegnung mit Diensthunden einweisen lassen, wenn im Wachobjekt diese Hunde eingesetzt sind. ",.
43.  Was gilt gemäß DGUV-Vorschrift 23 für das Führen von Schusswaffen und Mitführen von Munition?,A) Munition darf nicht lose mitgeführt werden,B) Schusswaffen dürfen nicht zugriffsbereit mitgeführt werden,C)  Munition und Schusswaffen sind immer getrennt zu führen,D) Schusswaffen müssen in Trageeinrichtungen geführt werden,.
"44. Was muss ein Unternehmer tun, bevor er ein Kundenobjekt zur Bewachung übernimmt?
","A)  Gegebenenfalls den Kunden informieren, damit dieser bestimmte Gefahren für die Mitarbeiter des Sicherheitsdienstes abstellen kann",B) Persönliche Kontrolle des kompletten Objektes,C) Kontrolle des Objektes zur mindestens drei unterschiedlichen Zeiten innerhalb von 24 Stunden,D)  Überprüfung des Objektes auf gesundheitliche Gefahren für seine Mitarbeiter,.
"45.  Welche Tatsachen rechtfertigen gemäß WaffG die Annahme, dass eine Person erforderliche persönliche Eignung nicht besitzt?
",A)  Wenn sie geschäftsunfähig ist,B) Wenn sie Waffen oder Munition sorgfältig verwahrt,"C)  Wenn sie abhängig von Alkohol oder psychisch krank ist
",D)  Wenn sie keine Mitgliedschaft in einem Schützenverein nachweisen kann,.
"46.  Der Inhaber eines Waffenscheins will im Handel Munition erwerben. Als Bewachungsunternehmer kann er dafür ein wirtschaftliches Bedürfnis nachweisen.
Ist der Munitionserwerb mit dem Waffenschein möglich?","A)  Ja. Der Waffenschein erlaubt den Erwerb von Munition für die Schusswaffen, die in ihm eingetragen sind",B) Nein. Der Waffenschein berechtigt nur zum Führen einer Schusswaffe,"C) Nein. Der Munitionserwerb wird z. B. durch einen Munitionserwerbsschein erlaubt, in den eine bestimmte Munitionsart eingetragen wird",.,.
"47. Wie sind erlaubnispflichtige Kurzwaffen gemäß WaffG aufbewahren? 
",A) Erlaubnispflichtige Kurzwaffen dürfen in einem mit Vorhängeschloss gesicherten Stahlblechschrank aufbewahrt werden.,B) Bis zu fünf erlaubnispflichtige Kurzwaffen dürfen in einem Sicherheitsbehältnis der Stufe B (nach VDMA 24992) aufbewahrt werden.,"C) Erlaubnispflichtige Kurzwaffen sind so aufzubewahren, dass ein Abhandenkommen und der Zugriff unbefugter Dritter nicht möglich ist. ","D) Erlaubnispflichtige Kurzwaffen dürfen in einem Aktenschrank mit Buntbartschloss aufbewahrt werden, wenn der Raum alarmgesichert ist.",.
48. Was regelt das WaffG?,"A) Es regelt, dass der Umgang mit Waffen oder Munition ausnahmslos allen Personen gestattet ist, die das 18. Lebensjahr vollendet haben","B) Es regelt, welche Personen Umgang mit Waffen oder Munition haben dürfen. Dabei müssen die Belange der öffentlichen Sicherheit und Ordnung berücksichtigt werden","C) Es regelt, dass der Umgang mit Waffen oder Munition ausnahmslos allen Personen gestattet ist, die das 21. Lebensjahr vollendet haben
","D) Es regelt, dass Waffenscheine zur Abwehr von Gefahren für die öffentliche Sicherheit und Ordnung Auflagen enthalten können. Eine solche Auflage ist, dass Wachpersonen Schusswaffen nur zur Duchführung eines konkreten Auftrages führen dürfen",.
49. In der Kommunikationspsychologie ist das Modell des „Kommunikationsquadrates“ (Vier-Seiten-Modell) bekannt. Welche Aspekte sind den Kommunikationsebenen des Quadrates zuzuordnen?,A) Selbstoffenbarung,B) Frustration,C) Erster Eindruck,D) Appell,.
50. Welche Aussagen über den Stress sind richtig?,"A) Stress ist stets negativ und schädigt Körper, Geist und Seele",B) Stress kann die Bereitstellung zusätzlicher Energien auslösen,C) Stress kann anregend und kräftigend wirken,D) Stress verursacht immer ernste Krankheiten,.
51. Jeder Mensch empfindet Stress anders. Wann kann Stress positiv wahrgenommen werden?,A) In einer Angstsituation,B) Bei einem Sieg in einem sportlichen Wettkampf,C) Bei der Vorbereitung einer Urlaubsreise,D) Bei unberechtigter Kritik des Vorgesetzten,.
52. Welches Verhalten kann durch eine Panik hervorgerufen werden?,A) Gezielte Suche nach Rettungsmöglichkeiten,B) Beherrschtes Vorgehen,C) Panikstarre,D) Paniksturm,.
"53. Kommunikation beschreibt den Informationsaustausch zwischen einem Sender und einem Empfänger.
Worauf muss der Sender während der Kommunikation achten?","A) Immer übermäßig laut sprechen, damit er verstanden wird","B) Immer leise sprechen, damit andere nicht mithören können","C) Verständnisfragen stellen, um sicher zu sein, das der Empfänger ihn richtig verstanden hat","D) Wiederholen des Gesagten, um Missverständnisse auszuschließen",.
54. Welche nonverbalen Körpersignale (Körpersprache) signalisieren in der Kommunikation Ablehnung?,A) Offener freundlicher Blickkontakt,B) Arme vor der Brust verschränken,C) Offene Körperhaltung,D) Sich mit anderen unterhalten oder sich mit anderen Dingen beschäftigen,.
55. Wodurch kann falsches Verhalten von Wachpersonen gegenüber Menschen mit Behinderung ausgelöst werden? ,A) Angst vor Unbekanntem und Fehlern ,B) Angst vor Versprechern ,C) Angst vor Ansteckung ,D) Angst vor körperlicher Anstrengung,.
56. Was sollte eine Wachperson bei der Befragung einer Person mit seelischer Behinderung beachten? ,A) Der Person die objektive Wahrnehmungsfähigkeit absprechen ,"B) Der Person signalisieren, dass sie aufgrund ihrer seelischen Erkrankung nicht ernst genommen werden kann ","C) Der Person zeigen, dass ihre seelische Behinderung als Verrücktheit zu verstehen ist. Sie sollte aufgefordert werden, sich zusammenzureißen ",D) Der Person mit Respekt und Toleranz begegnen ,.
57. Ein Fahrgast raucht im rauchfreien Bahnhof. Wie sollte der Fahrgast durch eine Wachperson auf das Rauchverbot aufmerksam gemacht werden?,"A)  ""Wenn Sie rauchen möchten, verlassen Sie bitte den Bahnhof!""
","B) ""Hallo, mein Freund, mach die Kippe sofort aus!""","C) ""Bitte machen Sie Ihre Zigarette aus, hier dürfen Sie nicht rauchen!""","D) ""Die Raucher! Sie können es wohl nicht lassen!""",.
"58. Vorurteile sind häufig Auslöser von Aggressionen und Frustrationen. Vorurteile können das Zusammenleben erschweren.
Sie entstehen durch…",A) …Aufklärung und Information,"B) …schlechte Erfahrungen, Verallgemeinerungen",C) …Verständnis und Toleranz,D) …falsche Vorbilder und Unwissenheit,.
59. Wie kann ein Gespräch positiv beeinflusst werden?,A) Durch ständiges Schweigen,B) Durch aktives Zuhören,C) Durch häufiges Dazwischenfragen,D) Durch Ausredenlassen,.
60. Was kann einen Konflikt deeskalieren?,A) Gefühle kontrollieren,B) Schuldzuweisungen wiederholen,C) Hektisch Anweisungen geben,D) Ruhig und aufmerksam zuhören,E) Körperliche Gewalt drohen
"61. Was fällt unter den Begriff der „para-verbalen"" Kommunikation?","A) Stimme, Tonfall, Lautstärke","B) Gestik, Mimik, Körperhaltung","C) Frisur, Kleidung, Schmuck","D) Geschlecht, Größe, Alter",.
62. Welche Frage ist eine/welche Fragen sind geschlossene Frage/n?,"A) ""Warum haben Sie den Besucher warten lassen?""","B) ""Haben Sie den Diebstahl beobachtet?""","C) ""Welche Maßnahmen zum Diebstahlschutz schlagen Sie vor?""","D) ""Haben Sie die Videoaufzeichnung auftragsgemäß gelöscht?""",.
"63. Etwa 100 Kunden warten vor dem Eingang eines Kaufhauses auf den Einlass.
Bei diesen Personen handelt es sich um ...",A) eine Gruppe,B) eine Menge,C) eine Masse,D) ein Team,.
"64. Sie sind als Ladendetektiv in einem Kaufhaus eingesetzt. Welche Gesprächsregeln im Umgang mit Mitarbeitern des Kaufhauses sollten Sie beachten, wenn Sie Absprachen treffen wollen?","A) Den Gesprächspartner stets im Unklaren über den Grund für das Ansprechen lassen, weil dies die eigene Position stärkt",B) Den Grund für das Ansprechen kurz und präzise mitteilen,C) Den Gesprächspartner ausreden lassen,.,.
65.  Welchen Zweck erfüllen Drehschleusen?,A) Sie gewährleisten den gleichzeitigen Zutritt mehrerer Personen,B) Sie ermöglichen das Fernhalten unberechtigter Personen,"C) Sie geben Auskunft, wer wann den Sicherungsbereich betreten bzw. verlassen hat",.,.
"66.  Welche Brandmelder reagieren auf Temperaturanstieg?
",A) Rauchmelder,B) Wärmemaximalmelder,C)  Flammenmelder,D) Wärmedifferentialmelder,.
67.  Welchen Zweck sollen mechanische Sicherungen erfüllen?,"A)  Sie sollen das unbefugte Eindringen in Objekte maßgeblich erschweren
","B) Der Schwerpunkt in ihrer Wirkung beruht auf Zeitgewinn beim Überwindungsversuch
","C)  Sie spielen kaum noch eine Rolle, da elektrische / elektronische Sicherungen bevorzugt werden",.,.
"68. Welche Aussagen über Personenschleusen sind richtig?
",A) Personenschleusen gewährleisten einen störungsfreien und gleichzeitigen Zutritt mehrerer Personen zu Sicherheitsbereichen,B) Sie bezwecken das Fernhalten unberechtigter Personen von Räumen mithohem Risikopotenzial,"C)  Wird für die Personenkontrolle ein Zutrittskontrollsystem verwendet, so erfolgt die Identitätskontrolle im Schleusenraum",.,.
"69. Welche Bedienungsfehler können dazu führen, dass bei Funkgeräten kein Funkkontakt herzustellen ist?
",A) Geräteantenne ist gebrochen ,B) Falscher Kanal ist gewählt,C) Akku ist wegen eines Kurzschlusses leer ,D) Funkgerät ist nicht eingeschaltet ,.
