"84. Frage","a","b","c","d","."
"11. Müssen Wachpersonen ihren Ausweis gemäß BewachV sichtbar tragen?","A) Ja, während des Wachdienstes. Diese Tragepflicht entfällt allerdings, wenn die Wachpersonen ein Kennschild bzw. ein Namensschild sichtbar tragen","B) Nein, während des Wachdienstes müssen Wachpersonen den Ausweis mitführen und auf Verlangen den Beauftragten der Vollzugsbehörden vorzeigen","B) Ja, während des Wachdienstes. Dies gilt aber nur für sachkundepflichtige Bewachungstätigkeiten wie “Kontrollgänge im öffentlichen Verkehrsraum”","D) Ja, während des Wachdienstes. Ausgenommen  davon ist der „Personenschutz". Personenschützer müssen den Ausweis nur mitführen","."
"12. Welche Voraussetzungen muss eine Person unter anderem gemäß § 34a GewO und BewachV nachweisen, um Kontrollgänge im öffentlichen Verkehrsraum durchführen zu dürfen?","A) Sie muss nachweisen, dass sie vor einer Industrie- und Handelskammer die Sachkundeprüfung erfolgreich abgelegt hat.","B) Sie muss nachweisen, dass sie an einer 40stündigen Unterrichtung bei einer Industrie- und Handelskammer erfolgreich teilgenommen hat.","C) Sie muss nachweisen, dass sie eine zweijährige Berufspraxis im Bewachungsgewerbe hat.","","."
"13. Gemäß DS-GVO und BDSG ist die Verarbeitung „besonderer Kategorien personenbezogener Daten" grundsätzlich untersagt. Welche Informationen zählen hierzu?","A) Freiwillige Telefonbucheintragungen","B) Namensangaben auf dem Türschild","C)  Gesundheitsdaten","D) Genetische und biometrische Daten","."
"14. Unter welchen Voraussetzungen ist gemäß DS-GVO und BDSG die Videoüberwachung zulässig?","A) Wenn am Ort der Videoüberwachung für betroffene Personen an einer zugänglichen Stelle Informationen zur Verfügung stehen, u.a. der Name und die Kontaktdaten der für die Videoüberwachung verantwortlichen Person bekannt gemacht werden","B) Wenn die Videoüberwachung ausschließlich auf umfriedetem Betriebsgelände zum Schutz vor Diebstahl stattfindet","C) Wenn die Videoüberwachung z.B. der Wahrnehmung des Hausrechts dient und keine schutzwürdigen Interessen der Betroffenen überwiegen","D) Wenn zur schnellen und eindeutigen Identifizierung natürlicher Personen Gesichtserkennungssoftware eingesetzt wird","."
"15. Wann muss gemäß der DS-GVO der Verantwortliche die personenbezogenen Daten des Betroffenen unverzüglich löschen?","A) Wenn diese Daten von vornherein unrechtmäßig verarbeitet wurden","B) Wenn diese Daten zur Ausübung des Rechts auf freie Meinungsäußerung verwendet werden","C) Wenn diese Daten verwendet werden, um Rechtsansprüche durchzusetzen","D) Wenn die betroffene Person ihre Einwilligung widerruft und es an einer anderweitigen Rechtsgrundlage für die Verarbeitung fehlt","."
"16. Wo ist der Einsatz von Videoüberwachungsanlagen unter Beachtung der Voraussetzungen des Datenschutzrechts erlaubt?","A) In öffentlich zugänglichen Bereichen, z. B. in Eingangsbereichen eines Rathauses zum Schutz des Hausrechts","B) In Umkleidekabinen von Bekleidungsgeschäften zum Schutz vor Diebstählen","C) In Büros und Werkshallen zur Auswertung der Arbeitsleistung der Mitarbeiter","","."
"17. Was bildet die rechtliche Grundlage des Datenschutzes?","A) Die Gewerbeordnung","B) Das Bürgerliche Gesetzbuch","C) Die EU-Datenschutz-Grundverordnung (DS-GVO) und die ergänzende Vorschriften des Bundesdatenschutzgesetz (BDSG)","","."
"18. Welche Aussagen zum Selbsthilferecht des Besitzers sind beim Vorliegen der verbotenen Eigenmacht gemäß BGB richtig?","A) Der Besitzer darf sich verbotener Eigenmacht nur mit Gewalt erwehren, wenn Hilfe durch die Polizei nicht rechtzeitig zu erwarten ist","B) Der Besitzer darf sich verbotener Eigenmacht mit Gewalt erwehren","C) Der durch verbotene Eigenmacht erlangte Besitz ist fehlerhaft","D) Die Selbsthilfe darf nur derjenige Besitzer ausüben, dem die Sache gehört, gegen die sich die verbotene Eigenmacht richtet","."
"19. Wovon kann die Gefahr beim Verteidigungsnotstand gemäß BGB ausgehen?","A) Von Sachen","B) Von Naturereignissen","C) Von Menschen","D) Von Tieren","."
"20. Gemäß §§ 855 und 860 BGB darf der Besitzdiener Rechte ausüben, die dem Besitzer zustehen. Auf welche Fälle trifft dies zu?","A) Er darf zur Durchsetzung eines Anspruchs zugunsten des Besitzers den Täter festnehmen, wenn er der Flucht verdächtig ist","B) Er darf eine dem Besitzer weggenommene Sache dem auf frischer Tat betroffenen oder verfolgten Täter notfalls mit Gewalt abnehmen","C) Er darf sich mit Gewalt einer Besitzstörung erwehren, die gegen den Besitzer gerichtet ist","D) Er darf eine gegen den Besitz des Besitzherrn gerichtete gegenwärtige Gefahr abwenden","."
"21. Was beschreibt das Hausrecht?","A) Der Hausrechtsinhaber kann bestimmen, welche Personen sich in seinem Hausrechtsbereich aufhalten dürfen","B) Der Hausrechtsinhaber kann Verhaltensregeln für seinen Hausrechtsbereich festlegen","C) Der Hausrechtsinhaber muss zustimmen, wenn Personen mit Sonderzugangsrechten seinen Hausrechtsbereich betreten wollen","D) Der Hausrechtsinhaber darf in seinem Hausrechtsbereich tun und lassen, was er will","."
"22. Überprüfen Sie bei den unten aufgeführten Sachverhalten, ob gegen das Schikaneverbot (§226 BGB) verstoßen wird. Kreuzen Sie die Fälle der Schikane an.","A) Ein Türsteher einer gastgewerblichen Diskothek gewährt Jugendlichen keinen Eintritt, weil sie sich einer Alterskontrolle nicht unterziehen wollen","B) Ein Sicherheitsmitarbeiter kommt immer wieder zu spät zum Dienst. Dafür wird er jedes Mal von seinem Vorgesetzten getadelt","C) Ein Sicherheitsmitarbeiter führt immer wieder bei wenigen bestimmten Personen Taschenkontrollen durch, obwohl er dazu nicht beauftragt ist und das Verhalten dieser Personen hierzu auch keinen Anlass gibt","D) Ein Türsteher einer gastgewerblichen Diskothek gewährt seine Ex-Frau keinen Eintritt, weil sie von ihm geschieden ist","."
"23. Wachperson W bewacht das Lager eines Kunden. Während eines Kontrollganges beobachtet W die Person X, die vor der Wand einer Lagerhalle steht und eine Farbspraydose hörbar schüttelt. W ist Besitzdiener. Kann W gemäß BGB eingreifen, um die Verunstaltung der Lagerhalle mit Graffiti durch X zu verhindern?","A) Ja, W kann aber erst im Sinne der allgemeinen Selbsthilfe einschreiten, wenn X begonnen hat, die Wand der Lagerhalle zu besprühen","B) Ja, W kann durch das Selbsthilferecht des Besitzdieners verhindern, dass X den Besitz des Kunden durch Graffiti stört","C) Ja, W kann den unmittelbar bevorstehenden , rechtswidrigen Angriff auf das Rechtsgut „Eigentum" des Kunden durch Notwehr abwehren","D) Ja, W kann im Sinne des Angriffsnotstands gegen X vorgehen, um die Gefahr der Verunstaltung der Lagerhalle durch Graffiti abzuwenden","."
"24. Welche Aussagen zum Verteidigungsnotstand gemäß § 228 BGB sind richtig?","A) Die Notstandshandlung muss zur Abwendung der Gefahr erforderlich sein. Die Beschädigung oder Zerstörung der Sache darf nicht außer Verhältnis zu der Gefahr stehen","B) Der Verteidigungsnotstand erlaubt die Beschädigung oder Zerstörung einer fremden Sache, um damit eine durch sie drohende Gefahr abzuwenden","C) Beim Verteidigungsnotstand kann die drohende Gefahr von Sachen, Tieren, Witterungsverhältnissen oder Menschen ausgehen","D) Die Notstandshandlung ist unzulässig, wenn der Notstandshandelnde die Gefahr selbst verursacht hat","."
"25. Welche Aussagen zur „Selbsthilfe des Besitzdieners" sind gemäß §§ 855 und 860 BGB richtig?","A) Der Besitzdiener darf eine dem Besitzer weggenommene Sache auch Tage später dem Dieb abnehmen, um sie dem Besitzer zurückzugeben","B) Der Besitzdiener darf bei verbotener Eigenmacht nur eingreifen, wenn er sich zuvor vom Eigentümer die Zustimmung eingeholt hat","C) Der Besitzdiener darf eine dem Besitzer weggenommene Sache dem auf frischer Tat betroffenen oder verfolgten Täter notfalls mit angemessener Gewalt abnehmen","D) Der Besitzdiener darf eine Person, die sich unbefugt im Hausrechtsbereich aufhält, vom Objekt verweisen oder mit angemessener Gewalt entfernen","."
"26. Wachperson W führt Einlasskontrollen in einem Stadion durch. Das Mitnehmen von Glasflaschen ist verboten, da sie als Wurfgeschosse verwendet werden können. Bei der Kontrolle eines 20-Jährigen stellt W eine Glasflasche fest. Die Person weigert sich, die Flasche abzugeben. Mit welcher Rechtfertigung kann W dem 20-Jährigen das Betreten des Stadions verweigern?","A) Mit der Allgemeinen Selbsthilfe (§ 229 BGB)","B) Mit der Selbsthilfe des Besitzdieners (§§ 859 , 860 BGB)","C) Mit der Notwehr (§ 227 BGB)","D) Mit dem übertragenen Hausrecht","."
"27. Welche Dokumente unterliegen grundsätzlich den Bestimmungen des BGB?","A) Ehevertrag","B) Dienstleistungsvertrag","C) Strafantrag","D) Gewerbeanmeldung","."
"28. Eine Person leiht für eine Woche einem Kollegen ihren Werkzeugkasten, ohne eine schriftliche Vereinbarung darüber zu treffen. Als die Person ihren Werkzeugkasten zurückhaben will, weigert sich der Kollege mit der Begründung, der Werkzeugkasten sei jetzt sein Eigentum. Stimmt das?","A) Ja, wenn der Kollege einen Zeugen benennen kann, der bestätigt, dass der Werkzeugkasten schon länger als eine Woche in dessen Besitz ist.","B) Nein, weil der Eigentümer seinem Kollegen nur den Besitz am Werkzeugkasten eingeräumt hat. Es erfolgte keine Eigentumsübertragung.","C) Ja, da die beiden es versäumt haben, einen schriftlichen Leihvertrag abzuschließen.","","."
"29. Welches Recht aus dem BGB kann der Auftraggeber auf den Bewachungs-Gewerbetreibenden und auf dessen Mitarbeiter vertraglich übertragen?","A) Die Notwehr","B) Den Verteidigungsnotstand","C) Die allgemeine Selbsthilfe","","."
"30. Welche Handlungen sind Ihnen im Rahmen der allgemeinen Selbsthilfe erlaubt gemäß § 229 BGB?","A) Ich darf eine Person, die einen Sachschaden verursacht hat, festnehmen, auch wenn sie den Schaden sofort bezahlt.","B) Ich darf eine mir persönlich bekannte Person, die einen Diebstahl begangen hat, festnehmen, um ihre Wohnanschrift festzustellen.","C) Ich darf eine mir unbekannte Person, die mich bestohlen hat und weglaufen will, bis zum Eintreffen der alarmierten Polizei festnehmen.","","."
"31. Die Straftat wird allgemein als eine tatbestandsmäßige, rechtswidrige und schuldhafte Handlung eines Menschen dargestellt. In welchem Fall handelt es sich im strafrechtlichen Sinne um eine schuldhafte menschliche Handlung?","A) Wenn eine Person bei einem Unglücksfall keine Hilfe leistet, obwohl dies möglich und zumutbar wäre","B) Wenn sich eine Person im Zustand der Bewusstlosigkeit bewegt und dabei eine andere Person verletzt","C) Wenn eine Person in rechtswidriger Zueignungsabsicht eine fremde bewegliche Sache einem anderen wegnimmt","D) Wenn ein 12-jähriger Schüler gewollt einen anderen Schüler mittels einer Ohrfeige körperlich misshandelt","."
"32. K betritt kurz vor Geschäftsschluss ein Kaufhaus, versteckt sich und läßt sich nach Geschäftsschluss einschließen. Nach einer Weile hat er verschiedene Elektroartikel in seinem Rucksack verstaut und will das Kaufhaus verlassen. Kaufhausdetektiv P stellt K und verhindert, dass K mit der Beute flüchtet. P hält K bis zum Eintreffen der alarmierten Polizei fest. Auf welche Rechtfertigungsgründe kann P sein Einschreiten stützen?","A) Auf die vorläufige Festnahme gemäß § 127 Abs. 1 StPO","B) Auf den rechtfertigenden Notstand gemäß § 34 StGB","C) Auf den entschuldigenden Notstand gemäß § 35 StGB","D) Auf die Notwehr gemäß § 32 StGB","."
"33. Welche Aussagen zum Strafantrag sind gemäß StGB richtig?","A) Der Strafantrag ist vom Geschädigten zu stellen","B) Der Strafantrag ist erforderlich, um Schadensersatzansprüche durchsetzen zu können","C) Der Strafantrag muss schriftlich gestellt werden","D) Der Strafantrag ist innerhalb eines Jahres nach Kenntnis von Tat und Täter zu stellen","."
"34. Was sind besonders schwere Fälle des Diebstahls gemäß §§ 242, 243 StGB?","A) Einbruchdiebstahl in einen Geschäftsraum","B) Wohnungseinbruchdiebstahl","C) Diebstahl mit Waffen","D) Diebstahl eines Maschinengewehrs","."
"35. Welche Aussagen zum Raub und zum räuberischen Diebstahl sind gemäß StGB richtig?","A) Bei beiden Delikten ist Fahrlässigkeit strafbar","B) Beide Delikte sind Verbrechen","C) Beide Delikte sind Vergehen","D) Beide Delikte sind Offizialdelikte","."
"36. Welche Aussagen zur Begünstigung gemäß StGB sind richtig?","A) Die Begünstigung ist ein Verbrechen","B) Die Begünstigung setzt eine begangene Vortat voraus, z.B. einen Diebstahl","C) Die Begünstigung ist auch durch Unterlassen möglich, wenn eine Garantenpflicht zur Verhinderung des Erfolgs besteht","D) Die Begünstigung ist auch dann strafbar, wenn sie fahrlässig begangen wird","."
"37. Eine Person gibt sich unter Vorlage eines Dienstausweises gegenüber einem Bewachungsgewerbetreibenden als Beamter der zuständigen Gewerbebehörde aus und verlangt Auskünfte über den Geschäftsbetrieb. Bei der Überprüfung des Ausweises stellt sich heraus, dass dieser unecht ist. Macht sich die Person strafbar?","A) Ja, wegen Betrug (§ 263 StGB)","B) Ja, wegen Urkundenfälschung (§ 267 StGB)","C) Ja, wegen Amtsanmaßung (§ 132 StGB)","D) Ja, wegen Mißbrauch von Ausweispapieren (§ 281 StGB)","."
"38. Bei welchen Delikten kann die fahrlässige Begehung strafbar sein?","A) Bei Körperverletzungsdelikten","B) Bei Beleidigungsdelikten","C) Bei Waffendelikten","D) Bei Eigentums- und Vermögensdelikten","."
"39. Welche Aussagen zum Hausfriedensbruch gemäß § 123 StGB sind richtig?","A) Der Hausfriedensbruch ist ein Vergehen","B) Der Versuch ist strafbar","C) Der Hausfriedensbruch ist ein Offizialdelikt","D) Der fahrlässige Hausfriedensbruch ist ein Antragsdelikt","."
"40. Der 23-jährige Z hat dem Rentner R die Brieftasche gestohlen und konnte unerkannt entkommen. Einige Tage später sieht R den Z auf der Straße.

Was kann der Rentner R unternehmen?","A) R kann Strafanzeige wegen Diebstahls bei der Polizei erstatten","B) R kann Z gegen dessen Willen nach einem Ausweis durchsuchen, um dessen Identität festzustellen","C) R kann Z gemäß StPO vorläufig festnehmen","","."
"41. In welchem Fall liegt strafbare Sachbeschädigung gemäß § 303 StGB vor?","A) Wenn jemand rechtswidrig Daten auf einem fremden Computer löscht.","B) Wenn jemand die Umgebungsluft mit Abgasen verunreinigt.","C) Wenn jemand ein fremdes Haustier tötet.","","."
"42. Wann verletzen Sie als Wachperson Ihre Garantenstellung?","A) Ein Obdachloser betritt unbefugt mein Wachobjekt. Ich verhindere dies nicht, obwohl es für mich zumutbar und möglich ist.","B) In einem Lager wird Alarm ausgelöst, weil lebensgefährliche Gifte aus einem Behälter austreten. Ich weigere mich, nach der Ursache für das Austreten der Gifte zu suchen.","C) Aus einem brennenden Gebäude sind Hilferufe zu hören. Ich tue nichts, weil bereits die Feuerwehr im Einsatz ist, um die vom Feuer bedrohten Menschen zu retten.","","."
"43. Wozu sind Sie als Zeuge in einem Strafverfahren u.a. verpflichtet?","A) Ich habe die Pflicht, auszusagen, auch wenn ich mich damit selbst belaste","B) Ich habe die Pflicht, zu dem Gerichtstermin zu erscheinen und meine Personalien zu nennen","C) Ich habe die Pflicht, auszusagen, auch wenn ich damit meinen Ehepartner belaste","","."
"44. Wie sollten Sie sich im Umgang mit Gruppen verhalten?","A) Jede Gruppe sofort auflösen, denn jede Gruppenbildung ist gefährlich.","B) Die Anrede positiv gestalten und negative Formulierungen vermeiden.","C) Die Gruppemitglieder mit Du anreden, um damit eine Vertrauensbasis herzustellen.","","."
"45. Welche Aussage über Vorurteile ist richtig?","A) Vorurteile bilden die Grundlage für eine gute Menschenkenntnis.","B) Vorurteile prägen sich dauerhaft ein und können deshalb nicht korrigiert werden.","C) Vorurteile können zu Fehlurteilen führen und bilden dann die Grundlage für falsche Anschuldigungen.","","."
"46. Können Konflikte auch positive Wirkungen haben?","A) Nein. Konflikte sind immer negativ, denn sie sind unvermeidbar und stören das Zusammenleben der Menschen.","B) Ja. Erlebte Konflikte können ein Umdenken bewirken, Selbsterkenntnis fördern und Probleme aufzeigen.","C) Nein, weil Konflikte durch Meinungsverschiedenheiten ausgelöst werden und stets Aggressionen zur Folge haben.","","."
"47. Welche Aussagen über menschliche Gefühle sind richtig?","A) Im beruflichen Umfeld sind Gefühle wie Ärger und Enttäuschung positiv. Sie erhöhen die","B) überzeugendes Auftreten ist nur möglich mit sachlichen und rationalen Argumenten. Gefühle sind hierbei störend","C) Die Kommunikation kann durch Gefühle, die sich auf der Beziehungsebene ausdrücken,  beeinflusst werden","D) Die Gesprächsführung kann erschwert sein, wenn die Beziehung zwischen den Gesprächspartnern durch Gefühle wie Wut gestört wird","."
"48. Was ist aggressives Verhalten?","A) Einen anderen Menschen beleidigen","B) Ein fremdes Fahrzeug fahrlässig beschädigen","C) Mit Absicht fremde Sachen zerstören","D) Wichtige Informationen gegenüber Kollegen zurückhalten","."
"49. Wie können Konflikte vermieden werden?","A) Eine Person, die sich falsch verhalten hat, vor Unbeteiligten zur Rede stellen","B) Im Gespräch dem anderen zuhören und die Angelegenheit sachlich erörtern","C) Argumenten des Gesprächspartners sofort widersprechen und diese ins Lächerliche ziehen","D) Im Umgang mit anderen neutral sein und Gemeinsamkeiten deutlich machen","."
"50. Wer ist selbstsicher?","A) Wer handlungssicher und kompetent auftritt","B) Wer seine Machtposition ausnutzt","C) Wer eine gefestigte Persönlichkeit besitzt","D) Wer sich durch jede Art von Kritik verletzt fühlt","."
"51. Was lässt sich beim Gesprächspartner durch aktives Zuhören erreichen?","A) Distanz","B) Vertrauen","C) Zurückhaltung","D) Offenheit","."
"52. Welches Verhalten ist Wachpersonen zu empfehlen, wenn ihr Gegenüber aggressiv ist?","A) Spontan mit Gegenaggression reagieren","B) Auf die Eigensicherung achten","C) Eigenen Gefühlen freien Lauf lassen","D) Mit Entschlossenheit und Selbstsicherheit auftreten","."
"53. Was zählt zur nonverbalen Kommunikation?","A) Das gesprochene Wort","B) Kopf- und Körperhaltung","C) Gestik und Mimik","D) Schriftliche Äußerungen","."
"54. Wann kann das Ehr- und Schamgefühl einer Person verletzt werden?","A) Wenn sich Sicherheitsmitarbeiter bei Taschenkontrollen über die Tascheninhalte lustig machen","B) Wenn eine Person in einem von außen nicht einsehbaren Raum zu einem Arbeitsunfall befragt wird","C) Wenn ein Arbeitskollege vor anderen mit lauter Stimme bloßgestellt wird","D) Wenn ein Mitarbeitergespräch unter vier Augen geführt wird","."
"55. Welche Schlüssel gehören zu einer Generalhauptschlüsselanlage?","A) Zentralschlüssel","B) Gruppenschlüssel","C) Obergruppenschlüssel","D) Buntbartschlüssel","."
"56. Welche Aussagen im Umgang mit einer Sicherungskarte für Schließanlagen sind richtig?","A) Die Sicherungskarte soll so aufbewahrt werden, dass schließberechtigte Mitarbeiter bei Bedarf selbst Ersatzschlüssel anfertigen lassen können","B) Die Sicherungskarte ist zuverlässig gegen den Zugriff von unbefugten Personen aufzubewahren","C) Der Berechtigte muss die Sicherungskarte dem Hersteller vorlegen , damit anhand der Codierung Ersatzschlüssel angefertigt werden können","D) Wenn eine Sicherungskarte verloren geht, ist es nicht mehr möglich, Ersatzschlüssel anfertigen zu lassen","."
"57. Welche Aufgaben soll eine Brandmeldezentrale erfüllen?","A) Sie erfüllt Informationsaufgaben, z.B. über ein Feuerwehrbedienfeld","B) Sie schließt Rauch- und Wärmeabzugsanlagen (RWA)","C) Sie aktiviert nach einem Brandalarm eine vorhandene nasse Sprinkleranlage","D) Sie erledigt Steuerungsaufgaben , z.B. das Abschalten von Klimaanlagen und Aufzügen","."
"58. Ist es richtig, dass es eine der wichtigen Pflichten eines Sicherheitsmitarbeiters ist, über Dienstvorgänge jeglicher Art Stillschweigen zu bewahren?","A) Ja, Verletzungen der Verschwiegenheitspflicht können für Betrieb und Mitarbeiter ernste Folgen haben.","B) Nein, die Verletzung der Verschwiegenheitspflicht ist erlaubt, wenn der Sicherheitsmitarbeiter außer Dienst ist.","C) Nein, wenn Kollegen Auskunft verlangen, muss der Sicherheitsmitarbeiters sie geben, damit das Betriebsklima nicht gestört wird.","D) Nein, wenn es für den Sicherheitsmitarbeiters nützlich ist, muss er sich nicht an diese Regel halten.","."
"59. Was kann Frustration auslösen?","A) Zufriedenheit","B) Aggression","C) Rückzug und Resignation","D) Gelassenheit","."
"60. Ein Ladendetektiv erwischt eine Person, die er gut kennt, beim Diebstahl. Dadurch entsteht eine schwierige Situation. Wie verhält sich der Detektiv richtig?","A) Dem Detektiv ist die Situation peinlich. Er ermahnt den Dieb und lässt ihn ohne weitere Folgen gehen","B) Der Detektiv nutzt die Gelegenheit, um seinem Bekannten zu zeigen, wie gut er seinen Job beherrscht und macht ihm vor anderen Kunden laute Vorwürfe („Na, Sie Dieb!“)","C) Der Detektiv bleibt ruhig und korrekt. Er wickelt die Angelegenheit sachlich und neutral ab","D) Er weist den Bekannten höflich darauf hin, dass er seinen Arbeitsauftrag erfüllt","."
"61. Welche Aussage über das Verhalten einer Einzelperson in Gruppen, Mengen oder Massen ist richtig?","A) In der Gruppe, Menge oder Masse fühlt sich die Einzelperson unterlegen und hält sich mit eigenen Aktivitäten zurück","B) Eine Person verhält sich immer gleich. Es ist egal, ob sie allein oder Mitglied einer Gruppe ist oder sich in einer Menge oder Masse befindet","C) In der Anonymität der Gruppe, Menge oder Masse lassen sich Einzelpersonen oft zu Handlungen verleiten, die sie sonst unterlassen würden","D) Das Verhalten einer Person in einer Gruppe ist unberechenbar, sie unterwirft sich spontanen Gruppenregeln und passt sich stets an","."
"62. Mehrere Erwachsene nähern sich dem Einlass einer Veranstaltung. Sie unterhalten sich lautstark, einige stoßen sich freundschaftlich an. Welche Einschätzung dieser Situation ist wahrscheinlich richtig?","A) Die Gruppe stellt eine Gefahr dar. Es droht eine Eskalation der Situation. Der Zugang ist zu unterbinden","B) Die Gruppe stellt allem Anschein nach keine Gefahr dar. Sie ist offensichtlich gut gelaunt. Es reicht aus, die Erwachsenen zu beobachten","C) Die Gruppe stellt eine Gefahr dar. Auf freundschaftliches Schubsen folgt immer eine handgreifliche Auseinandersetzung","D) Die Gruppe stellt eine Gefahr dar, weil die körperliche Unversehrtheit anderer Besucher gefährdet ist","."
"63. Welche Aussagen zum „Kleinen Waffenschein" gemäß WaffG sind richtig?","A) Er wird grundsäzlich befristet erteilt.","B) Er wird grundsäzlich unbefristet erteilt.","C) Er wird nur mit Beschränkungen erteilt","D) Er gilt nur für Schreckschuss-, Reizgas- und Signalwaffen mit PTB-Zeichen im Kreis","."
"64. Welche Fristen gelten für die Waffenbesitzkarte gemäß WaffG?","A) Die Erlaubnis zum Erwerb einer Waffe gilt für die Dauer eines Jahres","B) Die Erlaubnis zum Erwerb einer Waffe gilt für die Dauer von vier Wochen","C) Die Erlaubnis zum Besitz einer Waffe gilt für die Dauer von drei Jahren","D) Die Erlaubnis zum Besitz einer Waffe wird grundsätzlich unbefristet erteilt","."
"65. Welche Tatsachen rechtfertigen gemäß WaffG die Annahme, dass eine Person erforderliche persönliche Eignung nicht besitzt?","A)  Wenn sie geschäftsunfähig ist","B) Wenn sie Waffen oder Munition sorgfältig verwahrt","C)  Wenn sie abhängig von Alkohol oder psychisch krank ist
","D)  Wenn sie keine Mitgliedschaft in einem Schützenverein nachweisen kann","."
"66. Wozu berechtigt der Waffenschein gemäß WaffG?","A) Zum Erwerb von Schußwaffen","B) Zum Führen von halbautomatischen Pistolen","C) Zum Erwerb von Munition","D) Zum Besitz von Waffen","."
"67. Sie wollen sich ein Reizstoffsprühgerät kaufen. Was müssen Sie dabei aus waffenrechtlicher Sicht beachten?","A) Ich muss darauf achten, dass das Reizstoffsprühgerät das amtliche Zulassungszeichen „PTB in einer Raute mit Nummer" trägt.","B) Ich muss dem Waffenhändler für den Kauf des Reizstoffsprühgerätes eine Waffenbesitzkarte vorlegen.","C) Ich muss beim Kauf des Reizstoffsprühgerätes nachweisen, dass ich mindestens 18 Jahre alt bin, z. B. durch einen Personalausweis.","","."
