"1. Frage","a","b","c","d","e"
"17. Was sind ,,personenbezogene Daten" im Sinne der DS-GVO?","A) Alle Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen","B) Anonyme Informationen über natürliche Personen, die für statistische oder für Forschungszwecke verwendet werden","C) Alle personenbezogenen Daten, die durch Pseudonymisierung so verarbeitet wurden, dass sie ohne zusätzliche Informationen nicht mehr einer bestimmten Person zugeordnet werden können","D) Alle Informationen, die sich auf eine identifizierte oder identifizierbare juristische Person beziehen","."
"18. Welche Aussagen zur Videoüberwachung im Sinne des BDSG sind richtig?","A) Die Vorschriften des BDSG gelten auch für die Videoüberwachung innerhalb der Wohnung natürlicher Personen","B) Die Videoüberwachung öffentlich zugänglicher Räume zur „Wahrnehmung des Hausrechts" dient der Verhinderung und Aufklärung von Straftaten","C) Auf die Videoüberwachung muss hingewiesen werden. Ausreichend hierfür ist die Anbringung eines Bildsymbols „Videoüberwachung" am Eingangsbereich","D) Die Videoüberwachung ist zulässig zur Überwachung des Verhaltens und der Arbeitsleistung von Beschäftigten","."
"19. Welche Aussagen zur „Selbsthilfe des Besitzdieners“ sind gemäß §§ 860 und 855 BGB richtig?","A) Der Besitzdiener darf eine dem Besitzer weggenommene Sache auch Tage später dem Dieb abnehmen, um sie dem Besitzer zurückzugeben","B) Der Besitzdiener darf bei verbotener Eigenmacht nur eingreifen, wenn er sich zuvor vom Eigentümer die Zustimmung eingeholt hat","C) Der Besitzdiener darf eine dem Besitzer weggenommene Sache dem auf frischer Tat betroffenen oder Täter notfalls mit angemessener Gewalt abnehmen","D)  Der Besitzdiener darf eine Person, die sich unbefugt im Hausrechtsbereich aufhält, vom Objekt verweisen oder mit angemessener Gewalt entfernen","."
"20. Wann darf sich der Besitzer gemäß BGB verbotener Eigenmacht mit Gewalt erwehren?","A)  Wenn er eine Person am unbefugten Betreten seines Warenlagers hindern will","B) Wenn er einen Angriff gegen sein Leben abwenden will","C) Wenn er verhindern will, dass sein geparkter PKW mutwillig beschädigt wird","D) Wenn er verhindern will, dass sein falsch geparkter PKW von einem Abschleppunternehmen abtransportiert wird. Die Polizei hat das Abschleppunternehmen dazu beauftragt","."
"21. Dürfen Wachpersonen zur Aufrechterhaltung der betrieblichen Sicherheit und Ordnung und zum Schutz von Leib, Leben sowie weiterer Rechtsgüter in die Rechte Dritter eingreifen?","A) Ja, sie dürfen in die Rechte Dritter zur Durchsetzung von Sicherheitsinteressen des Auftraggebers uneingeschränkt eingreifen","B) Ja, sie dürfen Befugnisse wie die Notwehr und Notstände zugunsten eines Auftraggebers unter Beachtung des Grundsatzes der Erforderlichkeit einsetzen","C) Ja, sie dürfen im Rahmen der Wahrnehmung des Hausrechts des Auftraggebers das unbefugte Betreten des Betriebsgeländes und der Betriebsgebäude untersagen","D) Nein, weil Wachpersonen nicht die Eigenschaft und Befugnisse eines Polizeivollzugsbeamten besitzen","."
"22. Wann ist die,,Selbsthilfe des Besitzers" gemäß § 859 BGB zulässig?","A) Sie ist zulässig in Form der Besitzwehr bei beweglichen Sachen und Grundstücken","B) Sie ist zulässig in Form der Besitzkehr bei beweglichen Sachen, wenn der Täter auf frischer Tat betroffen oder verfolgt wird","C) Sie ist zulässig in Form der Besitzkehr bei Grundstücken, wenn der Täter auf frischer Tat betroffen wird","D) Sie ist zulässig in Form der Besitzwehr oder Besitzkehr, wenn der Täter widerrechtlich und schuldhaft handelt","."
"23. Welche Rechte besitzt der Eigentümer gemäß § 903 BGB, soweit nicht das Gesetz oder Rechte Dritter entgegenstehen?","A) Er darf für Besucher, die seine Geschäftsräume betreten wollen, eine Hausordnung erstellen","B) Er darf andere Personen von jeder Einwirkung auf sein Eigentum ausschließen, um z. B. die unbefugte Wegnahme oder Benutzung zu verhindern","C) Er darf Passanten verbieten, sein Betriebsgelände von öffentlichen Straßen aus zu fotografieren","D) Er darf als Eigentümer seiner Geschäftsräume eine Betriebsprüfung, z.B. durch die Gewerbebehörde, verwehren","."
"24. Welche Aussagen zum ,,Eigentum" sind richtig?","A) Eigentum wird durch Art. 14 GG als Grundrecht geschützt","B) Eigentum darf nicht eingeschränkt werden","C) Eigentum kann durch Gesetze eingeschränkt werden","D) Eigentum darf nur durch Notstandsbestimmungen geschützt werden","."
"25. Welche Aussage zur „Unerlaubten Handlung“ gemäß § 823 BGB ist richtig?","A) Unerlaubte Handlungen werden mit Geldbußen geahndet","B) Unerlaubte Handlungen lösen in der Regel Schadensersatzpflichten aus","C) Unerlaubte Handlungen werden mit Geldstrafe geahndet","D) Unerlaubte Handlungen bestehen auch in der Verletzung von Vertragspflichten","."
"26. Welche Aussagen zu den Rechtfertigungsgründen im BGB sind richtig?","A) Die Gewaltanwendung ist nur unter den gesetzlich festgelegten Voraussetzungen zum Schutz oder zur Durchsetzung von Rechten gestattet","B) Die Rechtfertigungsgründe dürfen nur zum Schutz eigener Rechtsgüter angewendet werden","C) Grundsätzlich ist nur der Staat zur Gewaltanwendung befugt. Nur die Rechtfertigungsgründe, wie z. B. die Notwehr, erlauben dem Bürger im privaten Bereich die Gewaltanwendung","D) Wenn die gesetzlich festgelegten Voraussetzungen der Rechtfertigungsgründe im BGB beachtet werden, besteht in keinem Fall die Pflicht zum Schadensersatz","."
"27. Kaufhausdetektiv K stößt unabsichtlich die Einkaufstasche eines Kunden von einem Tisch. Die sich darin befindende Vase geht dadurch zu Bruch. Ist K gemäß BGB schadensersatzpflichtig?","A) Ja, weil er fahrlässig und widerrechtlich fremdes Eigentum zerstört hat","B) Nein, weil er fremdes Eigentum ohne Vorsatz beeinträchtigt hat","C) Nein, weil er nicht widerrechtlich gehandelt hat","D) Ja, weil er vorsätzlich fremdes Eigentum widerrechtlich zerstört hat","."
"28. Bei welchem Rechtfertigungsgrund kann trotz Beachtung der gesetzlich vorgeschriebenen Voraussetzungen der Handelnde zum Schadensersatz verpflichtet  sein?","A) Beim Aggressivnotstand (§ 904 BGB)","B) Bei der Selbsthilfe des Besitzers (§ 859 BGB)","C) Bei der Allgemeinen Selbsthilfe (§ 229 BGB)","D) Bei der Notwehr (§ 227 BGB)","."
"29. Welche Aussage zur Notwehr gemäß BGB ist richtig?","A) Der Verteidiger muss zur Abwehr eines Angriffs das mildeste Mittel wählen, das geeignet ist, den Angriff abzuwehren.","B) Der Verteidiger darf einen Angriff nur dann abwehren, wenn der Angriff rechtswidrig, gegenwärtig und der Angreifer mindestens 14 Jahre alt ist.","C) Der Verteidiger darf nur Angriffe gegen Leib, Leben oder Freiheit abwehren, nicht aber Angriffe gegen das Eigentum oder das Hausrecht.","","."
"30. Wer darf das Hausrecht ausüben?","A) Nur der Mieter einer Wohnung, der regelmäßig die Miete zahlt.","B) Der Besitzdiener, dem das Hausrecht übertragen wurde.","C) Nur der Eigentümer. Auch dann, wenn er die Räume vermietet hat.","","."
"31. Welches Recht aus dem BGB kann der Auftraggeber einer Wachperson und dem Bewachungs-Gewerbetreibenden vertraglich übertragen?","A) Den Verteidigungsnotstand","B) Die Notwehr","C) Die allgemeine Selbsthilfe","","."
"32. Welche Aussagen zur „,Unterschlagung“ gemäß § 246 StGB sind richtig?","A)  Unterschlagung liegt z.B. vor, wenn eine Person eine auf der Straße gefundene Sache in der Absicht einsteckt, diese zu behalten","B) Die Unterschlagung schützt das Rechtsgut „Eigentum“","C) Bei der Unterschlagung nimmt der Täter einem anderen eine bewegliche Sache mit Gewalt weg","D) Die Unterschlagung ist auch bei fahrlässiger Begehung strafbar","."
"33. In welchen Fällen ist die Notwehr gemäß § 32 StGB in der Regel nicht geboten?","A) Bei einer absichtlichen Provokation","B) Wenn der Angreifer alkoholisiert ist","C) Bei einem Bagatellangriff, z.B. bei einer bedeutungslosen Unhöflichkeit","D) Bei einem waffenlosen Angriff durch ein sechsjähriges Kind","."
"34. K betritt ein Kaufhaus, versteckt sich und lässt sich nach Geschäftsschluss einschließen. Nach einer Weile hat er verschiedene Elektroartikel in seinem Rucksack verstaut und will das Kaufhaus verlassen. Kaufhausdetektiv P stellt K und verhindert, dass K mit der Beute flüchtet. P hält K bis zum Eintreffen der alarmierten Polizei fest. Auf welche Rechtfertigungsgründe kann P sein Einschreiten stützen?","A) Auf die „Vorläufige Festnahme“ gemäß § 127 Abs. 1 StPO","B) Auf den „Rechtfertigenden Notstand" gemäß § 34 StGB","C) Auf den Entschuldigenden Notstand" gemäß § 35 StGB","D) Auf die Notwehr gemäß § 32 StGB","."
"35. Wachperson S nimmt die Person B ungerechtfertigt im Sinne von § 127 Abs. 1 StPO fest. Dabei wird B verletzt. Hat sich S möglicherweise strafbar gemacht?","A) Ja, wegen falscher Verdächtigung gemäß § 164 StGB","B) Ja, wegen fahrlässiger Körperverletzung gemäß §§ 223, 229 StGB","C) Ja, wegen Beleidigung gemäß § 185 StGB","D) Ja, wegen Freiheitsberaubung gemäß § 239 StGB","."
"36. 29 Welche Aussagen zum „,Allgemeinen Teil" des StGB sind richtig?","A) Er regelt, dass rechtswidrige Taten nach der Strafandrohung in Verbrechen und Vergehen eingeteilt werden. Diese Einteilung erfolgt nach der jeweils angedrohten Höchststrafe","B) Er enthält Aussagen über die Grundlagen der Strafbarkeit, z.B. zum Unterschied zwischen Vorsatz und Fahrlässigkeit","C) Er bestimmt, dass menschliches Verhalten nur dann strafbar ist, wenn die rechtswidrigen Taten vorsätzlich begangen werden","D)  Er enthält z.B. Regelungen zu Täterschaft und Teilnahme, Notwehr und Notstand","."
"37. Welche Straftatbestände sind,,Eigentumsdelikte"?","A) Raub gemäß § 249 StGB","B) Urkundenfälschung gemäß § 267 StGB","C) Unterschlagung gemäß § 246 StGB","D) Betrug gemäß § 263 StGB","."
"38. Welche Aussagen zum Strafrecht sind richtig?","A) Fahrlässiges Handeln kann zu einer Bestrafung führen, wenn dies ausdrücklich im Gesetz bestimmt ist","B) Bei allen Verbrechen und Vergehen ist der Versuch strafbar","C) Tun oder Unterlassen kann zu einer Bestrafung führen","D) Nur vorsätzliches Handeln kann zu einer Bestrafung führen","."
"39. 32 Ein Passant beobachtet, wie eine Frau einer Mutter den Kinderwagen entreißt. Der Passant rennt der Täterin nach und hält sie bis zum Eintreffen der Polizei fest. Die Täterin versetzt dem Passanten einige Faustschläge. Der Passant hat durch sein Einschreiten die Entführung des Kindes verhindert. Welche Aussagen zu diesem Fall sind richtig?","A) Der Passant durfte die Täterin nicht festhalten, weil er selbst durch den Entführungsversuch nicht unmittelbar betroffen war","B) Der Passant durfte das Kind aus der Gefahrenlage aufgrund des „Rechtfertigenden Notstandes" gemäß § 34 StGB retten","C) Der Passant durfte die Täterin gemäß § 127 Abs. 1 StPO vorläufig festnehmen, weil er sie auf frischer Tat verfolgt hat und ihre Identität nicht sofort feststellbar war
","D) Der Passant durfte den Angriff auf die Freiheit des Kindes in Nothilfe und die Faustschläge gegen sich in Notwehr gemäß § 32 StGB abwehren","."
"40. Welcher Straftatbestand kann durch eine vorläufige Festnahme gemäß § 127 StPO gerechtfertigt werden?","A) Körperverletzung gemäß § 223 StGB","B) Freiheitsberaubung gemäß § 239 StGB","C) Amtsanmaßung gemäß § 132 StGB","D)  Beleidigung gemäß § 185 StGB","."
"41. Welche Elemente kennzeichnen das Prinzip der Verhältnismäßigkeit?","A) Gerechtigkeit","B) Geeignetheit","C) Unvermeidlichkeit","D) Erforderlichkeit
","."
"42. In welchen Fällen liegt fahrlässige Körperverletzung gemäß StGB vor?","A) Verletzung eines Fahrradfahrers durch einen unbeabsichtigten Verkehrsunfall","B) Ein beabsichtigter Faustschlag ins Gesicht bei einer Schlägerei führt zu einer aufgeschlagenen Lippe","C)  Die Verwendung einer Hiebwaffe bei einer Schlägerei führt beim Opfer zu einem Kieferbruch","D) Ein Jogger rennt in hohem Tempo auf eine Fußgängergruppe zu, die ihm deshalb nicht rechtzeitig ausweichen kann. Durch den Aufprall des Joggers auf die Gruppe fällt ein Fußgänger zu Boden und erleidet eine Knieverletzung","."
"43. . Türsteher T verweigert dem 30-jährigen M den Zutritt in die Diskothek. Daraufhin spuckt M dem T ins Gesicht und droht ihm mit geballter Faust Schläge an, um so den Einlass in die Diskothek zu erzwingen. T lässt sich aber nicht beeindrucken und setzt sich gegen M durch.
Welche Aussagen zu diesem Fall sind gemäß StGB richtig?","A) M begeht eine vorsätzliche tätliche Beleidigung","B) M begeht einen versuchten Hausfriedensbruch","C)  M begeht eine versuchte Nötigung
","D) M begeht eine vollendete Nötigung","."
"44. Bei Sicherungstätigkeiten, wie z.B. in Asylunterkünften, können sich für das Wach- und Sicherungspersonals besondere Gefahren ergeben. Welche Aussagen dazu sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23 richtig?","A) Der Unternehmer ist verpflichtet, bei Sicherungstätigkeiten mit besonderen Gefahren z.B. mit einem hohem Konfliktpotential, immer zwei oder mehr Wachpersonen einzusetzen.","B) Der Unternehmer muss die zu sichernden Objekte zum Schutz des Wach- und Sicherungspersonals regelmäßig auf Gefahren überprüfen und festgestellte Gefahren beseitigen","C)  Es darf nur Wach- und Sicherungspersonal eingesetzt werden, das über ausreichend Menschenkenntnis und Lebenserfahrung verfügt und die Sachkundeprüfung erfolgreich abgelegt hat.","D) Der Unternehmer muss sicherstellen, dass das Wach- und Sicherungspersonal überwacht wird, z.B. per Telefon oder Personen-Notsignal-Anlagen","."
"45. Ein Fahrgast raucht im rauchfreien Bahnhof. Wie sollte der Fahrgast durch eine Wachperson auf das Rauchverbot aufmerksam gemacht werden?","A) Wenn Sie rauchen möchten, verlassen Sie bitte den Bahnhof!"","B) Hallo, mein Freund, mach' die Kippe sofort aus!","C) Bitte machen Sie Ihre Zigarette aus, hier dürfen Sie nicht rauchen!"","D) ,,Die Raucher! Sie können es wohl nicht lassen!"","."
"46. Wann verhalten sich Wachpersonen professionell?","A) Wenn sie autoritär auftreten und entsprechend handeln","B) Wenn sie grundsätzlich auf ihrem Standpunkt beharren","C) Wenn sie kundenorientiert und angemessen handeln","D) Wenn sie rechthaberisch auftreten 
","."
"47. Welche nonverbalen Signale können eine Konfliktsituation entspannen?","A) Verschränkte Arme","B) Zustimmendes Lächeln","C) Zorniger Gesichtsausdruck","D) Offene Arme","."
"48. Wie kann sich Alkohol auf Personen auswirken?","A) Die Wahrnehmung nimmt zu und verbessert sich","B) Die Person wird risikobereiter und mutiger","C) Die Konzentration verbessert sich","D) Die Motorik verändert sich, Bewegungen werden unkontrollierter","."
"49. Welches Verhalten drückt nonverbal Ablehnung gegenüber dem Gesprächspartner aus?","A) Zugewandte und offene Körperhaltung","B) Ein von unten nach oben gerichteter, prüfender Blick 
","C)  Zustimmendes Nicken","D) Demonstratives Verschränken der Arme vor der Brust","."
"50. Wann kann ein Konflikt am ehesten entstehen?","A)  Wenn Menschen mit unvereinbaren Interessen aufeinandertreffen","B) Wenn Menschen sich respektieren","C) Wenn Menschen gleiche Interessen verfolgen","D) Wenn Menschen ähnliche Wertvorstellungen haben","."
"51. Welches Verhalten kann bei aggressiven Personen beobachtet werden?","A) Sie sind in ihren Aktionen gehemmt","B) Sie sind leicht zu überzeugen und zeigen sich verständnisvoll","C) Sie sind oft gewalttätig","D) Sie reagieren eher gefühlsmäßig","."
"52. Was sollte bei einer Befragung durch Wachpersonen unterlassen werden?","A) Die Befragung im Beisein von Zeugen durchführen","B) Suggestivfragen stellen, um schnell zu einem erwünschten Ergebnis zu kommen 
","C) Die zu befragende Person vor anderen bloßstellen","D) Mehrere Zeugen trennen und nacheinander befragen","."
"53. Welche Aussagen zur Stellung einer Person in einer Gruppe sind richtig?","A) Die Stellung in der Gruppe wird vom Zufall bestimmt","B) An die Stellung in der Gruppe werden Erwartungen geknüpft","C) Die Stellung in der Gruppe ist abhängig von der Bedeutung der Rolle","D) Die Stellung in der Gruppe ist dauerhaft und stabil","."
"54. Zu welcher Kommunikationsart werden Äußerlichkeiten wie Kleidung und Schmuck gezählt?","A) Zur verbalen Kommunikation","B) Zur nonverbalen Kommunikation","C) Zur paraverbalen Kommunikation","D) Zur extraverbalen Kommunikation","."
"55. Was soll eine Wachperson bei der Befragung einer Person mit seelischer Behinderung beachten?","A) Der Person die objektive Wahrnehmungsfähigkeit absprechen","B) Der Person signalisieren. dass sie aufgrund ihrer seelischen Erkrankung nicht ernst genommen werden kann","C) Der Person zeigen, dass ihre seelische Behinderung als Verrücktheit zu verstehen ist. Sie sollte aufgefordert werden, sich zusammenzureißen","D) Der Person mit Respekt und Toleranz begegnen","."
"56. Welche Aussage zur Sachebene ist richtig?","A) Auf der Sachebene werden Fakten, z.B. über ein Verbot, einen Hinweis oder eine Warnung mitgeteilt","B) Auf der Sachebene wird verschlüsselt mitgeteilt, was der Sender vom Empfänger hält und wie er zu ihm steht","C) Auf der Sachebene soll der Empfänger veranlasst werden, etwas zu tun oder zu unterlassen","D) Auf der Sachebene verrät eine Person etwas über sich und ihre Persönlichkeit","."
"57. Wodurch kann falsches Verhalten von Wachpersonen gegenüber Menschen mit Behinderung ausgelöst werden?","A) Angst vor Unbekanntem und Fehlern","B) Angst vor Versprechern","C) Angst vor Ansteckung","D) Angst vor körperlicher Anstrengung","."
"58. Wie lässt sich ein Konflikt am leichtesten deeskalieren?","A) Laut werden und sich so Gehör und Respekt verschaffen","B) Ruhig bleiben und Provokationen überhören","C) Den Konflikt autoritär beenden","D) Außenstehende einbeziehen","."
"59. Wie lassen sich Konflikte und Spannungen im Umgang mit schutzbedürftigen Geflüchteten vermeiden?","A) Eigene Ansichten und Vorurteile überprüfen und sich über kulturelle Unterschiede informieren","B) Einmal gefasste Vorurteile ungeprüft beibehalten und auf alle Schutzbedürftigen anwenden","C) Möglichst viele Informationen zu den Besonderheiten aus der Kultur der Schutzbedürftigen einholen","D) Die Schutzbedürftigen herzlich mit einer Umarmung und Händeschütteln begrüßen","."
"60. Wann kann beim Umgang mit Gruppen aus unterschiedlichen Kulturen die Situation eskalieren?","A) Wenn ein Gesprächspartner ungeduldig wird, weil seine Informationen nicht sofort verstanden werden","B) Wenn die Beteiligten miteinander reden und Interesse an einer Lösung zeigen","C) Wenn sich mehrere Personen gegen eine Minderheit verbünden","D) Wenn durch verbale und nonverbale Kommunikation versucht wird, die Situation zu beruhigen","."
"61. Wie kann ein Vorgesetzter die Kommunikation unter seinen Mitarbeitern fördern?","A) Durch anlassbezogenen Erfahrungsaustausch","B) Durch Überwachung der Gespräche zwischen den Mitarbeitern","C) Durch Einführung von regelmäßigen Mitarbeitergesprächen","D) Durch Übernahme der Führungsrolle in jedem Gespräch","."
"62. Was können Wachpersonen tun, um den Umgang und die Kommunikation mit Flüchtlingen zu erleichtern?","A) Vorurteile erkennen und vermeiden sowie sich über die Sitten und Gebräuche in anderen Ländern informieren","B) Persönliche Ansichten äußern und daran festhalten, weil dies in allen Kulturen als ehrlich angesehen wird","C) Deutlich machen, dass die Einhaltung von Regeln wichtiger ist als das Verständnis für die Bedürfnisse von Menschen aus anderen Ländern","D) Verständnis und Einfühlungsvermögen für unterschiedliche religiöse und gesellschaftliche Wertvorstellungen zeigen","."
"63. Was ist eine Suggestivfrage?","A) Eine Frage, bei der mehrere Antworten zur Auswahl stehen","B) Eine Frage, bei der eine eindeutige Stellungnahme gefordert wird","C) Eine Frage, bei der eine bestimmte Antwort nahegelegt wird","D) Eine Frage, bei der eine Meinung erforscht wird","."
"64. Welche Grundregeln bestimmt das WaffG für die Aufbewahrung von Schußwaffen und Munition?","A) Schußwaffen und Munition müssen in feuerhemmenden Tresoren aufbewahrt werden","B) Es müssen erforderliche Vorkehrungen getroffen werden, um zu verhindern, dass unbefugte Dritte die Waffe oder Munition an sich nehmen","C) Schußwaffen müssen in ihre Einzelteile zerlegt und getrennt von der Munition aufbewahrt werden","D) Es muss durch geeignete Maßnahmen unterbunden werden, dass die Waffen oder die Munition abhanden kommen","."
"65. Welche Grundregeln bestimmt das WaffG für die Aufbewahrung von Schusswaffen und Munition?","A) Schusswaffen und Munition müssen in feuerhemmenden Tresoren aufbewahrt werden","B) Es müssen erforderliche Vorkehrungen getroffen werden, um zu verhindern, dass unbefugte Dritte die Waffen oder Munition an sich nehmen","C) Schusswaffen müssen in ihre Einzelteile zerlegt und getrennt von der Munition aufbewahrt werden","D) Es muss durch geeignete Maßnahmen unterbunden werden, dass die Waffen oder die Munition abhanden kommen","."
"66. Welche Aussagen für die Erteilung einer „Waffenbesitzkarte" sind gemäß WaffG richtig?","A) Für die Erteilung einer Waffenbesitzkarte für Schusswaffen sind Art, Anzahl und Kaliber der Schusswaffen anzugeben","B) Die Erlaubnis zum Erwerb und Besitz von Schusswaffen wird durch Eintragung in einen Waffenschein erteilt","C)  Innerhalb von zwei Wochen muss der zuständigen Behörde der Erwerb schriftlich oder elektronisch angezeigt werden und die Waffenbesitzkarte zur Eintragung des Erwerbs vorgelegt werden","D) Die Erlaubnis zum Erwerb einer Schusswaffe gilt für die Dauer von drei Monaten, die Erlaubnis zum Besitz wird auf ein Jahr befristet","."
"67. Was sind verbotene Waffen gemäß WaffG?","A) Stahlruten","B) Armbrüste","C) Signalschusswaffen","","."
"68. Welche Dokumente müssen unter anderem beim Führen einer Schusswaffe gemäß WaffG mitgeführt werden?","A) Munitionserwerbsschein","B) Mitgliedsausweis eines Schützenvereins","C) Personalausweis oder Reisepass und Waffenschein","","."
