Frage,a,b,c,d,e
"12. Die DS-GVO und das BDSG regeln die „Auftragsverarbeitung"" von personenbezogenen Daten. Welche Aussagen dazu sind richtig?","A) Der Auftragsverarbeiter ist davon befreit, technische und organisatorische Schutzmaßnahmen zu ergreifen",B) Der Auftragsverarbeiter haftet bei Datenschutzverletzungen,C) Der Auftragsverarbeiter darf ohne Rücksprache mit dem Auftraggeber weitere Subunternehmer zur Erfüllung seines Auftrages einsetzen,D) Die Verarbeitung durch einen Auftragsverarbeiter erfolgt in der Regel aufgrund eines Vertrages,.
13. Welche Aussagen zur allgemeinen Selbsthilfe sind gemäß § 229 BGB richtig?,A) Die Selbsthilfe ist die Durchsetzung oder Sicherung eines Anspruchs gegen eine andere Person durch private Gewalt,B) Notwehr gegen die gerechtfertigte Selbsthilfe ist unzulässig,"C) Die Selbsthilfe ist nur erlaubt, wenn der Schuldner auf frischer Tat betroffen oder verfolgt wird und seine Identität nicht bekannt ist",D) Selbsthilfehandlungen gegen Personen unter 14 Jahren sind unzulässig,"E) Wer bei der Durchsetzung der rechtmäßigen Selbsthilfe einen Schaden verursacht, ist zum Schadensersatz verpflichtet"
14. Welche Aussagen zum Aggressivnotstand gemäß BGB sind richtig?,A) Der Aggressivnotstand ist ein Rechtfertigungsgrund,B) Die Gefahr darf nur von eigenen Rechtsgütern abgewehrt werden,C) Ein Anspruch auf Schadensersatz ist ausgeschlossen,D) Die Gefahr muss gegenwärtig sein,.
"15. Die Wachperson F beobachtet auf der Heimfahrt vom Wachdienst, wie eine ihr unbekannte Person vor einer Gaststätte ein Fahrrad ankettet. Dieses Fahrrad wurde vor einigen Tagen aus dem Fuhrpark ihres Wachobjektes gestohlen. Die unbekannte Person betritt die Gaststätte. Darf F im Sinne der ihm übertragenen allgemeinen Selbsthilfe gemäß § 229 BGB tätig werden?",A) Ja. Er darf die Kette entfernen und das Fahrrad an sich nehmen. Damit sichert F den Anspruch auf Herausgabe des Eigentums,"B) Nein. Es kann angenommen werden, dass sich die Person längere Zeit in der Gaststätte aufhalten wird. So kann die sofort informierte Polizei noch rechtzeitig eintreffen","C) Ja. Die Person kann festgenommen werden, wenn diese sich mit dem Fahrrad unerkannt entfernen will, bevor die alarmierte Polizei eintrifft","D) Nein, da die unbekannte Person nicht auf frischer Tat bei der Wegnahme des Fahrrads betroffen wurde",.
"16. Damit die allgemeine Selbsthilfe gemäß § 229 BGB zulässig ist, müssen bestimmte Voraussetzungen erfüllt sein. Welche gehören dazu?",A) Obrigkeitliche Hilfe kann nicht rechtzeitig erlangt werden,B) Es muss ein gegenwärtiger und rechtswidriger Angriff vorliegen,C) Der Täter muss auf frischer Tat verfolgt werden,"D) Ohne sofortiges Einschreiten besteht die Gefahr, dass die Anspruchs Verwirklichung vereitelt oder wesentlich erschwert wird",.
17. Wer ist gemäß § 855 BGB Besitzdiener?,"A) Der Geschäftsführer, wenn er sein Firmenfahrzeug auch für Privatfahrten nutzt","B) Der Geldbote, der auftragsgemäß die Tageseinnahmen eines Supermarktes zur Bank transportiert","C) Eine Wachperson, die ein Funkgerät verwendet, das ihr für den Wachdienst zur Verfügung gestellt wurde","D) Der Elektriker , der damit beauftragt ist, nach einem Kurzschluß die Stromversorgung wiederherzustellen",.
18. Wovon kann die Gefahr beim Verteidigungsnotstand gemäß BGB ausgehen?,A) Von Sachen,B) Von Naturereignissen,C) Von Menschen,D) Von Tieren,.
"19. A wurde sein Roller gestohlen. Einige Tage später begegnet er auf der Straße dem ihm unbekannten D, der gerade mit diesem Roller wegfahren will. Was darf A gemäß § 229 BGB, allgemeine Selbsthilfe, tun?",A) Er darf dem D den Roller abnehmen und wieder in Besitz nehmen. A darf dabei den Widerstand des D beseitigen,"B) Er darf D nach einem Ausweis durchsuchen, wenn D seine Personalien nicht freiwillig nennen will","C) Er darf D festnehmen, wenn D seine Personalien nicht nennen will und versucht, unerkannt zu entkommen","D) Er darf gegen D nichts unternehmen, weil er D nicht auf frischer Tat betroffen hat",.
"20. Dürfen Wachpersonen über Ausrüstungsgegenstände, die sie vom Gewerbetreibenden für die Dienstausübung erhalten haben, nach eigenem Willen frei verfügen?","A) Ja. Mit der Übergabe der Sachen dürfen sie über diese frei verfügen , da sie nun als unmittelbarer Besitzer gelten",B) Nein. Sie dürfen die Sachen nur gemäß den Weisungen des Gewerbetreibenden benutzen,C) Nein. Sie verfügen als Besitzdiener nicht über die gleichen Rechte wie der Gewerbetreibende als Besitzherr,"D) Ja. Dies gilt dann, wenn die Wachpersonen über die Ausrüstungsgegenstände die tatsächliche Gewalt ausüben",.
21. Das BGB definiert den Begriff der Sache. Was fällt darunter?,A) Elektrische Energie,B) Einbruchmeldeanlage,C) Luft zum Atmen,D) Tiere,.
22. Wer handelt unerlaubt gemäß § 823 BGB?,A) Wer durch eine Notwehrhandlung die Gesundheit eines anderen beschädigt,B) Wer schuldhaft die Rechte oder Rechtsgüter anderer widerrechtlich verletzt,C) Wer durch eine Notstandshandlung Sachen eines anderen beschädigt,D) Wer im Rahmen der allgemeinen Selbsthilfe den Verpflichteten festnimmt,.
23. Bei der Notwehr muss die Verteidigungshandlung erforderlich sein. Was bedeutet dies?,"A) Der Angegriffene muss das mildeste Mittel wählen, wenn er mehrere geeignete Mittel zur Beendigung des Angriffs hat","B) Der Angegriffene muss beachten, dass die Verteidigungshandlung objektiv geeignet ist, den Angriff sofort zu beenden oder zumindest abzuschwächen",C) Der Angegriffene darf jede Form der Verteidigung wählen. Art und Schwere des Angriffs spielen dabei keine Rolle,D) Der Angegriffene kann zur Abwehr eines Angriffs eine Schusswaffe einsetzen. Die Androhung des Waffengebrauchs ist nicht erforderlich,.
24. Was ist der Unterschied zwischen Eigentümer und Besitzer gemäß BGB?,"A) Der Eigentümer hat die rechtliche Herrschaft über eine Sache. Der Besitzer hat die tatsächliche Herrschaft über eine Sache. Zusätzlich gilt, dass Eigentümer und Besitzer unterschiedliche Personen sein müssen","B) Der Eigentümer kann rechtlich mit der Sache verfahren, wie er will, soweit nicht Gesetze oder Rechte Dritter dem entgegenstehen. Der Besitzer übt die tatsächliche Gewalt über eine Sache aus",C) Der Eigentümer hat die tatsächliche Herrschaft über eine Sache. Der Besitzer hat die rechtliche Herrschaft über eine Sache,D) Der Eigentümer hat die rechtliche Herrschaft über eine Sache. Der Besitzer hat die tatsächliche Herrschaft über eine Sache. Eigentümer und Besitzer können die gleichen oder unterschiedliche Personen sein,.
25. Kaufhausdetektiv K soll im Zusammenhang mit einem Diebstahl als Zeuge aussagen. Was muss K als Zeuge gemäß StPO beachten?,"A) K darf sich als Zeuge bei der Vernehmung keiner schriftlichen Unterlagen bedienen, um seine Erinnerungen aufzufrischen","B) K ist verpflichtet, wahrheitsgemäß zu antworten, sofern die StPO keine Ausnahme zulässt, etwa das Auskunftsverweigerungsrecht","C) K ist verpflichtet, zum festgesetzten Termin zur Vernehmung vor dem Richter zu erscheinen","D) K muss zur Zeugenvernehmung nur dann erscheinen, wenn er schriftlich und unter Einhaltung einer Frist von zwei Wochen geladen wird",.
"26. Ladendetektiv L sieht, wie eine Kundin aus Versehen eine teure Stehlampe umreißt und sich unerkannt entfernen will. Die Lampe ist zerbrochen . Darf L die Kundin gemäß § 127 Abs. 1 StPO vorläufig festnehmen?","A) Nein, da es sich bei dem Verhalten der Kundin um eine fahrlässige Sachbeschädigung handelt und diese straflos ist","B) Ja, da die Kundin einen Schaden verursacht hat, den sie offensichtlich nicht bezahlen will","C) Ja, da die Kundin auf frischer Tat bei einer strafbaren Sachbeschädigung betroffen wurde und ihre Identität nicht sofort feststellbar ist","D) Ja, aber nur wegen versuchter Sachbeschädigung, da die Kundin nicht mit Vorsatz gehandelt hat",.
27. Wer ist gemäß StGB Amtsträger?,A) Amtsträger sind Richter,B) Amtsträger sind Vereinsvorstände,C) Amtsträger sind Geschäftsführer einer GmbH,D) Amtsträger sind Bürgermeister,.
28. Welche Aussagen zur Begünstigung gemäß StGB sind richtig?,A) Die Begünstigung ist ein Verbrechen,"B) Die Begünstigung setzt eine begangene Vortat voraus, z.B. einen Diebstahl","C) Die Begünstigung ist auch durch Unterlassen möglich, wenn eine Garantenpflicht zur Verhinderung des Erfolges besteht","D) Die Begünstigung ist auch dann strafbar, wenn sie fahrlässig begangen wird",.
"29. Welche Aussagen zur „Unterschlagung"" gemäß § 246 StGB sind richtig?","A) Unterschlagung liegt z.B. vor, wenn eine Person eine auf der Straße gefundene Sache in der Absicht einsteckt, diese zu behalten","B) Die Unterschlagung schützt das Rechtsgut „Eigentum""",C) Bei der Unterschlagung nimmt der Täter einem anderen eine bewegliche Sache mit Gewalt weg,D) Die Unterschlagung ist auch bei fahrlässiger Begehung strafbar,.
30. Welche Straftaten sind gemäß StGB Offizialdelikte?,A) Körperverletzung gemäß § 223 StGB,B) Unterschlagung gemäß § 246 StGB,C) Diebstahl gemäß § 242 StGB,D) Sachbeschädigung gemäß § 303 StGB,E) Hausfriedensbruch gemäß § 123 StGB
31. Welche Aussagen zum Raub und zum räuberischen Diebstahl sind gemäß StGB richtig?,A) Bei beiden Delikten ist Fahrlässigkeit strafbar,B) Beide Delikte sind Verbrechen,C) Beide Delikte sind Vergehen,D) Beide Delikte sind Offizialdelikte,.
"32. An der Zufahrt eines offen zugänglichen privaten Garagenvorplatzes, der zu einem Haus gehört, steht das Schild „Einfahrt und Parken für Unbefugte verboten"". Ein Pkw-Fahrer missachtet den Hinweis und stellt sein Auto auf dem Garagenvorplatz ab. Begeht der Pkw-Fahrer Hausfriedensbruch gemäß § 123 StGB?","A) Nein. Er begeht keinen Hausfriedensbruch, weil ein offen zugänglicher Garagenvorplatz als öffentliche Verkehrsfläche eingestuft wird","B) Ja. Er begeht Hausfriedensbruch, weil der Garagenvorplatz wegen des engen räumlichen Zusammenhangs mit dem Haus als befriedet gilt","C) Nein. Er begeht keinen Hausfriedensbruch, weil das unbefugte Parken auf einem offen zugänglichen Platz nur eine Verkehrsordnungswidrigkeit darstellt","D) Nein. Er begeht keinen Hausfriedensbruch, weil der Garagenvorplatz nicht als „befriedetes Besitztum"" angesehen wird",.
"33. Der Hausfriedensbruch gemäß § 123 StGB schützt unter anderem Wohnungen. Was fällt unter den Begriff „Wohnung""?",A) Hafträume bzw. Gefängniszellen,B) Hotelzimmer,C) Personenkraftwagen,.,.
34. Wann ist die vorläufige Festnahme gemäß § 127 Abs. 1 StPO zulässig?,"A) Ladendetektiv S beobachtet einen ihm Unbekannten, der gerade eine Fensterscheibe des von ihm bewachten Objektes einschlagen will. S kann die Tat durch rasches Eingreifen verhindern und nimmt den Flüchtenden nach kurzer Verfolgung fest","B) Person K zeigt dem Ladendetektiv S den Kunden B, dem versehentlich eine Vase heruntergefallen ist. Die Scherben hat B mit den Füßen unter das Regal geschoben. B will sich entfernen. S nimmt B vorläufig fest","C) Ladendetektiv S sieht, wie der ihm persönlich bekannte A auf dem Kundenparkplatz an Kraftfahrzeugen Radioantennen abbricht. Als sich A entfernen will, nimmt S den A vorläufig fest","D) Ein Wachperson erkennt einen flüchtigen, auf einem Fahndungsplakat mit Haftbefehl gesuchten Straftäter und nimmt diesen vorläufig fest",.
"35. Wann liegt der besonders schwere Fall des Diebstahls gemäß §§ 242, 243 StGB vor?",A) Wenn der Täter die Hilflosigkeit einer anderen Person ausnutzt und ihr die Geldbörse aus der Hosentasche stiehlt,B) Wenn der Täter eine Geldbörse aus einem offenen Einkaufskorb stiehlt,C) Wenn der Täter aus einem Museum ein nicht gesichertes Ausstellungsstück stiehlt,D) Wenn der Täter in einem Kaufhaus Parfüm im Wert von 30 Euro stiehlt,.
"36. Türsteher S beobachtet einen Gast, der im offensichtlich berauschten Zustand mit seinem Pkw heimfahren will. S nimmt dem Gast den Autoschlüssel ab und unterbindet so die bevorstehende Trunkenheitsfahrt. War die Vorgehensweise von S gerechtfertigt?","A) S muss sich darauf beschränken, die Polizei zu verständigen","B) Nein, weil der Gast für sein Verhalten allein verantwortlich ist","C) Ja, S kann sich auf den rechtfertigenden Notstand gemäß § 34 StGB berufen","D) Ja, S durfte im Rahmen der vorläufigen Festnahme nach § 127 Abs. 1 StPO die strafbare Trunkenheitsfahrt unterbinden",.
"37. Was sind Befähigungsnachweise gemäß der Unfallverhütungsvorschrift  DGUV Vorschrift  23, Wach-  und Sicherungsdienste?",A) Nachweis eines erfolgreichen Hauptschulabschlusses,B) Nachweis der erforderlichen Zuverlässigkeit,C) Nachweis der Waffensachkunde,D) Nachweis der Teilnahme am Unterrichtungsverfahren,.
"38. Was sind „Sicherungstätigkeiten mit besonderen Gefahren und Konfrontations- potential"" gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A) Der Sicherungs- und Kontrolldienst in einem Warenlager,B) Der Sicherungs- und Kontrolldienst in Diskotheken,C) Der Sicherungs- und Kontrolldienst in einem Verwaltungsgebäude,"D) Der Sicherungs- und Kontrolldienst im öffentlichen Nah-, Fern- und Flugverkehr",.
"39. Welche Ziele verfolgt im Allgemeinen die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?","A) Sie regelt, dass das Wach- und Sicherungspersonal bei Alleinarbeiten durch Personen-Notsignal-Anlagen überwacht wird","B) Sie beschreibt, wie das Wach- und Sicherungspersonal bei einem Arbeitsunfall das Verbandbuch ausfüllen muss","C) Sie regelt, dass das Wach- und Sicherungspersonal für seine Tätigkeiten angemessen ausgebildet wird, z.B. im Bereich der Eigensicherung","D) Sie bestimmt , dass ungeeignetes Wach- und Sicherungspersonal nicht eingesetzt werden darf und somit Überforderung entgegengewirkt wird",.
"40. Was muss gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beachtet werden, wenn das Wach- und Sicherungspersonal bei Dunkelheit eingesetzt wird?",A) Das Wach- und Sicherungspersonal muss private leistungsfähige Handleuchten mitnehmen,B) Der Unternehmer muss für sein Wach- und Sicherungspersonal leistungsfähige Handleuchten bereitstellen,C) Das Wach- und Sicherungspersonal muss funktionierende Zweitleuchten mitführen,D) Der Unternehmer muss Ersatzlampen und Ersatzbatterien in erreichbarer Nähe bereitstellen,.
"41. Welche Aussagen über „Dienstanweisungen"" sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?",A) Dienstanweisungen müssen das Verhalten des Wach- und Sicherungs- personals und das Weitermelden von Mängeln und besonderen Gefahren regeln,"B) Damit das Wach- und Sicherungspersonal Bewachungsaufgaben sicher durchführen kann, müssen in den Dienstanweisungen die Aufgaben im erforderlichen Umfang und in verständlicher Sprache geregelt werden",C) Das Wach- und Sicherungspersonal muss innerhalb der ersten zwei Wochen nach Aufnahme der Tätigkeit in die Dienstanweisungen unterwiesen werden,.,.
"42. Welche Aussagen zu Schreck- oder Gasschusswaffen sind gemäß der Unfallverhütungsvorschrift  DGUV Vorschrift  23, Wach-  und Sicherungsdienste, richtig?","A) Diese Waffen dürfen bei der Durchführung von Wach- und Sicherungsaufgaben geführt werden, wenn es der Auftraggeber erlaubt",B) Diese Waffen dürfen bei der Durchführung von Wach- und Sicherungsaufgaben weder bereitgehalten noch geführt werden,"C) Diese Waffen dürfen bei der Durchführung von Wach- und Sicherungsaufgaben geführt werden, wenn die Wachperson den „Kleinen Waffenschein "" besitzt","D) Diese Waffen sind unzulässig , weil sie ein trügerisches Sicherheitsgefühl vermitteln und keine ausreichende Selbstverteidigungsmöglichkeit gegen mit Schusswaffen ausgerüstete Täter bieten",.
"43. Was gilt für den Einsatz eines Hundes im Wachdienst gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A) Als Schutzhund darf die Wachperson seinen privaten Hund einsetzen,B) Die Wachperson muss in die Hundeführung unterwiesen und dazu befähigt sein,C) Diensthundeführer müssen das 21. Lebensjahr vollendet haben,D) Als Diensthund darf grundsätzlich nur ein geprüfter Hund eingesetzt werden,.
"44. Unter welchen Voraussetzungen darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift  23, Wach- und Sicherungsdienste, das Wach-  und Sicherungspersonal mit Schusswaffen ausgerüstet werden?","A) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es einmal monatlich an der Waffe ausgebildet wird",B) Der Bewachungsgewerbetreibende muss die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen ausdrücklich anordnen,"C) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es das 21. Lebensjahr vollendet hat","D) Das Wach- und Sicherungspersonal muss nach dem Waffengesetz zuverlässig, geeignet, sachkundig sowie an der Waffe ausgebildet sein",.
45. Welche Aussagen hinsichtlich des Führens von Waffen sind gemäß WaffG richtig?,A) Das Führen von Anscheinswaffen ist erlaubt,B) Das Führen von Anscheinswaffen ist verboten,"C) Das Führen von Hieb- oder Stichwaffen ist erlaubt, wenn es im Zusammenhang mit der Berufsausübung der Wachperson steht. z.B. bei Bewachungstätigkeiten",D) Das Führen von feststehenden Messern mit einer Klingenlänge über 12 cm ist erlaubt,.
"46. Welche der nachstehenden Tatsache / Tatsachen rechtfertigt /rechtfertigen die Annahme, dass eine Person nach dem Waffengesetz nicht die persönliche Eignung besitzt?",A) Die Person trägt eine Brille ,B) Die Person ist geschäftsunfähig,C) Die Person ist gehbehindert,D) Die Person ist alkoholabhängig oder psychisch krank,.
47. Wann kann der Schusswaffengebrauch gerechtfertigt sein?,A) Wenn es der Auftraggeber verlangt,B) Wenn eine Notwehrsituation vorliegt,C) Wenn er durch eine Dienstanweisung vorgeschrieben ist,D) Wenn eine Notstandssituation vorliegt,.
48. Wozu berechtigt der Waffenschein gemäß WaffG?,A) Zum Erwerb von Schußwaffen,B) Zum Führen von halbautomatischen Pistolen,C) Zum Erwerb von Munition,D) Zum Besitz von Waffen,.
49. Was sollen Wachpersonen bei der vorläufigen Festnahme im Rahmen der Eigensicherung beachten?,A) Keine Festnahme ohne Durchsuchung. Vor der Durchsuchung den Täter fesseln,B) Die Hände des Täters konzentriert beobachten,C) Kein unnötiges Risiko eingehen und rechtzeitig Verstärkung anfordern,"D) Dem Täter mit den Worten „Sie müssen mal mitkommen!"" die Festnahme ankündigen",.
50. Wie kann das Selbstwertgefühl gestärkt werden?,A) Indem Auseinandersetzungen aus dem Weg gegangen wird,B) Indem Fehler von Kollegen dem vorgesetzten gemeldet werden,C) Indem Lob und Anerkennung ausgesprochen werden,D) Indem Fachwissen und Können ständig erweitert werden,.
51. In welchen Fällen kann negativer Stress ausgelöst werden?,A) Wenn routinemäßig eine Tätigkeit mit viel Erfahrung ausgeübt wird,B) Wenn ein Mitarbeiter bei der Ausübung neuer Tätigkeiten überfordert ist,C) Wenn leichte Büroarbeiten ohne hohe Anforderungen verrichtet werden,D) Wenn in Räumen bei hohen Temperaturen und Lärm gearbeitet werden muss,.
52. Welche Aussagen über schutzbedürftige Geflüchtete entsprechen Vorurteilen?,A) Dass die meisten Personen erhebliche Verluste erlitten haben,B) Dass alle Personen ein Recht auf Berücksichtigung der Menschenwürde haben,C) Dass die meisten Personen sich auf dem Sozialsystem ausruhen wollen,D) Dass es diesen Personen besser geht als den meisten anderen Bürgern,.
53. Zu welcher Kommunikationsart werden Äußerlichkeiten wie Kleidung und Schmuck gezählt?,A) Zur verbalen Kommunikation,B) Zur nonverbalen Kommunikation,C) Zur paraverbalen Kommunikation,D) Zur extraverbalen Kommunikation,.
54. Welche Anzeichen können für Drogenkonsum sprechen?,A) Umsichtiges und vorausschauendes Verhalten,B) Gleichgültigkeit und Teilnahmslosigkeit,C) Soziales Engagement,"D) Erweiterte Pupillen, Verfärbungen der Haut",.
55. Was soll eine Wachperson bei der Befragung einer Person mit seelischer Behinderung beachten?,A) Der Person die objektive Wahrnehmungsfähigkeit absprechen,B) Der Person signalisieren. dass sie aufgrund ihrer seelischen Erkrankung nicht ernst genommen werden kann,"C) Der Person zeigen, dass ihre seelische Behinderung als Verrücktheit zu verstehen ist. Sie sollte aufgefordert werden, sich zusammenzureißen",D) Der Person mit Respekt und Toleranz begegnen,.
"56. Welche Ansichten zum „Selbstwertgefühl"" sind richtig?",A) Das Selbstwertgefühl ist das Ergebnis einer Selbstbewertung,B) Das Selbstwertgefühl ist unabhängig von der Wertschätzung anderer,C) Das Selbstwertgefühl ist eine Selbstbewertung in der Auseinandersetzung mit sich selbst und dem Umfeld,D) Das Selbstwertgefühl wird allein durch die Erziehung geprägt,.
57. In welchen Fällen wird Stress positiv empfunden?,A) Wenn er durch eine besonders schwierige Aufgabe ausgelöst wird,B) Wenn er durch Angst ausgelöst wird,C) Wenn er durch eine angestrebte Beförderung ausgelöst wird,D) Wenn er durch ein erfolgreiches Bewerbungsgespräch ausgelöst wird,.
58. Welche Aussage zur Sachebene ist richtig?,"A) Auf der Sachebene werden Fakten, z.B. über ein Verbot, einen Hinweis oder eine Warnung mitgeteilt","B) Auf der Sachebene wird verschlüsselt mitgeteilt, was der Sender vom Empfänger hält und wie er zu ihm steht","C) Auf der Sachebene soll der Empfänger veranlasst werden, etwas zu tun oder zu unterlassen",D) Auf der Sachebene verrät eine Person etwas über sich und ihre Persönlichkeit,.
59. Was zählt zur nonverbalen Kommunikation?,A) Das gesprochene Wort,B) Kopf- und Körperhaltung,C) Gestik und Mimik,D) Schriftliche Äußerungen,.
60. Wodurch kann falsches Verhalten von Wachpersonen gegenüber Menschen mit Behinderung ausgelöst werden?,A) Angst vor Unbekanntem und Fehlern,B) Angst vor Versprechern,C) Angst vor Ansteckung,D) Angst vor körperlicher Anstrengung,.
"61. Was ist im Umgang mit einer wütenden Person hilfreich, um deeskalierend zu wirken?",A) Die Situation auf der Beziehungsebene zu Ende bringen. Die Sachebene ist nicht hilfreich,B) Die andere Person zur Ruhe kommen lassen und Verständnis zeigen,"C) Wenn die Person beleidigend wird, laut werden und mit Folgen drohen",D) Selbstbeherrscht sein und mit Emotionen offen umgehen,.
62. Was ist aggressives Verhalten?,A) Einen andere Person beleidigen,B) Ein fremdes Fahrzeug beim Einparken fahrlässig beschädigen,C) Einen anderen absichtlich mit einem Faustschlag verletzen,"D) Einen Kollegen nicht beachten, z.B. nicht grüßen",.
63. Wie kann ein Vorgesetzter die Kommunikation unter seinen Mitarbeitern fördern?,A) Durch anlassbezogenen Erfahrungsaustausch,B) Durch Überwachung der Gespräche zwischen den Mitarbeitern,C) Durch die Einführung von regelmäßigen Mitarbeitergesprächen,D) Durch Übernahme der Führungsrolle in jedem Gespräch,.
