Frage,a,b,c,d,e
"11. Das BDSG verpflichtet dazu, das Datengeheimnis zu schützen. Was ist damit gemeint?",A) Mit der Datenverarbeitung befasste Personen dürfen personenbezogene Daten nur befugt verarbeiten,B) Das Datengeheimnis dient dem Schutz und der unbefugten Kenntnisnahme von Geschäftsgeheimnissen,"C) Wenn die mit der Verarbeitung personenbezogener Daten betrauten Personen ihre Tätigkeit beenden, besteht das Datengeheimnis fort",D) Mit der Datenverarbeitung beauftragte Personen müssen auf das Datengeheimnis verpflichtet werden . Dies gilt in ganz Europa,.
"12. Ist es im Sinne der DS-GVO einer Wachperson gestattet, im Rahmen der Zutrittskontrolle zu einem Wachobjekt die personenbezogenen Daten von Besuchern zu erheben?","A) Nein, dies ist verboten","B) Ja, wenn der Besucher für diesen konkreten Fall freiwillig und nach ausreichender Information unmissverständlich zugestimmt hat","C) Ja, ohne Einschränkungen","D) Ja, wenn der Auftraggeber die Datenerhebung zwingend als Voraussetzung für das Betreten des Wachobjektes vorschreibt",.
13. Zum Zweck der Selbsthilfe gemäß § 229 BGB kann der Verpflichtete festgenommen werden. Welche Aussagen dazu sind richtig?,"A) Die Festnahme des Schuldners setzt neben Fluchtverdacht voraus, dass obrigkeitliche Hilfe nicht rechtzeitig zu erlangen ist",B) Der Festgenommene darf zum Zweck der Eigensicherung nach Waffen und gefährlichen Gegenständen durchsucht werden,"C) Die Selbsthilfehandlung darf nicht weiter gehen, als zur Abwendung der Gefahr der Verwirklichung des Anspruchs erforderlich ist","D) Der Festgenommene muss erst dann freigelassen werden, wenn es das zuständige Amtsgericht anordnet",.
"14. Gemäß §§ 855 und 860 BGB darf der Besitzdiener die Rechte ausüben, die dem Besitzer zustehen. Auf welche Fälle trifft dies zu?","A) Er darf zur Durchsetzung eines Anspruchs zugunsten des Besitzers den Täter festnehmen, wenn er der Flucht verdächtig ist",B) Er darf eine dem Besitzer weggenommene Sache dem auf frischer Tat betroffenen oder verfolgten Täter notfalls mit Gewalt abnehmen,"C) Er darf sich mit Gewalt einer Besitzstörung erwehren, die gegen den Besitzer gerichtet ist",D) Er darf eine gegen den Besitz des Besitzherrn gerichtete gegenwärtige Gefahr abwenden,.
15. Wer ist wegen unerlaubter Handlung gemäß § 823 BGB zum Schadensersatz verpflichtet?,A) Wer vorsätzlich oder fahrlässig und widerrechtlich ein geschütztes Rechtsgut oder ein sonstiges Recht verletzt,B) Wer bei der Begehung einer unerlaubten Handlung sechs Jahre alt ist,C) Wer in Notwehr handelt und dabei dem Angreifer einen Schaden zufügt,D) Wer im Rahmen der Besitzwehr dem Störer einen Rechtsgutschaden zufügt,.
16. Wer handelt unerlaubt gemäß § 823 BGB?,A) Wer durch eine Notwehrhandlung die Gesundheit eines anderen beschädigt,B) Wer schuldhaft Rechte oder Rechtsgüter anderer widerrechtlich verletzt,C) Wer durch eine Notstandshandlung Sachen eines anderen beschädigt,D) Wer im Rahmen der allgemeinen Selbsthilfe den Verpflichteten festnimmt,.
"17. Welche Aussagen zum „Besitz"" bzw. „Besitzer"" sind gemäß BGB richtig?",A) Unter Besitz versteht man allgemein nur bewegliche Sachen,B) Der Besitzer kann mit dem Besitz nach Belieben umgehen,"C) Der Besitzer kann eine Sache soweit nutzen, wie es ihm der Eigentümer erlaubt hat",D) Der Besitz ist gegenüber unbefugten Eingriffen in gleicher Weise geschützt wie das Eigentum,.
"18. A wurde sein Roller gestohlen. Einige Tage später begegnet er auf der Straße dem ihm unbekannten D, der gerade mit diesem Roller wegfahren will. Was darf A gemäß § 229 BGB, allgemeine Selbsthilfe, tun?",A) Er darf dem D den Roller abnehmen und wieder in Besitz nehmen. A darf dabei den Widerstand des D beseitigen,"B) Er darf D nach einem Ausweis durchsuchen , wenn D seine Personalien nicht freiwillig nennen will","C) Er darf D festnehmen, wenn D seine Personalien nicht nennen will und versucht, unerkannt zu entkommen","D) Er darf gegen D nichts unternehmen, weil er D nicht auf frischer Tat betroffen hat",.
19. Wann liegt verbotene Eigenmacht gemäß BGB vor?,A) Ein Falschparker blockiert die einzige Zufahrt zu einem Grundstück,"B) Ein Obdachloser hat sich zu einer umzäunten Großbaustelle Zutritt verschafft, um hier sein Nachtlager aufzuschlagen","C) Ein Passant betritt ein fremdes Grundstück, um einer anderen Person Nothilfe zu gewähren","D) Ein Helfer nimmt einen fremden Feuerlöscher an sich, um ein brennendes Fahrzeug zu löschen",.
"20. Ab welchem Lebensjahr ist gemäß BGB eine Person für einen Schaden, den sie einer anderen Person zufügt, in der Regel verantwortlich?",A) Ab Vollendung des 18. Lebensjahres,B) Ab Vollendung des 14. Lebensjahres,C) Ab Vollendung des 7. Lebensjahres,D) Ab Vollendung des 16. Lebensjahres,.
21. B nimmt dem K dessen Notebook weg. Es handelt sich um verbotene Eigenmacht durch Besitzentzug. Darf K sein Selbsthilferecht in Form der Besitzkehr gemäß BGB ausüben?,"A) Ja, wenn er den B auf frischer Tat verfolgt","B) Ja, wenn er den B auf frischer Tat betrifft","C) Ja, auch Tage später. K muss B aber als Täter eindeutig wiedererkennen","D) Ja, wenn K widerrechtlich und schuldhaft gehandelt hat",.
22. Welche Aussagen zu den Rechtfertigungsgründen im BGB sind richtig?,A) Die Gewaltanwendung ist nur unter den gesetzlich festgelegten Voraussetzungen zum Schutz oder zur Durchsetzung von Rechten gestattet,B) Die Rechtfertigungsgründe dürfen nur zum Schutz eigener Rechtsgüter angewendet werden,"C) Grundsätzlich ist nur der Staat zur Gewaltanwendung befugt. Nur die Rechtfertigungsgründe, wie z.B. die Notwehr, erlauben dem Bürger im privaten Bereich die Gewaltanwendung","D) Wenn die gesetzlich festgelegten Voraussetzungen der Rechtfertigungsgründe im BGB beachtet werden , besteht in keinem Fall die Pflicht zum Schadensersatz",.
23. Wer ist Eigentümer gemäß BGB?,"A) Jemand, der einen deutschen Reisepass besitzt","B) Jemand, der ein Fahrzeug gestohlen hat","C) Jemand, der nach Bezahlung vom Verkäufer ein Handy erhalten hat","D) Jemand, der Geschäftsräume gemietet hat",.
"24. Ist eine Person, die widerrechtlich das Eigentum einer anderen Person beeinträchtigt hat, gemäß BGB zum Schadensersatz verpflichtet?","A) Nein, sie ist nicht zum Schadensersatz verpflichtet , wenn eine Haftpflicht- versicherung den Schaden bezahlt","B) Nein, sie ist nicht zum Schadensersatz verpflichtet, wenn sie als Wachperson gehandelt hat","C) Nein, sie ist nicht zum Schadensersatz verpflichtet, wenn sie zur Tatzeit sechs Jahre alt ist","D) Ja, sie ist zum Schadensersatz verpflichtet, z.B. in Form der Erstattung von Reparaturkosten",.
25. Welche Aussagen zur Notwehr gemäß § 32 StGB sind richtig?,A) Die Notwehr ist ein Rechtfertigungsgrund,B) Die Notwehr ist ein Entschuldigungsgrund,C) Die Notwehr ist zulässig gegen Angriffe von gefährlichen Tieren,"D) Die Notwehr erlaubt nur die Verletzung von Rechtsgütern des Angreifers, z.B. die körperliche Unversehrtheit",.
26. Welche Aussagen zum Fluchtverdacht im Sinne der vorläufigen Festnahme gemäß § 127 Abs. 1 StPO sind richtig?,"A) Der Fluchtverdacht setzt voraus, dass das Verhalten des Täters den dringenden Verdacht begründet, er werde Beweismittel beiseite schaffen","B) Der Fluchtverdacht liegt vor, wenn der Festgenommene mit hoher Wahrscheinlichkeit damit rechnen muss, dass sich der Täter der Strafverfolgung entziehen wird, wenn er nicht festgenommen wird.",C) Der Fluchtverdacht und die Unmöglichkeit der sofortigen Identitätsfeststellung sind sogenannte Festnahmegründe,"D) Der Fluchtverdacht besteht auch dann noch fort, wenn sich der Festgenommene mit einem gültigen Lichtbildausweis identifizieren lässt",.
27. Welche Aussagen zu den unechten Unterlassungsdelikten sind gemäß StGB richtig?,A) Täter des unechten Unterlassungsdelikts kann jede Person sein,B) Täter des unechten Unterlassungsdelikts ist der Garant,C) Bei unechten Unterlassungsdelikten kann die Garantenpflicht z.B. durch ein Gesetz begründet sein,"D) Die „unterlassene Hilfeleistung"" gemäß § 323c StGB ist ein unechtes Unterlassungsdelikt",.
"28. Ein Türsteher findet bei einer unbekannten Person während einer Zutrittskontrolle eine Gasschusswaffe. Die Person hat der Taschenkontrolle zugestimmt und gibt an, keinen „Kleinen Waffenschein "" zu besitzen. Was darf der Türsteher?",A) Er darf die Gasschusswaffe sicherstellen und der Polizei übergeben,B) Er darf die Person gemäß § 127 Abs. 1 StPO vorläufig festnehmen,C) Er darf der Person den Zutritt zur Diskothek untersagen,D) Er darf die Person ohne deren Zustimmung zum Zwecke der Eigensicherung nach weiteren gefährlichen Gegenständen durchsuchen,.
29. Welche Aussagen zum Strafantrag gemäß StGB sind richtig?,"A) Die auf drei Monate befristete Antragsfrist beginnt mit Ablauf des Tages, an dem der Antragsberechtigte von der Tat und von der Person des Täters Kenntnis erlangt",B) Der Strafantrag ist eine Prozeßvoraussetzung und muss bei Antrags- und Offizialdelikten gestellt werden,C) Ein zurückgenommener Strafantrag kann noch einmal neu gestellt werden,D) Das Fehlen bzw. die Rücknahme eines Strafantrages führt zur Einstellung des Strafverfahrens,.
30. Welche Aussage zur Notwehr gemäß § 32 StGB ist richtig?,A) Gegenüber Kindern oder schuldunfähigen Personen kann eine Notwehrhandlung nicht geboten sein,"B) Wer eine Tat begeht, die durch Notwehr geboten ist, handelt nicht rechtswidrig",C) Die Notwehr erlaubt nur die Abwehr von gefährlichen Angriffen auf die eigene Person,D) Die Notwehr erlaubt keine Abwehr von Angriffen auf das Eigentum anderer Personen,.
31. Welche Aussagen zur Freiheitsberaubung gemäß § 239 StGB sind richtig?,A) Der Tatbestand schützt die persönliche Bewegungsfreiheit und die allgemeine Handlungsfreihe it des Einzelnen,"B) Tatopfer kann jeder Mensch sein, der in der Lage ist, seinen Aufenthaltsort nach Belieben zu verändern","C) Freiheitsberaubung ist nur durch Einsperren eines Menschen möglich, z.B. durch Einschließen in einen Raum",D) Bei der Freiheitsberaubung ist nur die vollendete Tat strafbar. Der Versuch ist straflos,.
32. Wann ist eine Diebstahl geringwertig § 248a StGB?,A) Wenn der Wert der gestohlenen Sache bis ca. 500 EURO betägt,B) Wenn der Wert der gestohlenen Sache bis ca. 100 EURO betägt,C) Wenn der Wert der gestohlenen Sache bis ca. 50 EURO betägt,.,.
"33. Wann liegt gefährliche Körperverletzung gemäß §§ 223, 224 StGB vor?",A) Wenn jemand mittels einer Waffe oder eines anderen gefährlichen Werkzeugs die Körperverletzung begeht,B) Wenn jemand durch die Körperverletzung den Verlust des Sehvermögens auf einem Auge verursacht,C) Wenn jemand die Körperverletzung mittels hinterlistigen Überfalls begeht,"D) Wenn jemand durch die Körperverletzung, z .B. eine Ohrfeige, das körperliche Wohlbefinden für kurze Zeit beeinträchtigt",.
"34. Wer wird im Sinne der vorläufigen Festnahme gemäß § 127 Abs. 1 StPO „auf frischer Tat betroffen""?",A) Wer nach Begehung der Straftat am Tatort oder in dessen unmittelbarer Nähe gestellt wird,B) Wer bei der Begehung einer verfolgbaren Straftat gestellt wird,C) Wer bei der Begehung einer Ordnungswidrigkeit gestellt wird,D) Wer bei der Begehung eines versuchten Hausfriedensbruchs gestellt wird,.
"35. An der Zufahrt eines offen zugänglichen privaten Garagenvorplatzes, der zu einem Haus gehört, steht das Schild „Einfahrt und Parken für Unbefugte verboten"". Ein Pkw-Fahrer missachtet den Hinweis und stellt sein Auto auf dem Garagenvorplatz ab. Begeht der Pkw-Fahrer Hausfriedensbruch gemäß § 123 StGB?","A) Nein. Er begeht keinen Hausfriedensbruch, weil ein offen zugänglicher Garagenvorplatz als öffentliche Verkehrsfläche eingestuft wird","B) Ja. Er begeht Hausfriedensbruch , weil der Garagenvorplatz wegen des engen räumlichen Zusammenhangs mit dem Haus als befriedet gilt","C) Nein. Er begeht keinen Hausfriedensbruch, weil das unbefugte Parken auf einem offen zugänglichen Platz nur eine Verkehrsordnungswidrigkeit darstellt","D) Nein. Er begeht keinen Hausfriedensbruch, weil der Garagenvorplatz nicht als „befriedetes Besitztum"" angesehen wird",.
"36. Türsteher T sieht, wie auf der anderen Straßenseite eine Person von zwei Jugendlichen verprügelt wird. Wie handelt T rechtlich korrekt?",A) Türsteher T verlässt seinen Arbeitsplatz und hilft der angegriffenen Person in Nothilfe,"B) Türsteher T verständigt telefonisch die Polizei, während er sich weiter um die Einlaßkontrolle kümmert",C) Türsteher T erfüllt die Aufgaben gemäß seiner Dienstanweisung und übersieht mit Absicht den Vorfall. Er darf seinen Arbeitsplatz nicht verlassen,D) Türsteher T muss der angegriffenen Person helfen. Ansonsten verletzt er seine Garantenstellung,.
"37. Wer darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, Geldtransporte durchführen?",A) Wer für diese Aufgabe besonders ausgebildet und in sie eingewiesen ist,"B) Wer mindestens 21 Jahre alt, zuverlässig und gesundheitlich belastbar ist","C) Wer 18 Jahre alt, persönlich zuverlässig und geeignet ist",D) Wer die Sachkundeprüfung gemäß § 34a GewO bestanden hat,.
"38. Welche Aussagen zu Diensthunden sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Ungeprüfte Hunde dürfen eingesetzt werden, wenn innerhalb des Kalenderjahres die Gebrauchshundeprüfung beantragt wird","B) Hunde, die zur Bösartigkeit neigen, müssen im Dienst einen Beißkorb tragen",C) Als Diensthunde dürfen nur geprüfte Hunde mit Hundeführern eingesetzt,D) Ungeprüfte Hunde dürfen nur zu Wahrnehmungs- und Meldeaufgaben eingesetzt werden,.
"39. Was bestimmt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach· und Sicherungsdienste, zur Dienstanweisung?","A) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal anhand der Dienstanweisung vor Aufnahme der Tätigkeit und darüber hinaus regelmäßig unterwiesen wird","B) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal jährlich arbeitsmedizinisch untersucht wird","C) Dass der Gewerbetreibende dafür sorgen muss, dass in der speziellen Dienstanweisung Umfang und Ablauf von Nebentätigkeiten schriftlich festgelegt sind","D) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal im Gefahrenfall Weisungen des Auftraggebers befolgen muss, auch wenn diese der Arbeitssicherheit widersprechen",.
"40. Was muss gemäß Unfallverhütungsvorschri ft DGUV Vorschrift 23, Wach- und Sicherungsdienste, beachtet werden, wenn verschiedene Hundeführer denselben Diensthund einsetzen?","A) Die Hundeführer müssen den Hund abwechselnd zu Hause halten, damit sich dieser an die verschiedenen Hundeführer gewöhnen kann",B) Die Hundeführer müssen eine einheitliche Kommandosprache verwenden,C) Die Hundeführer müssen den Hund gemeinsam füttern und pflegen,D) Die Hundeführer müssen täglich mit dem Hund trainieren,.
"41. Welche Tätigkeiten sind Wach- und Sicherungstätigkeiten gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A) Winter- und Kehrdienst,B) Objekt- und Werkschutz,C) Geld- und Werttransporte,"D) private Ermittlungen, Observation",.
"42. Wie können Wachpersonen gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, bei Tätigkeiten mit besonderen Gefahren überwacht werden?",A) Der Mitarbeiter meldet sich mehrmals persönlich in der Leitstelle und verlässt dazu seinen Einsatzbereich,B) Durch automatisch und willensunabhängig arbeitende Signalgeber,C) Die Verbindungsaufnahme erfolgt aus Vertraulichkeitsgründen nur telefonisch,D) Die Überwachung erfolgt über Ortungssysteme,.
"43. Was regelt die Unfallverhütungsvorschrift DGUV Vorschrift 1, Grundsätze der Prävention?","A) Der Unternehmer muss den Beschäftigten die Inhalte der Unfallverhütungsvorschritten, die sich auf ihre Arbeit beziehen, verständlich vermitteln","B) Der Unternehmer muss dafür sorgen, dass Unbefugte Betriebsteile nicht betreten, wenn dadurch eine Gefahr für Sicherheit und Gesundheit entsteht","C) Der Unternehmer muss zwingend den Beschäftigten die Unfallverhütungsvorschritten , die für sein Unternehmen gelten, gegen Unterschrift aushändigen","D) Der Unternehmer ist verpflichtet, jeden Beschäftigten zum Ersthelfer auszubilden",.
44. Welche Ziele haben Unfallverhütungsvorschriften?,A) Die Nichtbeachtung von Unfallverhütungsvorschriften mit Strafen zu belegen,B) Arbeitsunfällen vorzubeugen,C) Die einheitliche Ausstattung mit Ausrüstung und Hilfsmitteln vorzuschreiben,D) Sicherheitswidrige Mängel zu erkennen und zu melden,.
45. Mit welchen Waffen ist jeglicher Umgang gemäß WaffG verboten?,A) Schießkugelschreiber,B) Teleskopschlagstöcke,C) Schreckschusswaffen mit PTB-Zeichen,D) Präzisionsschleuder,.
"46. Ist es möglich, mit einem Waffenschein erlaubnispflichtige Munition zu erwerben?","A) Nein, der Waffenschein umfasst nur die Erlaubnis zum Führen von Waffen","B) Ja, der Waffenschein erlaubt den Erwerb von Munition für die Schusswaffen, die in ihm eingetragen sind","C) Nein, die Munition kann nur mittels eines Munitionserwerbsscheins oder einer entsprechend gesiegelten Waffenbesitzkarte erworben werden","D) Ja, wenn die Erlaubnis zum Erwerb von Munition im Waffenschein eingetragen ist",.
47. Welche Aussagen zu Anscheinswaffen sind gemäß WaffG richtig?,A) Anscheinswaffen dürfen im Bewachungsgewerbe zur Abschreckung potenzieller Täter geführt werden,"B) Der Transport von Anscheinswaffen ist nur in einem verschlossenen Behältnis zulässig, z.B. vom Waffengeschäft zur eigenen Wohnung","C) Anscheinswaffen dürfen geführt werden, wenn es der Auftraggeber zur Erfüllung eines Bewachungsauftrages verlangt",D) Anscheinswaffen sind auch unbrauchbar gemachte Schusswaffen mit dem Aussehen von Feuerwaffen,.
48. Wie lange ist ein Waffenschein gemäß WaffG gültig?,A) Drei Jahre,B) Sechs Jahre,C) Neun Jahre,D) Ein Jahr,.
"49. Was kann getan werden, um ein professionelles Telefongespräch zu führen?","A) Deutlich und klar sprechen, kurze Sätze bilden",B) Laut und schnell sprechen,C) Hintergrundgeräusche und Störungen vermeiden,"D) Gleichförmig und eintönig sprechen, Silben verschlucken",.
50. Welche Fragearten sind in einem Mitarbeitergespräch zur beruflichen Weiterentwicklung zweckmäßig?,A) Geschlossene Fragen,B) Offene Fragen,C) Suggestivfragen,D) Rhetorische Fragen,.
51. Was sollte bei einer Befragung durch Wachpersonen unterlassen werden?,A) Die Befragung im Beisein von Zeugen durchführen,"B) Suggestivfragen stellen, um schnell zu einem erwünschten Ergebnis zu kommen",C) Mehrere Zeugen trennen und nacheinander befragen,D) Die zu befragende Person vor anderen bloßstellen,.
52. Was ist Schikane bzw. Mobbing?,A) Kollegen sachlich und nachvollziehbar für einen Fehler kritisieren,B) Regelmäßig und systematisch Kollegen unter psychischen Druck setzen,C) Kollegen gegen die Geschäftsführung aufhetzen,D) Kollegen immer wieder vor anderen lächerlich machen,.
53. Was sind geschlossene Fragen?,"A) „Wollen Sie mit dem Pkw in die Altstadt fahren?""","B) „Seit wann wissen Sie, dass das Dienstfahrzeug beschädigt ist?""","C) „Sind Sie mit einer Taschenkontrolle einverstanden?""","D) „Um welche Uhrzeit hat der Gast die Diskothek verlassen?""",.
"54. In der Kommunikationspsychologie  ist das Modell des „Kommunikations- quadrates"" („Vier-Seiten-Modell"") bekannt. Welche Aspekte sind den Kommunikationsebenen des Quadrates zuzuordnen?",A) Beziehung,B) Frustration,C) Erster Eindruck,D) Appell,.
"55. Mehrere Erwachsene nähern sich dem Einlass einer Veranstaltung. Sie unterhalten sich lautstark, einige stoßen sich freundschaftlich an. Welche Einschätzung dieser Situation ist wahrscheinlich richtig?",A) Die Gruppe stellt eine Gefahr dar. Es droht eine Eskalation der Situation. Der Zugang ist zu unterbinden,"B) Die Gruppe stellt allem Anschein nach keine Gefahr dar. Sie ist offensichtlich gut gelaunt. Es reicht zunächst aus, die Erwachsenen zu beobachten",C) Die Gruppe stellt eine Gefahr dar. Auf freundschaftliches Schubsen folgt immer eine handgreifliche Auseinandersetzung,"D) Die Gruppe stellt eine Gefahr dar, weil die körperliche Unversehrtheit anderer Besucher gefährdet ist",.
"56. Welches Verhalten ist Wachpersonen zu empfehlen, wenn ihr Gegenüber aggressiv ist?",A) Spontan mit Gegenaggressionen reagieren,B) Auf die Eigensicherung achten,C) Eigenen Gefühlen freien Lauf lassen,D) Mit Entschlossenheit und Selbstsicherheit auftreten,.
"57. Welche Aussagen zur „Höflichkeit"" sind richtig?","A) Wer höflich ist, wird als Schwächling angesehen, ausgenutzt und ausgelacht","B) Wer höflich ist, kann schneller Kontakt zu anderen Personen herstellen","C) Wer höflich ist, zeigt, dass er kein Durchsetzungsvermögen besitzt","D) Wer höflich ist, erleichtert die Zusammenarbeit in der Gruppe",.
58. Welche Verhaltensweisen sind für ein Gespräch empfehlenswert?,A) Jeden Augenkontakt beim Gespräch vermeiden,B) Einen freundlichen Gesichtsausdruck zeigen,C) Versteckte Drohungen aussprechen,D) Den Gesprächspartner ausreden lassen,.
"59. Was können Wachpersonen tun, um den Umgang und die Kommunikation mit Flüchtlingen zu erleichtern?",A) Vorurteile erkennen und vermeiden sowie sich über die Sitten und Gebräuche in anderen Ländern informieren,"B) Persönliche Ansichten äußern und daran festhalten, weil dies in allen Kulturen als ehrlich angesehen wird","C) Deutlich machen, dass die Einhaltung von Regeln wichtiger ist als das Verständnis für die Bedürfnisse von Menschen aus anderen Ländern",D) Verständnis und Einfühlungsvermögen für unterschiedliche religiöse und gesellschaftliche Wertvorstellungen zeigen,.
"60. Ist es richtig, dass es eine der wichtigen Pflichten eines Sicherheitsmitarbeiters ist, über Dienstvorgänge jeglicher Art Stillschweigen zu bewahren?","A) Ja, Verletzungen der Verschwiegenheitspflicht können für Betrieb und Mitarbeiter ernste Folgen haben.","B) Nein, die Verletzung der Verschwiegenheitspflicht ist erlaubt, wenn der Sicherheitsmitarbeiter außer Dienst ist.","C) Nein, wenn Kollegen Auskunft verlangen, muss der Sicherheitsmitarbeiters sie geben, damit das Betriebsklima nicht gestört wird.","D) Nein, wenn es für den Sicherheitsmitarbeiters nützlich ist, muss er sich nicht an diese Regel halten.",.
61. Welche Verhaltensweisen sind für eine erfolgreiche Teamarbeit nachteilig?,A) Wenn ein Kollege vor anderen Kollegen bloßgestellt und unberechtigt beschuldigt wird,"B) Wenn ein Kollege, der in Gedanken versunken eine Lösung für ein Problem sucht, seine Kollegen nicht grüßt",C) Wenn ein Kollege aus Frustration einen anderen Kollegen über einen längeren Zeitraum psychisch unter Druck setzt,"D) Wenn ein Kollege aus Versehen einen anderen Kollegen anrempelt und vergisst, sich zu entschuldigen",.
62. Jeder Mensch empfindet Stress anders. Wann kann Stress positiv wahrgenommen werden?,A) In einer Angstsituation,B) Bei einem Sieg in einem sportlichen Wettkampf,C) Bei der Vorbereitung einer Urlaubsreise,D) Bei unberechtigter Kritik des Vorgesetzten,.
