Frage,a,b,c,d,e
"11. Welche Aussagen zum Begriff „personenbezogene Daten"" sind gemäß DS-GVO richtig?","A) Betriebs- und Geschäftsgeheimnisse, z.B. Baupläne einer Maschine",B) Firmenname und Gesellschaftsform des Unternehmens,"C) Alle Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen","D) Als identifizierbar gilt eine natürliche Person, die direkt oder indirekt, z.B. mittels genetischer oder sozialer Merkmale identifiziert werden kann",.
12. Unter welchen Voraussetzungen dürfen gemäß DS-GVO und BDSG personenbezogene Daten verarbeitet werden?,A) Wenn die betroffene Person ihre Einwilligung zur Verarbeitung der sie betreffenden personenbezogenen Daten für einen oder mehrere bestimmte Zwecke gegeben hat,B) Wenn der Verantwortliche eine Verarbeitung nach eigenem Ermessen für erforderlich hält,"C) Wenn der Betroffene zugestimmt hat. Die Zustimmung ist selbst dann erforderlich, wenn die Verarbeitung zur Erfüllung einer rechtlichen Verpflichtung erforderlich ist, z.B. für die Anmeldung einer Wachperson über das Bewacherregister","D) Wenn die Verarbeitung personenbezogener Daten automatisiert erfolgen soll, z.b. durch Computer . Die Einwilligung des Betroffenen ist nicht erforderlich , wenn die personenbezogenen Daten in Akten manuell verarbeitet werden",.
13. Welche Rechte hat der Eigentümer gemäß BGB?,A) Er darf sein Eigentum im Rahmen gesetzlicher Bestimmungen verkaufen oder verschenken,"B) Er darf sein Eigentum uneingeschränkt nutzen. Gesetze oder Rechte anderer, z.B. von Nachbarn, muss er nicht beachten",C) Er darf sein Eigentum unter Beachtung gültiger Rechtsnormen benutzen oder verbrauchen,D) Er darf sein Eigentum mit allen Mitteln gegen unbefugte Eingriffe schützen und verteidigen,.
14. Welche Aussagen zum Grundsatz der Verhältnismäßigkeit sind richtig?,"A) Sind mehrere Mittel verfügbar, ist das mildeste Mittel zu wählen","B) Eine Maßnahme ist nur so lange zulässig, bis ihr Zweck erreicht ist","C) Es darf jedes Mittel eingesetzt werden, um den gewünschten Erfolg zu erreichen",D) Dieser Grundsatz muss nur von der Staatsgewalt beachtet werden,.
15. Welche Aussage zur Verteidigungshandlung bei der Notwehr ist richtig?,"A) Der Angegriffene muss in allen Notwehrsituationen auf die Verteidigungshandlung verzichten, wenn er dem Angriff ausweichen kann","B) Der Angegriffene darf den Angriff sofort beenden. Deshalb ist es z.B. nicht erforderlich, den Einsatz einer Schußwaffe anzudrohen","C) Der Angegriffene darf sich erst dann verteidigen, wenn es ihm nicht möglich ist, fremde Hilfe zu holen",D) Der Angegriffene darf die Verteidigungshandlung nur gegen den Angreifer und dessen Rechtsgüter richten,.
16. Welche Aussagen zum Hausrecht sind richtig?,"A) Das Hausrecht über Mieträume besitzen beide, der Vermieter und der Mieter","B) Das Hausrecht besitzt bei angemieteten Räumen nur die Person, die die Miete dafür bezahlt","C) Das Hausrecht kann vom Hausrechtsinhaber auf andere übertragen werden, z.B. auf Wachpersonen","D) Das Hausrecht kann durch ein Gesetz eingeschränkt werden , z.B. durch § 29 GewO, Auskunft und Nachschau",.
"17. Bestimmen Sie die Fälle, in denen „verbotene Eigenmacht“ nach § 858 BGB vorliegt.",A) Eine Person verschafft sich ohne Erlaubnis des Berechtigten Zutritt zu den Geschäftsräumen ,B) Der Besitzer einer Sache unterbindet mit einfachem körperlichem Zwang die unbefugte Entnahme von Ware aus einem Regal,C) Jugendliche veranstalten ein „Zielwerfen“ mit eiergroßen Steinen auf Außenlampen eines Kaufhauses ,D) Zur Abwehr einer Gefahr betritt eine Person ein fremdes Grundstück,.
"18. Welche Aussagen zum „Besitz"" bzw. „Besitzer"" sind gemäß BGB richtig?",A) Unter Besitz versteht man allgemein nur bewegliche Sachen,B) Der Besitzer kann mit dem Besitz nach Belieben umgehen,"C) Der Besitzer kann eine Sache soweit nutzen, wie es ihm der Eigentümer erlaubt hat",D) Der Besitz ist gegenüber unbefugten Eingriffen in gleicher Weise geschützt wie das Eigentum,.
19. Welche Aussagen treffen auf die Allgemeine Selbsthilfe gemäß § 229 BGB zu?,"A) Es muss ein einklagbarer, nicht verjährter Anspruch vorliegen","B) Wer die Selbsthilfe irrtümlich vornimmt, ist zum Schadensersatz verpflichtet","C) Sie ist auch dann zulässig, wenn der Berechtigte seine Ansprüche in einem gerichtlichen Verfahren geltend machen könnte",D) Die Selbsthilfe darf nur vom Berechtigten durchgeführt werden. Er darf keine fremde Hilfe in Anspruch nehmen,.
20. Was regelt das BGB?,A) Die Rechtsbeziehungen der Bürger untereinander,B) Die Rechtsbeziehungen zwischen dem Bürger und dem Staat,C) Unter anderem das Sachenrecht und das Schikaneverbot,"D) Die Rechtsbeziehungen zwischen Bürgern und Behörden, z.B. zum Gewerbeamt",.
21. Überprüfen Sie die nachstehenden Aussagen zum Eigentum und wählen Sie die richtigen aus.,A) Eigentum kann immer nur von einer Person beansprucht werden ,B) Eigentum kann nur durch Kauf erworben werden,C) Eigentum kann durch gesetzliche Bestimmungen eingeschränkt werden,D) Eigentum kann im Rahmen der Notwehr nicht verteidigt werden,.
"22. Kaufhausdetektiv K beobachtet, wie ein Kunde beim Ausparken einen anderen Pkw beschädigt. Der Täter hält an, besichtigt die Schäden und will unerkannt wegfahren. Das beschädigte Fahrzeug ist Eigentum des Kaufhauses. K verhindert die Weiterfahrt, nimmt den Widerstand leistenden Täter fest und übergibt ihn der sofort alarmierten Polizei. Die Selbsthilferechte des Kaufhausbetreibers sind auf K vertraglich übertragen. Hat sich Kaufhausdetektiv K gemäß BGB richtig verhalten?","A) Nein, K darf eine Festnahme nur bei Vorliegen einer Straftat nach § 127 Abs. 1 StPO durchführen","B) Ja, K durfte sein Einschreiten auf die allgemeine Selbsthilfe gemäß § 229 BGB stützen","C) Ja, K durfte sein Einschreiten auf den Verteidigungsnotstand gemäß § 228 BGB stützen","D) Ja, K durfte sein Einschreiten auf die Selbsthilferechte des Besitzdieners gemäß §§ 859 und 860 BGB stützen, weil der Kunde eine Besitzstörung beging",.
23. Während eines Fußballspiels klettert eine Person über die Absperrung des Spielfeldes und läuft unbekleidet auf dem Spielfeld umher. Das Spiel wird unterbrochen. Wie ist das Verhalten der Person nach dem BGB zu beurteilen?,A) Es liegt ein gegenwärtiger rechtswidriger Angriff gegen das Rechtsgut Hausrecht vor,B) Es liegt eine verbotene Eigenmacht in Form der Besitzentziehung vor,C) Es liegt eine verbotene Eigenmacht in Form der Besitzstörung vor,D) Es liegt eine gegenwärtige Gefahr im Sinne des Angriffsnotstandes vor,.
24. Welche Aussagen zum Besitzdiener sind gemäß § 855 BGB richtig?,"A) Ein Besitzdiener begeht verbotene Eigenmacht, wenn er im Umgang mit einer Sache nach eigenem Willen verfährt und dabei das Weisungsrecht des Besitzers  missachtet","B) Der weisungsberechtigte Besitzer muss zugleich auch der Eigentümer der Sache sein, die er dem Besitzdiener überlässt","C) Besitzdiener ist, wer im Umgang mit einer Sache den Weisungen des Besitzers der Sache folgen muss und die Weisungen erfüllt, z.B. im Umgang mit Dienstfahrzeugen",D) Besitzdiener haben an den vom Besitzer übernommenen Sachen unmittelbaren Besitz,.
25. Welche Aussagen zur Fahrlässigkeit im strafrechtlichen Sinne sind richtig?,A) Die fahrlässige Begehung einer Straftat ist nur in den gesetzlich ausdrücklich genannten Fällen strafbar,B) Bei allen Begehungsdelikten ist die fahrlässige Erfüllung des Tatbestandes mit Strafe bedroht,"C) Fahrlässigkeit liegt vor, wenn neben der objektiven Vorhersehbarkeit und Vermeidbarkeit der Täter nach seinen individuellen Fähigkeiten die erforderliche Sorgfalt außer Acht gelassen hat.",D) fahrlässiges Handeln ist nur bei Unterlassungsdelikten strafbar,.
26. Zu welchem Zeitpunkt ist die Begünstigung gemäß § 257 StGB möglich?,A) Während der Begehung einer rechtswidrigen Straftat eines anderen,B) Vor der Begehung einer rechtswidrigen Straftat eines anderen,C) Nach der Begehung einer rechtswidrigen Straftat eines anderen,D) Nach der Begehung einer rechtswidrigen Ordnungswidrigkeit eines anderen,.
"27. Türsteher T verweigert dem 30-jährigen M den Zutritt in die Diskothek. Daraufhin spuckt M dem T ins Gesicht und droht ihm mit geballter Faust Schläge an, um so den Einlaß in die Diskothek zu erzwingen. T lässt sich aber nicht beeindrucken und setzt sich gegen M durch. Welche Aussagen zu diesem Fall sind richtig?",A) M begeht eine vorsätzliche tätliche Beleidigung,B) M begeht einen versuchten Hausfriedensbruch,C) M begeht eine versuchte Nötigung,D) M begeht eine vollendete Nötigung,.
"28. Was bedeutet der Grundsatz „Keine Strafe ohne Gesetz"" gemäß StGB?","A) Eine Person darf nur bestraft werden, wenn ihr Verhalten einen gesetzlich umschriebenen Tatbestand erfüllt",B) Dieser im Grundgesetz verankerte Grundsatz dient der Einschränkung staatlicher Willkür,"C) Dieser Grundsatz gilt nur für die Straftatbestände, die im StGB beschrieben werden","D) Dieser Grundsatz umfasst auch, dass Strafgesetze rückwirkend erlassen und angewendet werden können.",.
29. Türsteher S verweigert dem leicht alkoholisierten Gast G den Zutritt zur Diskothek. Daraufhin schlägt G den S mit einem Schlagring nieder. S erleidet am Kinn eine Platzwunde. Hat sich G strafbar gemacht?,"A) Ja, wegen des Führens einer nach dem WaffG verbotenen Waffe","B) Ja, wegen fahrlässiger Körperverletzung gemäß §§ 223, 229 StGB","C) Ja, wegen versuchten Hausfriedensbruchs gemäß § 123 StGB","D) Ja, wegen gefährlicher Körperverletzung gemäß §§ 223, 224 StGB",.
30. Was ist der Zweck der vorläufigen Festnahme gemäß § 127 Abs. 1 StPO?,A) Die Verhinderung einer bevorstehenden Straftat,B) Den Straftäter der Strafverfolgung zuzuführen,C) Die Ermöglichung der Verfolgung und Ahndung einer Ordnungswidrigkeit,D) Die Sicherung eines zivilrechtlichen Anspruchs,.
31. Wann liegt eine strafbare Sachbeschädigung gemäß § 303 StGB vor?,A) Ein Kunde beschädigt bei der Eröffnungsfeier eines Einkaufszentrums aus Unachtsamkeit eine teure Haushaltsmaschine,"B) Ein Spaziergänger verletzt grundlos einen fremden Hund, den ein anderer Spaziergänger frei laufen lässt",C) A vernichtet im Auftrag seines Chefs einen Ordner mit nicht mehr benötigten Geschäftsunterlagen,D) B reißt aus Verärgerung über die Ablehnung einer Gehaltserhöhung den Außenspiegel an einem fremden Auto ab,.
32. Was sind Verbrechen gemäß StGB?,A) Meineid,B) Gefährliche Körperverletzung,C) Diebstahl mit Waffen,D) Raub,.
33. Welche Aussagen zum Fluchtverdacht im Sinne der vorläufigen Festnahme gemäß § 127 Abs. 1 StPO sind richtig?,"A) Der Fluchtverdacht setzt voraus, dass das Verhalten des Täters den dringenden Verdacht begründet, er werde Beweismittel beiseite schaffen","B) Der Fluchtverdacht liegt vor, wenn der Festnehmende mit hoher Wahrscheinlichkeit damit rechnen muss, dass sich der Täter der Strafverfolgung entziehen wird, wenn er nicht festgenommen wird",C) Der Fluchtverdacht und die Unmöglichkeit der sofortigen Identitätsfeststellung sind sogenannte Festnahmegründe,"D) Der Fluchtverdacht besteht auch dann noch fort, wenn sich der Festgenommene mit einem gültigen Lichtbildausweis identifizieren lässt",.
"34. Der Hausfriedensbruch gemäß § 123 StGB schützt unter anderem Wohnungen. Was fällt unter den Begriff „Wohnung""?",A) Wohnwagen,B) Hotelzimmer,C) Personenkraftwagen,.,.
35. Welche Aussagen zum Diebstahl gemäß § 242 StGB und zur Unterschlagung gemäß § 246 StGB sind richtig?,"A) Beim Diebstahl ist der Versuch strafbar, bei der Unterschlagung nicht",B) Beim Diebstahl und bei der Unterschlagung handelt es sich bei den Tatobjekten um fremde bewegliche Sachen,C) Diebstahl und Unterschlagung sind Eigentumsdelikte. Aber sie unterscheiden sich in der Ausführung der Tat,"D) Diebstahl ist ein Offizialdelikt, Unterschlagung ein Antragsdelikt",.
36. Welche Aussagen zur Beleidigung gemäß § 185 StGB sind richtig?,A) Die Beleidigung ist ein Antragsdelikt,B) Bei der Beleidigung ist der Versuch strafbar,"C) Eine Beleidigung liegt vor, wenn der Täter vorsätzlich und rechtswidrig die Ehre eines anderen verletzt",D) Eine Beleidigung kann nur mit Worten begangen werden,.
"37. Die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, verbietet den Genuss von Alkohol und anderen berauschenden Mitteln während der Dienstzeit und in einem angemessenen Zeitraum vor Dienstantritt. Was sind „andere berauschende Mittel""?","A) Medikamente, die die Reaktionsfähigkeit beeinträchtigen",B) Koffein- und Nikotinhaltige Genussmittel,C) Energydrinks,D) Betäubungsmittel,.
"38. Eine Wachperson, die im Dienst eine Schusswaffe führt, hat seit acht Monaten nicht mehr an Schießübungen teilgenommen. Welche Aussagen sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Der Bewachungsgewerbetreibende hat dafür zu sorgen, dass der Wachperson der Umgang mit der Dienstwaffe untersagt wird","B) Der Bewachungsgewerbetreibende muss nichts veranlassen, da die Wachperson für die Schießausbildung selbst verantwortlich ist",C) Der Bewachungsgewerbetreibende muss unverzüglich eine Meldung an die zuständige Gewerbebehörde machen,"D) Der Bewachungsgewerbetreibende darf die Wachperson mit einer Schußwaffe erneut ausrüsten, sobald diese erfolgreich und regelmäßig an Schießübungen teilnimmt",.
"39. Welche Anforderungen stellt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, an Schußwaffenträger?",A) Sie müssen wegen der erforderlichen geistigen Reife das 25. Lebensjahr vollendet haben,"B) Sie müssen nach dem Waffenrecht zuverlässig, geeignet und sachkundig sein",C) Sie müssen an den Schußwaffen ausgebildet sein und regelmäßig an Schießübungen teilnehmen,D) Sie müssen beschädigten Schußwaffen selbstständig und eigenverantwortlich reparieren können,.
40. Welche Eignung müssen Sicherheitsmitarbeiter im Sinne der DGUV-V 23 nachweisen? ,A) Die Sicherheitsmitarbeiter müssen eine entsprechende Unterrichtung und Prüfung bei der IHK absolviert haben ,B) Der Sicherheitsmitarbeiter muss einen anerkannten Ausbildungsberuf abgeschlossen haben,"C) Es dürfen nur Personen beschäftigt werden, die für die jeweiligen Einsatzbereiche die erforderlichen Befähigungen besitzen ",D) Die Sicherheitsmitarbeiter müssen mindestens eine Unterrichtung gemäß § 34a Gewerbeordnung nachweisen,.
"41. Welche Aussagen zu „Nebentätigkeiten"" sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Nebentätigkeiten, die über den eigentlichen Sicherungsauftrag hinausgehen, müssen in der Dienstanweisung schriftlich festgelegt werden",B) Nebentätigkeiten sind bei der Durchführung von Geld- und Werttransporten unzulässig. Davon ausgenommen ist z .B. die Beseitigung von Störungen an Geldautomaten,C) Nebentätigkeiten wie Kehrdienste oder Lagerarbeiten muss das Wach- und Sicherungspersonal erledigen. Hierfür genügen mündliche Absprachen mit dem Auftraggeber,"D) Nebentätigkeiten wie die gelegentliche Kontrolle oder Bedienung technischer Anlagen dürfen vom Wach- und Sicherungspersonal ausgeführt werden, wenn es eingewiesen wurde",.
"42. Was muss bei der Haltung von Diensthunden gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beachtet werden?",A) Die Zwinger der Diensthunde müssen ständig bewacht werden,B) Die Einzelhaltung aller Diensthunde muss gewährleistet werden,"C) Die Reinigung der Zwinger ist nur zulässig , wenn die Hunde darin einen Beißkorb tragen","D) Das Verbotszeichen „Zutritt für Unbefugte verboten"" muss an den Zwingern angebracht sein",.
"43. Was regelt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, über die Ausrüstung des Wach- und Sicherungspersonals?",A) Das Wach- und Sicherungspersonal muss die zur Verfügung gestellte Ausrüstung sowie Hilfsmittel und Schutzkleidung bestimmungsgemäß benutzen,B) Das Wach- und Sicherungspersonal muss die zweckfremde Nutzung von Ausrüstungsgegenständen der zuständigen Berufsgenossenschaft melden,"C) Das Wach- und Sicherungspersonal muss mit leistungsfähigen Handleuchten ausgerüstet werden , und Ersatzlampen und Ersatzakkus sollen in erreichbarer Nähe zur Verfügung stehen",D) Versicherte haben festgestellte Mängel an der persönlichen Schutzausrüstung unverzüglich selbst und auf eigene Kosten zu beseitigen,.
"44. Wozu sind Unternehmer gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 1, Grundsätze der Prävention, verpflichtet?","A) Sie müssen dafür sorgen, dass ein Ersthelfer zur Verfügung steht, wenn zwei bis 20 Mitarbeiter anwesend sind","B) Sie müssen Personen als Ersthelfer einsetzen, die von einer Berufsgenossenschaft ausgebildet worden sind","C) Sie müssen dafür sorgen, dass die Ersthelfer in Zeitabständen von zwei Jahren fortgebildet werden","D) Der Unternehmer muss regeln, dass die in seinem Betrieb eingesetzten Ersthelfer verletzte Personen zu einem Durchgangsarzt bringen",.
45. Mit welcher / welchen waffenrechtlichen Erlaubnis / Erlaubnissen kann Munition erworben werden? ,A) Waffenschein ,B) Munitionserwerbschein ,C) Waffenbesitzkarte mit eingetragener Munitionserwerbsberechtigung,.,.
46.  Was sind Feuerwaffen im Sinne im Sinne des Gesetzes?,"A) Zum Beispiel solche Revolver und Pistolen, bei denen zum Antrieb der Geschosse heiße gase verwendet werden ",B) Präzisionsschleudern ,C) Armbrüste,.,.
47. Welche Grundregeln bestimmt das WaffG für die Aufbewahrung von Schußwaffen und Munition?,A) Schußwaffen und Munition müssen in feuerhemmenden Tresoren aufbewahrt werden,"B) Es müssen erforderliche Vorkehrungen getroffen werden, um zu verhindern, dass unbefugte Dritte die Waffe oder Munition an sich nehmen",C) Schußwaffen müssen in ihre Einzelteile zerlegt und getrennt von der Munition aufbewahrt werden,"D) Es muss durch geeignete Maßnahmen unterbunden werden, dass die Waffen oder die Munition abhanden kommen",.
"48. Was müssen Wachpersonen berücksichtigen, wenn sie Reizstoffe gegen Angreifer einsetzen?",A) Dass im Einzelfall bei stark angetrunkenen Personen Reizstoffe nicht die erwartete Wirkung zeigen,B) Dass Reizstoffe nicht aus nächster Nähe in die Augen des Angreifers gesprüht werden. Der hohe Druck des austretenden Gases kann unangemessene Augenverletzungen verursachen,"C) Dass Reizstoffe erst dann ihre volle Wirkung zeigen, wenn das Gas etwa 30 Sekunden lang in das Gesicht des Angreifers gesprüht wird",D) Dass Reizstoffe bei Brillenträgern wirkungslos sind,.
49. Wie lässt sich ein Konflikt am leichtesten deeskalieren?,A) Laut werden und sich so Gehör und Respekt verschaffen,B) Ruhig bleiben und Provokationen überhören,C) Den Konflikt autoritär beenden,D) Außenstehende einbeziehen,.
50. Was sind typische Merkmale des kooperativen Führungsstils?,A) Aufgaben und Mitverantwortung werden vertrauensvoll auf Mitarbeiter übertragen,B) Rangordnung und Unterstellungsverhältnisse werden strikt eingehalten,C) Mitarbeiter haben kein Mitspracherecht und keine Einspruchsmöglichkeiten,D) Meinungen und Vorschläge von Mitarbeitern werden respektiert und beachtet,.
51. Ein Ladendetektiv ertappt eine Person beim Diebstahl. Welches Verhalten ist für den Ladendetektiv empfehlenswert?,A) Die Person ermahnen und im Wiederholungsfall ein Hausverbot androhen,B) Der Person in Anwesenheit anderer Kunden laut Vorwürfe machen,C) Der Person gegenüber ruhig und sachlich bleiben,D) Mit der Person an einem neutralen Ort sprechen,.
52. Welche Aussagen zur verbalen Kommunikation sind richtig?,A) Sie verwendet zum Informationsaustausch Sprache,"B) Sie nutzt zum Informationsaustausch Gesten, Blickkontakte und Mienenspiel",C) Als Gespräch wird im allgemeinen die verbale Kommunikation von Personen untereinander bezeichnet,D) Sie hat einen wesentlich höheren Informationsanteil als die nonverbale Kommunikation,.
53. Welche Frage ist eine Suggestivfrage?,"A) „Würden Sie mit Ihrer großen Erfahrung neue Kollegen in ihre Arbeitsaufgaben einweisen?""","B) „Es macht Ihnen doch sicherlich nichts aus, Überstunden zu machen?""","C) „Was für Erfahrungen haben Sie mit der Tabellenkalkulation? ""","D) „Möchten Sie lieber in der Früh- oder in der Nachtschicht arbeiten?""",.
"54. Bei einer Eingangskontrolle beschwert sich ein Besucher laut und heftig, weil er sich ungerecht behandelt fühlt. Wie sollte sich die Wachperson S verhalten?","A) S sagt: „Sie werden sich auch noch an die Ordnungsregeln gewöhnen! ""","B) S bleibt ruhig, sachlich und beherrscht","C) S sagt nichts, zeigt aber deutliche Drohgebärden",D) S bleibt freundlich und bittet den Besucher um Verständnis für die Kontrolle,"E) S spottet „Seien Sie froh, wenn ich Sie überhaupt reinlasse."""
"55. Neugierige behindern oft an einem Unfallort Hilfsmaßnahmen. Wie kann auf diese Personen eingewirkt werden, damit sie den Platz verlassen oder Hilfe leisten?","A) Kurz sachliche Informationen geben, um die Neugier zu befriedigen und die Personen auffordern, den Unfallort sofort zu verlassen",B) Mit rechtlichen Maßnahmen drohen und den Personen ihr neugieriges Verhalten und ihre Sensationslust vorhalten,"C) Die Personen bitten, zur Bewältigung der Unfallsituation Aufgaben wie Erste- Hilfe-Leistungen zu übernehmen",D) Die Personen lautstark beschimpfen und unter Einsatz von Gewalt vom Unfallort entfernen,.
56. Wie können Konflikte mit schutzbedürttigen Personen entstehen?,A) Wenn sich die schutzbedürftige Person ernst genommen und respektiert fühlt,B) Wenn Vorurteile das Verhalten der Beteiligten beeinflussen,C) Wenn vorhandene Ängste das Verhalten der Beteiligten steuern,D) Wenn bei eigenem Fehlverhalten eine Entschuldigung angeboten wird,.
57. Was sollten Wachpersonen während einer Befragung beachten?,A) Zum Schein Versprechungen machen und dadurch eine Atmosphäre des Vertrauens schaffen,"B) Mit Nachdruck Antworten einfordern und mit der Haltung eines „Siegers"" auftreten","C) sachliche, präzise und klar formulierte Fragen stellen",D) Neutralität im Gespräch wahren und ohne Voreingenommenheit dem Befragten gegenübertreten,.
58. Wann kann beim Umgang mit Gruppen aus unterschiedlichen Kulturen die Situation eskalieren?,"A) Wenn ein Gesprächspartner ungeduldig wird, weil seine Informationen nicht sofort verstanden werden",B) Wenn die Beteiligten miteinander reden und Interesse an einer Lösung zeigen,C) Wenn sich mehrere Personen gegen eine Minderheit verbünden,"D) Wenn durch verbale und nonverbale Kommunikation versucht wird, die Situation zu beruhigen",.
59. Was zeichnet professionelle Wachpersonen aus?,A) Teamfähigkeit,B) Dominantes Auftreten,C) Voreingenommenheit,D) Einfühlungsvermögen,.
60. Welche Aussagen über den ersten Eindruck sind richtig?,A) Er entsteht unbewusst in Bruchteilen einer Sekunde,"B) Er ist immer richtig, wenn der Beobachter eine gute Menschenkenntnis besitzt",C) Er ist ein rationaler Vorgang und vermittelt so einen Gesamteindruck über den Charakter einer Person,D) Er kann Erinnerungen wecken und so den Umgang mit dem Gegenüber beeinflussen,.
