Frage,a,b,c,d,e
11. Im Rahmen eines bestehenden Arbeitsverhältnisses können vom Arbeitgeber personenbezogene Daten gespeichert werden! Welche Daten dürfen in diesem Zusammenhang gespeichert werden?,"A) Name, Vorname, Geburtsdatum",B) Anschrift des Arbeitnehmers,C) Hobbys,D) Neigungen,.
12. Zur Erfüllung der Vorgaben des Bundesdatenschutzgesetzes müssen Behörden und Betriebe geeignete technische und organisatorische Maßnahmen treffen. Zu diesen technischen und organisatorischen Maßnahmen gehört/ gehören…,A) Zutrittskontrollen (Unbefugte den Zutritt zu den Datenverarbeitungsanlagen verwehren),B) zwingend die Verwendung von Datensicherungsräumen und Datensicherungsschränken,"C) Zugangskontrollen (Verhindern, dass Unbefugte Datenverarbeitungssysteme nutzen können",D) zwingend die Einrichtung eines Ausweisrechenzentrums,.
"13. Bestimmen Sie die Fälle, in denen „verbotene Eigenmacht"" nach § 858 BGB vorliegt.",A) Der Besitzer einer Sache unterbindet mit einfachem körperlichem Zwang die unbefugte Entnahme von Ware aus einem Regal,B) Eine Person verschafft sich ohne Erlaubnis des Berechtigten Zutritt zu den Geschäftsraumen,C) Zur Abwehr einer Gefahr betritt eine Person ein fremdes Grundstück,D) Jugendliche veranstalten ein „Zielwerfen“ mit eiergroßen Steinen auf Außenlampen eines Kaufhauses,.
14. Welche Aussagen zum Begriff der Sache gemäß BGB sind richtig?,A) Nur an Sachen kann Eigentum oder Besitz bestehen.,B) Der Körper des lebenden Menschen ist keine Sache.,C) Tiere sind Sachen.,D) Sachen sind elektrische Energie und Fernwärme.,.
"15. Überprüfen Sie bei den unten angeführten Sachverhalten, ob gegen das Schikaneverbot (§ 226 BGB) verstoßen wird. Kreuzen Sie den Fall (die Fälle) der Schikane an.","A) Ein Sicherheitsmitarbeiter führt immer wieder bei wenigen bestimmten Personen Taschenkontrollen durch, obwohl er nicht dazu beauftragt ist und das Verhalten dieser Personen auch hierzu keinen Anlass gibt","B) Ein Türsteher einer gastgewerblichen Diskothek gewährt Jugendlichen keinen Eintritt, weil sie sich einer Alterskontrolle nicht unterziehen wollen","C) Ein Sicherheitsmitarbeiter hat über einen Handwerker, der gegen Unfallverhütungsvorschriften verstoßen hat, eine Meldung an die Betriebsleitung verfasst. Der Handwerker befürchtet nun Nachteile",D) Ein Sicherheitsmitarbeiter kommt Immer wieder zu spät zum Dienst. Dafür wird er jedes Mal von seinem Vorgesetzten getadelt,.
"16. Zu den zivilrechtlichen Rechtfertigungsgründen, die der Sicherheitsmitarbeiter im Dienst zur Anwendung bringen kann, zählt/ zählen…",A) …die Notwehr,B) …das Hausrecht,C) …die Selbsthilfe des Besitzdieners,.,.
17. Welche Funktion hat ein Rechtfertigungsgrund?,"A) Eine an sich tatbestandsmäßige Handlung ist nicht rechtswidrig, so dass keine verfolgbare Straftat vorliegt",B) Er soll die Durchsetzung privater Interessen In beliebiger Form garantieren und die Gerichte entlasten,"C) Wenn ein Rechtfertigungsgrund vorliegt, ist auch grundsätzlich keine unerlaubte Handlung gegeben, die zum Schadenersatz führen kann",.,.
18.  Welche Aussagen zur allgemeinen Selbsthilfe gemäß BGB sind richtig?,A) Die Durchsetzung oder Sicherung eines Anspruchs ist nur mit staatlicher Gewalt zulässig,"B) Im Falle der Festnahme des Schuldners genügt es, die Polizei innerhalb von 12 Stunden einzuschalten, gerechnet ab dem Zeitpunkt der Festnahme",C) Zur Durchsetzung der Selbsthilfe darf eine Sache des Schuldners beschädigt oder zerstört werden,"D) Der Schuldner darf festgenommen werden, wenn er der Flucht verdächtig ist. Der Widerstand kann mit Gewalt überwunden werden",.
19. Die Verhältnismäßigkeit der Mittel ist bei der Inanspruchnahme der so genannten Jedermannsrechte stets zu beachten. Welche Aussagen zur Verhältnismäßigkeit sind richtig?,"A) Bei der Anwendung der Jedermannsrechte ist es egal, welches Mittel angewendet Wird. Hauptsache, der Erfolg stellt sich ein","B) Es ist immer das Mittel anzuwenden, das garantiert zum Erfolg führt","C) Es ist immer das geringstmögliche Mittel anzuwenden, das zum Erfolg führt",D) Man soll nicht mit Kanonen auf Spatzen schießen,.
20. Das Hausrecht spielt im Bewachungsgewerbe eine wichtige Rolle. Was besagt das Hausrecht?,"A) Es beschreibt grundsätzlich die Entscheidungsbefugnis, den Zutritt von Personen zuzulassen oder abzulehnen","B) Es beschreibt die Befugnis, tun und lassen zu dürfen, was man will, ohne Rücksicht auf Gesetze und Verordnungen","C) Es beschreibt die Befugnis, sich in einem Hausrechtsbereich uneingeschränkt frei bewegen zu dürfen",.,.
"21. Welche Voraussetzung ist für den Rechtfertigungsgrund „Selbsthilfe"" nach § 229 BGB zutreffend?",A) Der Handelnde will einen strafrechtlichen Anspruch durchsetzen,B) Die Inanspruchnahme staatlicher Stellen ist grundsätzlich nicht erforderlich,C) Der Handelnde will einen einklagbaren privatrechtlichen Anspruch durchsetzen,.,.
22. Was ist unter verbotener Eigenmacht zu verstehen?,A) Verbotene Eigenmacht stellt immer eine strafbare Handlung dar,B) Verbotene Eigenmacht Ist eine Ordnungswidrigkeit,C) Verbotene Eigenmacht kann als Besitzstörung auftreten,D) Verbotene Eigenmacht ist ein Rechtfertigungsgrund,E) Verbotene Eigenmacht kann als Besitzentziehung auftreten
23. Welche der unten stehenden Aussagen zum Merkmal „Angriff' im Sinne der Notwehr nach § 227 Bürgerliches Gesetzbuch ist/ sind richtig?,A) Ein Angriff ist die von einem Menschen drohende Verletzung rechtlich geschützter Interessen,"B) Da beim Angriff ein Verschulden nicht erforderlich ist, kann auch ein Kind oder ein Geisteskranker Angreifer sein","C) Hat der Angegriffene die Notwehrlage provoziert, steht ihm ebenfalls das Notwehrrecht zu",.,.
24. Wer ist in den nachstehenden Beispielen „Eigentümer,"A) Eine Person, die eine Wohnung gemietet hat","B) Eine Person, die ein Haus geerbt hat","C) Eine Person, die einen Stuhl erworben und bezahlt hat","D) Eine Person, die sich ein Buch geliehen hat",.
"25. Für eine Tatbestandsverwirklichung durch Unterlassen muss beim Täter eine Garantenstellung vorliegen (§ 13 StGB). In welchen der nachstehenden Sachverhalte hat der „Garant"" seine Obhutspflicht verletzt?","A) Der Warenhausdetektiv „D“ sieht während seines Dienstes, wie ein Mann eine Flasche Schnaps in der Innentasche seines Mantels verstaut. Hiergegen unternimmt „D“ jedoch nichts, obwohl ihm ein Einschreiten möglich wäre","B) Während seiner Freizeit sieht der Kaufhausdetektiv „F“ in einem Markt eine Frau, die eine Sprühdose Deodorant In die Tasche ihrer Kleidung steckt. „F“ schreitet jedoch nicht ein","C) Der Warenhausdetektiv „W“ sieht, wie auf der Straße ein Jugendlicher die Antenne an einem fremden Fahrzeug umknickt. „W"" schreitet nicht ein",.,.
"26. Im Zusammenhang mit Notwehr gibt es den Begriff „putative/ vermeintliche Notwehr"". Welche Aussage(n) ist (sind) hierzu richtig?",A) Es handelt Sich um Notwehr für Dritte (so genannte Nothilfe),B) Es handelt sich um Notwehrüberschreitung,"C) Der Angegriffene darf nur Leben, Leib und Freiheit mit aktiver Gegenwehr verteidigen",D) Es handelt sich um die irrtümliche Annahme einer Notwehrsituation,E) Bestrafung wegen Fahrlässigkeit ist möglich
27. Der besonders schwere Fall des Diebstahls gemäß § 243 Strafgesetzbuch…,A) …kann auch fahrlässig begangen werden,B) …kann nur vorsätzlich begangen werden,C) …ist ein Offizialdelikt,D) …ist ein Antragsdelikt,.
28. Welche der nachstehenden Straftaten sind gemäß § 138 StGB (Nichtanzeige geplanter Straftaten) der Behörde oder dem Bedrohten nicht anzuzeigen?,A) Raub,B) Diebstahl und Unterschlagung,C) Körperverletzung,D) Totschlag,.
29. Welche der nachstehenden Merkmale gehören zum Betrug gemäß § 263 StGB?,A) Täuschung einer anderen Person über Tatsachen,"B) Eine Handlung vornehmen, die nur Kraft eines öffentlichen Amtes vorgenommen werden darf",C) Vermögensschaden,D) Erschleichen von Leistungen,E) Herstellen einer unechten Urkunde
"30. Nach deutschem Recht kann nur bestraft werden, wer…",A) …deutscher Staatsbürger ist,B) …vorsätzlich gehandelt hat,"C) …wusste, dass er etwas Unrechtes getan hat",D) …fahrlässig gehandelt hat und das Gesetz dafür eine Strafe vorsieht,E) …die Tat gesteht
31. Besondere Schwerpunkte in der Kriminalität bilden die Eigentumsdelikte. Welche der folgenden Straftaten fällt/ fallen in diese Kategorie?,A) Unterschlagung gemäß § 246 StGB,B) Körperverletzung gemäß § 223 StGB,C) Brandstiftung gemäß § 306 StGB,D) Beleidigung gemäß § 185 StGB,E) Diebstahl gemäß § 242 StGB
32. Was ist laut StGB eine Straftat?,"A) Eine vorsätzliche oder fahrlässige Handlung, die ein bestehendes Strafgesetz verletzt und mit Strafe bedroht ist","B) Eine rechtswidrige Handlung, die mit Geldbuße geahndet wird","C) Eine widerrechtliche Handlung, die fahrlässig begangen wurde und den Handelnden zum Schadenersatz verpflichtet","D) Eine Handlung, die gegen Verordnungen verstößt und fahrlässig begangen wurde",
33. Wann liegt eine gefährliche Körperverletzung gemäß § 224 StGB vor?,"A) „B"" verliert durch zu schnelles Fahren die Kontrolle über seinen PKW, landet an einem Baum, wodurch seine neben ihm sitzende Begleitern verletzt wird",B) Vier angetrunkene Personen verprügeln nur so zum Spaß gemeinschaftlich einen Spaziergänger,"C) „B"" schlägt einen Mann mit, mit dem er in Streit geraten ist, mit einer Eisenstange seitlich an den Kopf. Dadurch verliert der Mann sein Gehör auf beiden Ohren","D) „B"" stößt einen Mann, mit dem er in Streit geraten ist, eine Treppe hinunter. Der Mann bleibt mit gebrochenem Fuß an der Treppe liegen","E) „B"" ist mit einem Mann in Streit geraten, schlägt ihm mit der Faust ins Gesicht. Der Mann verliert dadurch einen Zahn"
"34. A entreißt dem unbeteiligten B dessen Gehstock, um damit den Angriff des C abzuwehren Die Verteidigungshandlung ist nach § 32 StGB erforderlich und geboten. Welche der nachstehenden Aussagen zu dem vorstehenden Fall ist/ sind richtig?","A) Die Notwehrhandlung darf sich nur gegen den Angreifer richten. Das heißt, Eingriffe in Rechtsgüter unbeteiligter Dritter werden durch die Notwehr nicht gedeckt",B) Die Wegnahme des Gehstockes ist im Sinne des rechtfertigenden Notstandes (§ 34 StGB) gedeckt,"C) Die Wegnahme des Gehstockes ist im Rahmen der Notwehr zulässig, weil der Angriff sonst nicht mit erforderlichen und gebotenen Mitteln abgewehrt werden kann. Der Angegriffene muss sonst auf sein Notwehrrecht verzichten",.,.
35. Welche/ welcher der nachstehenden Fälle sind/ ist rechtlich nicht korrekt?,A) Notwehr gegen Überschreitung der Notwehr,B) Notwehr gegen eine schuldunfähige Person,C) Notwehr gegen Notwehrexzess,D) Notwehr gegen Notwehr,.
36. Bei welchen Straftatbeständen handelt es sich nicht um Antragsdelikte?,A) Vorsätzliche Körperverletzung gemäß § 223 StGB,B) Nötigung gemäß § 240 StGB,C) Hausfriedensbruch gemäß § 123 StGB,D) Vorsätzliche Sachbeschädigung gemäß § 303 StGB,E) Amtsanmaßung gemäß § 132 StGB
37. Wer erlässt und genehmigt Unfallverhütungsvorschriften?,A) Unfallverhütungsvorschriften werden genehmigt von den Berufsgenossenschaften,B) Unfallverhütungsvorschriften werden erlassen von den Berufsgenossenschaften,C) Unfallverhütungsvorschriften werden erlassen vom Bundesministerium für Arbeit und Soziales,D) Unfallverhütungsvorschriften werden genehmigt vom Bundesministerium für Arbeit und Soziales,.
"38. Welche Schutzmaßnahmen hat der Sicherheitsdienstleister zu ergreifen, wenn sich bei Sicherungstätigkeiten besondere Gefahren ergeben können.","A) Der Sicherheitsdienstleister hat nach der DGUV-V23 sicherzustellen, dass die Sicherheitsmitarbeiter überwacht werden","B) Der Sicherheitsdienstleister hat lediglich sicherzustellen, dass die Sicherheitsmitarbeiter vor Übernahme der Tätigkeit eingewiesen werden","C) Der Sicherheitsdienstleister hat keine besondere Vorsorge zu treffen, da im Sinne der DGUV-V23 die eingesetzten Sicherheitsmitarbeiter für sich selbst verantwortlich sind",.,.
39. Wer überwacht die Einhaltung von Unfallverhütungsvorschriften nach dem Sozialgesetzbuch VII?,A) Beamte der Gewerbeaufsicht,B) Technische Aufsichtsbeamte des gesetzlichen Unfallversicherungsträgers,C) Polizeibeamte,D) Beamte des Gewerbeamtes,.
40. Gemäß der DGUV-V23 (Wach- und Sicherungsdienste) muss dem Wachpersonal eine Dienstanweisung zur Verfügung stehen. Was muss nach der DGUV-V23 insbesondere geregelt werden?,A) Das Verhalten des Wachpersonals einschließlich des Weitermeldens von Mängeln,B) Das Verhalten bei Gefahrensituationen,C) Nur die allgemeinen Wach- und Sicherungsaufträge,D) Regelmäßige Lagemeldungen an die Sicherheitszentrale,.
"41. Was ist eine Berufsgenossenschaft, z.B. die Verwaltungs-Berufsgenossenschaft?",A) Gesetzlicher Unfallversicherungsträger,B) Gewerkschaft,C) Eingetragener Verein,.,.
"42. Ein Sicherheitsmitarbeiter, der im Dienst eine Schusswaffe führt, hat mehr als sechs Monate lang nicht mehr an Schießübungen teilgenommen. Was ist nach der DGUV-V23 zu veranlassen?","A) Der Sicherheitsdienstleister (Bewachungsgewerbetreibende) hat sicherzustellen, dass dem Sicherheitsmitarbeiter unverzüglich der Umgang mit der Dienstwaffe untersagt Wird","B) Es ist nichts zu veranlassen, da ausschließlich der Mitarbeiter dafür verantwortlich ist, ob er an Schießübungen teilnimmt oder nicht","C) Sobald der Sicherheitsmitarbeiter wieder regelmäßig an Schießübungen teilnimmt und dies durch entsprechende Aufzeichnungen dokumentiert ist, kann er wieder als Waffenträger eingesetzt werden",.,.
43. Welche Bestimmungen gelten für den Alkoholgenuss von Sicherheitsmitarbeiter während der Dienstzeit?,A) Der Sicherheitsmitarbeiter darf keinerlei Alkohol zu sich nehmen,B) Es gelten dieselben Vorschriften wie für das Führen von Kraftfahrzeugen,"C) Es darf nur Bier, aber kein Schnaps getrunken werden",D) Der Sicherheitsmitarbeiter hat seinen Dienst nüchtern anzutreten,.
44. Der Veranstalter eines Fußballspiels bestellt diesbezügliche Schutzmaßnahmen (Veranstaltungsschutz). Es muss mit Störungen und damit auch mit Verletzungen aufseiten der Sicherheitsmitarbeiter durch Auseinandersetzungen von rivalisierenden Fangruppen gerechnet werden. Auf was sollten die Sicherheitsmitarbeiter bei der Einweisung vorbereitet werden?,"A) Erkennen aggressiven Störverhaltens, psychologische Schulung für das Eigenverbalten (Deeskalationstechniken)","B) Maßnahmen der Eigensicherung, Selbstverteidigung",C) Beobachten des Umfeldes und bei Anzeichen von Unruhe sofort Polizei informieren und sich geordnet aus den Gefahrenbereich zurückziehen,.,.
"45. Der Einsatz von Reizstoffen kann problematisch werden. So ist der waffenrechtliche Umgang mit Pfefferspray verboten, weil der Wirkstoff des Pfeffersprays keine amtliche Zulassung als Notwehrmittel gegen Menschen besitzt. Ist es dennoch denkbar, dass Pfefferspray eingesetzt werden darf?","A) Ja, gegen aggressive Tiere, wie z.B. Kampfhunde","B) B. Ja, im Rahmen der Notwehr oder des Notstandes, wenn dabei die Grundsätze der Verhältnismäßigkeit und die Erforderlichkeit beachtet werden",C) Es darf gegen Menschen in keinem Fall eingesetzt werden,.,.
46. Wie Sind Schusswaffen aufzubewahren?,A) Es genügt die Ablage eines Schreibtisches,B) Für die Aufbewahrung von Schusswaffen gelten keine besondere Regeln,C) Schusswaffen sind zuverlässig gegen Abhandenkommen und Zugriffe unbefugter Dritter aufzubewahren,.,.
47. Sie sind im Besitz einer Waffenbesitzkarte. Welcher Handlungsumfang ist erlaubt?,A) Ich darf generell Reizstoffe zur Selbstverteidigung erwerben und außerhalb von befriedeten Besitztümern mitnehmen,B) Ich darf eine Schusswaffe bei öffentlichen Veranstaltungen führen,C) Ich darf eine Schusswaffe während der dienstlichen Tätigkeit auch gegen den Willen des Auftraggebers mitnehmen,"D) Ich darf eingetragene Schusswaffen besitzen, transportieren und auf Schiessanlagen zu Übungszwecken benutzen",.
48. Das Waffengesetz regelt den Umgang mit Waffen und Munition. Wessen Belange sind bei der Prüfung eines Antrages auf Erteilung einer waffenrechtlichen Erlaubnis vorrangig zu berücksichtigen?,A) Die Belange der öffentlichen Sicherheit und Ordnung,B) Die Belange der Antragsteller,C) Die wirtschaftlichen Belange des Sicherheitsdienstleisters (des Bewachungsunternehmens),.,.
"49. Während einer Personenkontrolle kommen Sie einer fremden Person sehr nahe. Da Menschen eine Verletzung Ihres Nahbereichs als unangenehm empfinden, müssen gewisse „Spielregeln"" eingehalten werden. Wie verhalten Sie sich?",A) Korrektes Verhalten und Selbstbeherrschung zeigen,"B) Kräftig zugreifen, damit es keine Fluchtmöglichkeit gibt","C) Dem anderen klar machen, dass er die Handlung dulden muss","D) Freundlich um Verständnis bitten, dass die Kontrolle durchgeführt werden muss","E) Durch drohende Handlung den anderen einzuschüchtern, damit er sich nicht beschwert"
50. Auf welcher Ebene bzw. auf welchen Ebenen findet Kommunikation nicht statt?,A) Beziehungsebene,B) Erfahrungsebene,C) Appellebene,D) Verhaltensebene,E) Sachebene
"51. Welche der folgenden Aussagen zur „Aggression"" sind richtig?","A) Aggression kann zielgerichtet sein, z.B. Gewalt über eine Sache","B) Aggression Ist nie zielgerichtet, sondern Immer ein spontaner Gefühlsausbruch ohne bestimmte Zielrichtung",C) Aggression ist immer eine Ursache von Frustration,D) Aggression kann sich gegen Unbeteiligte oder Schwache richten,E) Aggression besteht immer aus brutaler Gewalt
52. Welche Bedeutung hat die Menschenkenntnis für den Sicherheitsmitarbeiter?,A) Große Bedeutung,B) Geringe Bedeutung,C) Hat nur gegenüber ausländischen Mitbürgern Bedeutung,D) Ohne Menschenkenntnis kann ich mein Gegenüber nicht oder nur sehr schlecht einschätzen,.
53. Ablehnung wird durch welches nonverbale Körpersignal signalisiert?,"A) Offener, freundlicher Blickkontakt",B) Sich vom anderen plötzlich abwenden und ihm die kalte Schulter zeigen,C) Beleidigung durch die Worte „Du blöder Sicherheitsmitarbeiter“,D) Sich mit anderen unterhalten oder sich mit anderen Dingen beschäftigen,E) Offene Körperhaltung
54. Es gibt Situationen. In denen Sie sich gestresst fühlen. Mit welcher Methode können Sie den Stress abbauen?,"A) Sich immer wieder vergegenwärtigen, wie stressig die Situation ist","B) Tief durchatmen, um so Abstand und Überblick zu gewinnen","C) Niemandem mitteilen, dass es belastende Situationen gibt",D) Stressige Situationen so schnell wie möglich wieder vergessen,.
"55. Welche Begriffe entsprechen dem Oberbegriff „Körpersprache""?",A) Sprache,B) Gestik,C) Sprechpausen,D) Betonung,E) Bewegung/ Gang
56. Menschen mit schwachem Selbstwertgefühl sind eher…,A) …tolerant,B) …resignierend,C) …zurückhaltend,D) …gemäßigt,E) …beruhigend
"57. Häufig treffen wir im Umgang mit Menschen auf Vorurteile, die das Miteinander im Berufs- und Privatleben erschweren. Welche der folgenden Äußerungen können akzeptiert werden?","A) Vorurteile sind dringend nötig, um die Welt besser zu verstehen","B) Vorurteile sind immer schuld, dass Menschen sich nicht verstehen","C) Vorurteile sind immer berechtigt, weil die Menschen sich nicht ändern",D) Vorurteile entstehen oft aus Neid und Eifersucht,E) Vorurteile Sind wünschenswert und entlasten den Einzelnen
"58. Als Unternehmer beabsichtigen Sie, einen Ihrer Mitarbeiter wegen mehrfachen Zuspätkommens anzusprechen. Was müssen Sie dabei beachten?",A) Sie führen mit ihm ein Einzelgespräch,B) Sie kritisieren Ihn vor allen anderen Mitarbeitern,C) Sie bringen Ihre Kritik emotional vor,D) Sie beenden das Gespräch positiv,E) Sie sprechen den Mitarbeiter nach Wochen mit der Kritik an
59. Was können die Ursachen für Störungen in der Kommunikation sein?,A) Sender und Empfänger können sich gut leiden,B) Der Sender arbeitet nicht stark genug,C) Sender und Empfänger kommunizieren auf dem gleichen Kommunikationskanal,D) Der Empfänger einer Nachricht hat abgeschaltet,E) Sender und Empfänger lassen sich ausreden und hören aktiv zu
60. Beim Ansprechen einer Person…,"A) …darf ohne Weiteres das kumpelhafte „Du"" verwendet werden","B) …sollte, sofern bekannt, ihr Name in der Begrüßung enthalten sein. Dies wird im Allgemeinen die Gesprächsatmosphäre freundlicher gestalten lassen","C) …sollte, sofern bekannt, die Person mit ihrem akademischen Titel, etwa Professor oder Doktor, angesprochen werden","D) …kann auf eine Begrüßung stets verzichtet werden, weil es schließlich um die zügige Abwicklung von Kontrollen geht und nicht im den Austausch von Höflichkeiten",.
"61. Nicht richtig angebrachte und formulierte Kritik kann zu Konflikten führen. Wie kann Kritik vermittelt werden, dass sie verstanden und angenommen wird?","A) Sie sollte direkt vorgetragen werden, ohne angreifend und rechthaberisch zu wirken",B) Sie sollte in Anwesenheit auch anderer Personen vorgebracht werden,C) Sie sollte mit nachvollziehbaren Argumenten begründet werden,D) Sie sollte zur Verstärkung personenbezogen und weniger sachbezogen vorgebracht werden,.
62. Welche Aussage zu Prozess der Kommunikation ist richtig?,A) Die Kommunikation ist eine soziale Interaktion zwischen zwei oder mehreren Personen,B) Die Kommunikation beschreibt ausschließlich die Übermittlung von Informationen mittels Sprache,C) Die Kommunikation ist ein wechselseitiger Prozess des Sendens und Empfangen von Informationen,"D) An einer Kommunikation nehmen maximal nur zwei Personen teil, der Sender und der Empfänger",.
"63. Was nehmen wir bei der Kommunikation mit anderen Personen am meisten wahr: Das körperliche, das Wörtliche oder den Ausdruck, in dem etwas gesagt wird?","A) 30 % das Wörtliche, 30 % das Körperliche, 40 % den Ausdruck des Gesagten","B) 20 % das Wörtliche, 50 % das Körperliche, 30 % den Ausdruck des Gesagten","C) 10 % das Wörtliche. 60 % das Körperliche, 30 % den Ausdruck des Gesagten","D) 30 % das Wörtliche, 10 % das Körperliche, 60 % den Ausdruck des Gesagten",.
"64. Mancher Sicherheitsmitarbeiter hat leider eine falsche oder unzureichende Einstellung zu seiner Tätigkeit. Man spricht auch von „beruflicher Fehleinstellung""? Unter „beruflicher Fehleinstellung"" versteht man Folgendes:","A) Hin und wieder einen Fehler im Beruf machen, ohne Schlüsse daraus zu ziehen",B) Langfristig eine falsche Einstellung zu seinen beruflichen Tätigkeiten haben,"C) Nicht die notwendige berufliche Qualifikation besitzen, um alles richtig machen zu können",D) Bei Kollegen schlecht über seinen Beruf reden,.
65. Durch welche Verfahrensweise wird die angriffshemmende Wirkung in Bezug auf typische Angriffe bei der Sicherheitsverglasung erzielt?,A) Durch Verhärtung der Oberfläche bei Einscheibenverglasung,B) Durch Verwendung von Kunststoffverglasung,C) Durch die Verbundbauweise von Glasscheiben und Kunststofffolien,.,.
66. Die so genannten Gefahrenmeldeanlagen…,A) …steuern im wesentlichen Heizungs- und Videoüberwachungsanlagen,B) …sind Fernmeldeanlagen zum zuverlässigen Melden von Gefahren von Personen und Sachen,C) …erfassen eigene Störungen der Anlage und geben diese aus,D) …erfassen Störungen anderer Anlagen wie Klimaanlagen und geben diese aus,.
"67. In einer Halle, in der Harze und Teerrollen gelagert werden, ist ein Brand ausgebrochen. Durch die Verflüssigung kommt es zu einem Tropf- und Fleißbrand. Wie lautet die grundsätzliche Löschtaktik?",A) Löschstrahl in den Brandherd,B) Löschstrahl von oben nach unten,C) Löschen von unten nach oben,.,.
"68. Als Sicherheitsmitarbeiter Im Tordienst stehen Ihnen zur Erfüllung Ihrer Aufgaben eine Vielzahl von Dienstdokumenten und Plänen zur Verfügung. Außerdem gehört es zu Ihren Serviceaufgaben, Wertgegenstände zeitweilig entgegenzunehmen- Die Unterlagen und Wertgegenstände müssen sicher verwahrt werden. Welche Art von Wertbehältnis wäre für die genannten Sachen ausreichend?",A) Bei Wertgegenständen ist ein Panzergeldschrank erforderlich,B) Ein Stahlschrank mit entsprechender Sicherheitszertifizierung ist ausreichend,C) Ein Datensicherungsschrank ist unbedingt notwendig,.,.
69. Zu den wichtigsten Ausrüstungsgegenständen gehört als Kommunikationsmittel das Handfunksprechgerät. Was sollte bei der Dienstübernahme bezüglich der Funktionskontrolle überprüft werden?,A) Sichtkontrolle auf äußeren Zustand (Beschädigungen),"B) Bei einer schriftlichen Übernahme kann eine Kontrolle des Gerätes entfallen, da mit der Unterschrift des Übergebenden die sichere Funktion gewährleistet ist",C) Sprechprobe und Ladezustand des Akkus,.,.
70. Was versteht man unter einer Außenhautüberwachung?,A) Zaun- oder Streckenmelder an der Grundstücksgrenze im Freigelände,"B) Überwachung aller Zugänge, Fenster und sonstiger Öffnungen",C) Vorfeldüberwachung an einem Objekt mittels Videokamera,D) Überwachung von Wänden,.
