Frage,a,b,c,d,,
23. Welche Aussagen zum Besitzer bzw. Besitzdiener sind gemäß BGB richtig? ,A) Der Besitzer übt die tatsächliche Gewalt über eine Sache aus ,B) Der Besitzdiener muss mit der ihm übergebenen Sache gemäß den Weisungen des Besitzers umgehen ,C) Der Besitzer hat an einer Sache dieselben Rechte wie der Eigentümer ,D) Der Besitzdiener hat im Vergleich zum Besitzer keine Selbsthilferechte,.,
24. Was ist der Zweck der allgemeinen Selbsthilfe gemäß § 229 BGB?,A) Sie ermöglicht der Staatsanwaltschaft die Strafverfolgung,B) Sie sichert einen zivilrechtlichen Anspruch gegen eine andere Person,C) Sie unterstützt die Polizei bei der Verfolgung von Ordnungswidrigkeiten,.,.,
"25. A steckt heimlich Zigarren im Wert von 200 Euro in seine Manteltasche. Kaufhausdetektiv K beobachtet dies und stellt A, nachdem er das Geschäft verlassen hat.
Hat sich A strafbar gemacht?","A)  Ja, wegen versuchten Diebstahls gemäß §242 StGB","B) Ja, wegen einer Unterschlagung gemäß §246 StGB","C) Ja, wegen eines Diebstahls gemäß §242 StGB","D) Ja, wegen eines Diebstahls geringwertiger Sachen gemäß §§ 242, 248a StGB",.,
26.  Die Verteidigungshandlung der Notwehr gemäß § 32 StGB muss erforderlich sein. Was bedeutet dies?,A) Jede Verteidigungshandlung verlangt ein Abwägen der betroffenen Rechtsgüter,"B) Die Verteidigungshandlung muss nach der objektiven Sachlage geeignet sein, den Angriff sofort zu beenden oder zumindest abzuschwächen
","C)  Die Verteidigungshandlung erlaubt auch gegenüber Kindern, sich mit allen zur Verfügung stehenden Mitteln zu wehren",D) Die Verteidigungshandlung muss nach dem Grad der Gefährlichkeit des Angriffs das vergleichsweise mildeste Mittel der Abwehr sein,.,
27. Eine Beleidigung…,"A)  kann in Wort, Schrift und als Tätlichkeit begangen werden",B) ist ein Antragsdelikt,C)  greift das Rechtsgut der Gesundheit an,D) ist ein Offizialdelikt,.,
28.  Welche Aussagen zu den Schuldausschließungs- und Entschuldigungsgründen sind korrekt?,A)  Diese Bestimmungen lassen Tatbestandsmäßigkeit und Rechtswidrigkeit der Tat unberührt und schließen nur die Schuld des Täters aus,B) Notwehr gegen entschuldigte Handlungen ist nicht zulässig,C)  Notwehr gegen entschuldigte Handlungen ist zulässig,.,.,
29.  Welche der nachstehenden Merkmale gehören zum Betrug gemäß § 263 StGB?,A) Täuschung einer anderen Person über Tatsachen,"B) Vermögensschaden
",C) Herstellen einer unechten Urkunde,.,.,
30.  Die vorläufige Festnahme nach § 127 StPO…,A)  …ist ein Rechtfertigungsgrund und kann deshalb auch von Privatpersonen durchgeführt werden,B)  …ist auch bei strafunmündigen Kindern zulässig,"C) …ist nur zulässig, wenn eine Straftat gegangen worden ist","D)  …ist nicht gestattet, wenn bei Antragsdelikten noch kein Strafantrag gestellt worden ist",.,
31.  Ein Türsteher ist als Zeuge zu einem Strafverfahren geladen. Welche Pflichten hat der Zeuge im Strafverfahren?,"A)  Die Pflicht zum persönlichen Erscheinen, wenn er ordnungsgemäß geladen wurde","B) Die Pflicht zur wahrheitsgemäßen Aussage, selbst wenn er sich selbst oder einen Angehörigen belastet","C) Die Pflicht zur Aussage, sofern er nicht sich selbst oder einen Angehörigen belastet","D)  Die Pflicht, sämtliche Kosten im Zusammenhang mit der Zeugenschaft selbst zu tragen",.,
32. Welche Aussagen zur Notwehr sind gemäß StGB richtig?,A) Sie ist ein Rechtfertigungsgrund ,B) Sie ist ein Entschuldigungsgrund,C) Sie rechtfertigt nur die Verletzung von Rechtsgütern des Angreifers,D) Sie rechtfertigt Eingriffe in Rechtsgüter unbeteiligter Dritter,.,
33. Wann ist die Notwehr gemäß StGB zulässig?,"A) Kaufhausdetektiv K hat einen Dieb gebeten, sich auszuweisen. Statt seinen Ausweis vorzuzeigen, holt der Dieb zum Faustschlag aus",B) Eine Person wird von einem frei laufenden Hund angefallen. Der Hund hat sich im Bein der Person festgebissen und lässt nicht los,"C) Türsteher T hat einer Person den Zutritt in die Diskothek verweigert und wird von dieser tätlich angegriffen
",.,.,
"34. Was fällt unter die gefährliche Körperverletzung gemäß §§ 223, 224 StGB? ",A) Eine Person wird angegriffen. Der Angriff führt zum Verlust des Sehvermögens auf einem Auge ,B) Eine Person wird angegriffen. Ihr wird eine gesundheitsschädliche ätzende Flüssigkeit ins Gesicht gespritzt ,"C) Eine Person wird mit einer Waffe oder einem gefährlichen Werkzeug angegriffen, z. B. mit einem zugespitzten Schraubenzieher ",D) Eine Person wird mit der flachen Hand geohrfeigt. Sie verspürt einen brennenden Schmerz auf der Wange ,.,
"35. Wer wird im Sinne der vorläufigen Festnahme gemäß § 127 Abs. 1 StPO ""auf frischer Tat betroffen""? ","A) Wer nach Begehung der Straftat am Tatort oder in dessen unmittelbarer Nähe gestellt wird.
",B) Wer bei der Begehung einer verfolgbaren Straftat gestellt wird.,C) Wer bei der Begehung einer Ordnungswidrigkeit gestellt wird. ,D) Wer bei der Begehung eines versuchten Hausfriedensbruchs gestellt wird.,.,
"36. Ein Passant beobachtet, wie eine Frau einer Mutter den Kinderwagen entreißt. Der Passant rennt der Täterin nach und hält sie bis zum Eintreffen der Polizei fest. Die Täterin versetzt dem Passanten einige Faustschläge. Der Passant hat durch sein Einschreiten die Entführung des Kindes verhindert. Welche Aussagen zu diesem Fall sind richtig?","A) Der Passant durfte die Täterin nicht festhalten, weil er selbst durch den Entführungsversuch nicht unmittelbar betroffen war ","B) Der Passant durfte das Kind aus der Gefahrenlage aufgrund des ""Rechtfertigenden Notstandes"" gemäß § 34 StGB retten ","C) Der Passant durfte die Täterin gemäß § 127 Abs. 1 StPO vorläufig festnehmen, weil er sie auf frischer Tat verfolgt hat und ihre Identität nicht sofort feststellbar war",D) Der Passant durfte den Angriff auf die Freiheit des Kindes in Nothilfe und die Faustschläge gegen sich in Notwehr gemäß § 32 StGB abwehren ,.,
37.  Welche Unfälle sind über die Berufsgenossenschaften versichert?,"A) Unfälle, die in Ausübung einer dienstlichen Tätigkeit geschehen","B)  Unfälle, die sich auf dem Weg zur Wohnung beim Einkaufen ereignen","C)  Erkrankungen, die während der Arbeitszeit auftreten und zu einer Arbeitsunfähigkeit von mindestens drei Tagen führen","D)  Unfälle, die auf dem direkten Weg von der Wohnung zur Arbeitsstätte erfolgen","E) Unfälle, die sich in der eigenen Wohnung bei der Vorbereitung auf den Dienst ereignen",.
38.  Was regelt die UVV Wach- und Sicherungsdienste über das Bereithalten und Führen von Gas- oder Schreckschusswaffen im Dienst?,"A) Wenn der Gewerbetreibende es anordnet, dürfen Sicherheitsmitarbeiter Gas- und Schreckschusswaffen im Dienst bereithalten und führen","B)  Es ist unzulässig, bei der Durchführung von Wach- und Sicherungsaufgaben Gas- oder Schreckschusswaffen bereitzuhalten und zu führen","C) Es ist zulässig, dass Sicherheitsmitarbeiter Gas- oder Schreckschusswaffen im Dienst führen, wenn sie den Kleinen Waffenschein besitzen
","D) Es ist zulässig, dass Sicherheitsmitarbeiter bei öffentlichen Veranstaltungen Gas- oder Schreckschusswaffen bereithalten und führen","E) Es ist zulässig, dass der Sicherheitsmitarbeiter Gas- oder Schreckschusswaffen im Dienst bereithält und führt, wenn sie ihm gehören",.
39. . Was muss gemäß der UVV Wach- und Sicherungsdienste bei der Übergabe von Schusswaffen beachtet werden?,A) Die Schusswaffe darf keine sichtbaren Mängel aufweisen,B)  Die Schusswaffe muss gereinigt und gepflegt sein,C) Die Schusswaffe muss geladen und entsichert sein,D) Die Schusswaffe muss entladen sein,.,
"40.  Wie können Sicherheitsmitarbeiter gemäß DGUV V23 überwacht werden, wenn sich bei ihrer Tätigkeit besondere Gefahren ergeben können?",A)  Durch persönliche Kontrollen wie Telefonanrufe,B) Durch den Dienstplan oder Arbeitsvertrag,C)  Durch automatische oder willensunabhängig arbeitende Signalgeber,D)  Durch Aufzeichnung des Dienstverlaufs im Dienstbuch,.,
41.  Wie sind Hundezwinger nach der DGUV Vorschrift 23 einzurichten?,"A)  So, dass alle Zwinger zu jeder Zeit abgeschlossen sind","B) So, dass eine Einzelhaltung aller Hunde ermöglicht wird","C) so, dass der Hinweis „Zutritt für Unbefugte verboten"" angebracht ist","D) so, dass eine Säuberung der Zwinger jederzeit stattfinden kann
",.,
"42.  was muss gemäß Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach und Sicherungsdienste, beachtet werden, wenn ein Diensthund mit verschiedenen Hundeführern eingesetzt wird?","A)   Die Hundeführer müssen den Hund abwechselnd zu Hause halten, damit sich dieser an die verschiedenen Hundeführer gewöhnt",B)  Die Hundeführer müssen eine einheitliche Kommandosprache verwenden,C) Die Hundeführer müssen den Hund gemeinsam füttern und pflegen,D) Die Hundeführer müssen täglich mit dem Hund trainieren,.,
"43. Was sind Befähigungsnachweise gemäß der Unfallverhütungsvorschrift DGUV 23, Wach- und Sicherungsdienste ?",A) Nachweis eines erfolgreichen Hauptschulabschlusses ,B) Nachweis der erforderlichen Zuverlässigkeit ,C) Nachweis der Waffensachkunde,D) Nachweis der Teilnahme am Unterrichtungsverfahren ,.,
"44. Was muss in der ""Allgemeinen Dienstanweisung"" gemäß Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beschrieben werden? ",A) Die Beschreibung von Nebentätigkeiten wie Winterdiensten.,B) Der Umgang mit Schusswaffen. ,C) Die objektspezifischen Abläufe von Zugangskontrollen und Kontrollgängen. ,D) Das Verbot berauschender Mittel. ,.,
45.  Welche behördliche Erlaubnis ist im Allgemeinen zum Erwerb und Besitz von Schusswaffen erforderlich?,A)  Die Erlaubnis wird durch den Waffenschein erteilt,B)  Die Erlaubnis wird durch die Waffenbesitzkarte erteilt,"C) Die Erlaubnis wird durch die Eintragung in eine bereits vorhandene Waffenbesitzkarte erteilt
",.,.,
46.  Wie lange ist ein Waffenschein gültig?,"A) 2 Jahre
","B) 3 Jahre
",C) Unbefristet,.,.,
47. Was sind verbotene Waffen gemäß WaffG?,A) Armbrüste,B) Signalschusswaffen,C) Stahlruten,D) Anscheinswaffen,.,
48. Welche Aussagen zu Anscheinswaffen sind gemäß WaffG richtig? ,A) Anscheinswaffen dürfen im Bewachungsgewerbe zur Abschreckung potenzieller Täter geführt werden. ,"B) Der Transport von Anscheinswaffen ist nur in einem verschlossenen Behältnis zulässig, z. B. vom Waffengeschäft zur eigenen Wohnung. ","C) Anscheinswaffen dürfen geführt werden, wenn es der Auftraggeber zur Erfüllung eines Bewachungsauftrages verlangt. ","D) Anscheinswaffen sind auch unbrauchbar gemachte Schusswaffen mit dem Aussehen von Feuerwaffen. 
",.,
"49. Im Einlassbereich einer Diskothek kommt es zwischen zwei Gästen zu einem heftigen Streit. Der Türsteher beobachtet die Situation und greift ein.
Welches Vorgehen ist richtig?","A) Trennen, Konflikt lösen, Eigensicherung beachten, Streitgrund ermitteln","B) Konflikt lösen, Streitgrund ermitteln, Eigensicherung beachten, trennen","C) Streitgrund ermitteln, Eigensicherung beachten, Konflikt lösen, trennen","D) Eigensicherung beachten, trennen, Grund ermitteln, Konflikt lösen",.,
50. Was kann die Wahrnehmungsfähigkeit beeinträchtigen?,A) Ausgeglichenheit und Konzentration,B) Wechselnde Lichtverhältnisse,C) Ruhe und Wachsamkeit,D) Krankheiten und private Sorgen,.,
"51. Ein Sicherheitsmitarbeiter beobachtet drei Personen, die über den Zaun eines Firmengeländes klettern. Eine vierte, offensichtlich dazugehörende Person kann er festhalten.
Mit welchen Worten sollte er diese Person ansprechen?","A) ""Wer bist du und was willst du eigentlich hier?""","B) ""Mein Name ist X. Ich bin vom Sicherheitsdienst Y. Bitte nennen Sie mir Ihren Namen.""","C) ""Wenn wir feststellen, dass Sie hier eine Straftat begangen haben, sieht es schlecht für Sie aus. Gestehen Sie lieber gleich!""","D) ""Sagen Sie lieber gleich die Wahrheit. Sie machen sich mitschuldig, wenn Sie eine falsche Aussage machen.""
",.,
52. Zu welcher Kommunikationsart werden Äußerlichkeiten wie Kleidung und Schmuck gezählt?,A) Zur verbalen Kommunikation,B) Zur nonverbalen Kommunikation,C) Zur paraverbalen Kommunikation,D) Zur extraverbalen Kommunikation,.,
"53. Welche Möglichkeiten gibt es, das Selbstwertgefühl eines anderen Menschen zu stärken?",A) Die Person streng und unnachgiebig behandeln,B) Gute Leistungen loben und anerkennen,C) Bei einem Fehler diesen nicht ansprechen,.,.,
54. Welche Aussage(n) zur „Frustration“ ist (sind) zutreffend?,A) Frustration ist eine Reaktion auf Stress,"B) Frustration ist ein negatives Gefühl, das bei Nichterreichen eines Zieles im Menschen entsteht",C) Die Reaktion auf eine aggressive Handlung,"D) Die Barriere, die die Zielerreichung verhindert und damit die Frustration auslöst, kann in der Realität oder in der Einbildung vorhanden sein und subjektiv als Hindernis empfunden werden",.,
55. Sicherheitsmitarbeiter haben es bei ihren Tätigkeiten in der Öffentlichkeit häufig mit Jugendlichen zu tun. Wie sollte sich der Sicherheitsmitarbeiter gegenüber Jugendlichen verhalten?,"A) Die Jugendlichen sollten daran erinnert werden, dass sie noch nichts richtig verstehen und noch viel lernen müssen",B) Die Jugendlichen sollten mit Toleranz und Respekt behandelt werden,C) Vorhaltungen und abschätzige Bemerkungen sollten unterbleiben,"D) Den Jugendlichen klarmachen, dass sie nicht nur Rechte besitzen, sondern auch Pflichten haben und sich um diese kümmern sollten",.,
"56. Wer von einer Situation überrascht wird, ist häufig reaktionsunfähig. Wie können Sie sich vor unangenehmen Überraschungen schützen?","A) Alles“ für möglich halten, mit Unvorhersehbarem rechnen",B) Selbst in einer vertrauten Umgebung auf Veränderungen achten,"C) Es bedarf keiner besonderen Vorbereitung. Wenn eine Situation überraschend ist, ist es ratsam, sich auf seine Intuition zu verlassen",D) Mit ausreichender Berufserfahrung erlebt der Sicherheitsmitarbeiter keine Überraschungen mehr,.,
"57. Eine Person signalisiert dem Beurteiler ein gewisses Maß an Zurückhaltung, wenn sie …",A) … offene Hände zeigt,B) … die Arme verschränkt,C) … aktiv zuhört,D) … die Hände geschlossen hat,E) … lächelt,
58.  Eine Großveranstaltung soll gesichert werden. Welche Schwerpunkte sollte die Einweisung in den Dienst beinhalten?,"A) Die Verhaltensgrundsätze im Umgang mit Menschenmengen
",B) Die Übertragung von hoheitlichen Befugnissen,C) Die Überprüfung von Flucht- und Rettungswegen vor und während der Veranstaltung,D) Die Bekanntgabe von Pausenzeiten,.,
59. Wie kann ein Gespräch positiv beeinflusst werden? ,"A) Durch häufiges Dazwischenfragen 
",B) Durch aktives Zuhören,C) Durch ständiges Schweigen,D) Durch Ausredenlassen,E) Durch Wegsehen und Vermeiden eines Blickkontaktes,
60.  Was ist eine Suggestivfrage?,"A) Eine Frage, bei der mehrere Antworten zur Auswahl stehen 
","B) Eine Frage, bei der eine eindeutige Stellungnahme gefordert wird","C) Eine Frage, bei der eine bestimmte Antwort nahelegt wird","D) Eine Frage, bei der eine Meinung erforscht wird",.,
61. Unter Aggressionsverschiebung versteht man allgemein …,A) aggressives Handeln gegen den Verursacher (Auslöser) der Aggression,B) aggressives Handeln nur gegen sich selbst,"C) aggressives Handeln gegen schwache Personen oder Sachen (als Ersatzobjekte), wenn der Verursacher der Aggression zu mächtig ist",.,.,
"62. Sicherheitsmitarbeiter S übernimmt Ordnungsaufgaben bei einer Wahlveranstaltung. S ist politisch interessiert.
Was sollte S im Dienst beachten?",A) S darf im Dienst zu jeder Zeit seine politische Meinung äußern. Es besteht politische Meinungsfreiheit,B) S bleibt im Dienst neutral und äußert sich deshalb nicht zur Wahlveranstaltung,C) S behält seine politische Meinung für sich,"D) S kann sich an den politischen Diskussionen beteiligen, wenn es seine Zeit zulässt",.,
63. Was kann Frustration auslösen?,A) Zufriedenheit,B) Aggression,C) Rückzug und Resignation,D) Gelassenheit,.,
"64. Ein Ladendetektiv erwischt eine Person, die er gut kennt, beim Diebstahl. Dadurch entsteht eine schwierige Situation. Wie verhält sich der Detektiv richtig?",A) Dem Detektiv ist die Situation peinlich. Er ermahnt den Dieb und lässt ihn ohne weitere Folgen gehen,"B) Der Detektiv nutzt die Gelegenheit, um seinem Bekannten zu zeigen, wie gut er seinen Job beherrscht und macht ihm vor anderen Kunden laute Vorwürfe („Na, Sie Dieb!“)",C) Der Detektiv bleibt ruhig und korrekt. Er wickelt die Angelegenheit sachlich und neutral ab,"D) Er weist den Bekannten höflich darauf hin, dass er seinen Arbeitsauftrag erfüllt",.,
65. Welche Aussagen zum Betriebsfunknetz sind richtig?,"A)   Es muss durch die zuständige Außenstelle der Bundesnetzagentur eine Genehmigung mit einer Frequenzzuteilung erfolgen
",B) Für die Einrichtung eines Betriebsfunknetzes genügt die schriftliche Anzeige an die Bundesnetzagentur,C) Die Betriebsfunkanlage muss mit dem Funknetz der örtlichen Sicherheitsbehörde kombinierbar sein,"D)  Das Betriebsfunknetz ist ein nicht öffentliches, genehmigungspflichtiges Funknetz für Sprache und Daten innerhalb eines bestimmten Einsatzgebietes
",.,
66. Wozu dienen im Wesentlichen Zutrittskontrollsysteme?,A)  Der Feststellung von Bewegungsmustern von Mitarbeitern und Besuchern,B) Der Überwachung von Fahrzeugbewegungen,"C)  Der Überwachung von Personenbewegungen
","D) Der Kontrolle der Identität und Zugangsberechtigung von Personen
",.,
67.  Mit welchen Meldern werden Innenräume überwacht?,A)  Mikrowellenschranke,B) Ultraschall-Bewegungsmelder,C) Glasbruchmelder,D)  Kapazitive Feldänderungsmelder,E) Infrarot-Bewegungsmelder,
68. Welche technische Bedingung trifft für den Betrieb von Fluchttüren (Türen von Notausgängen) zu?,A) Sie müssen mit Motorschlössern automatisch zu öffnen sein,B) Sie müssen mit der Aufschrift „Achtung Fluchtweg“ beschriftet werden,C) Sie können über ein Antipanikschloss in Fluchtrichtung geöffnet werden,.,.,
"69. In einer Halle, in der Harze und Teerrollen gelagert werden, ist ein Brand ausgebrochen. Sie beginnen mit 2 Mitarbeitern, die sich auch vor Ort befinden, mit der Brandbekämpfung. Ordnen Sie die brennbaren Stoffe ihrer Brandklasse zu.",A)  Brandklasse A,B) Brandklasse C,C)  Brandklasse B,.,.,
