Frage,a,b,c,d,e
"11. Wann ist die Videoüberwachung gemäß BDSG zulässig, sofern die schutzwürdigen Interessen der Betroffenen nicht überwiegen?",A) Wenn es der Wahrnehmung des Hausrechts dient,B) Wenn es der Aufgabenerfüllung öffentlicher Stellen dient,C) Wenn es der Überwachung der Arbeitszeiten der Beschäftigten dient,D) Wenn es der Auswertung der Arbeitsleistung der Mitarbeiter dient,.
"12. Gemäß DS-GVO ist die Verarbeitung „besonderer Kategorien personenbezogener Daten"" grundsätzlich verboten. Was sind solche Daten?",A) Gewerkschaftszugehörigkeit,"B) Name, Vorname, Geburtsdatum",C) Gesundheitsdaten,D) Anschrift des Arbeitnehmers,.
13. Eine Wachperson wird von einem herrenlosen Kampfhund angefallen. Wozu ist die Wachperson gemäß BGB berechtigt?,A) Die Wachperson darf den Hund mit eigenen Mitteln abwehren und notfalls auch töten. Rechtfertigungsgrund ist die Notwehr,B) Die Wachperson darf den Hund mit eigenen Mitteln abwehren und notfalls auch töten. Rechtfertigungsgrund ist der Verteidigungsnotstand,"C) Die Wachperson darf den Hund abwehren, weil verbotene Eigenmacht vorliegt. Rechtfertigungsgrund ist die Besitzwehr","D) Die Wachperson darf den Hund töten , auch wenn die Gefahr auf andere Weise abgewendet werden kann. Rechtfertigungsgrund ist der Aggressivnotstand",.
"14. Mit welchem Rechtfertigungsgrund ist die Abwehr einer „drohenden Gefahr"" möglich?",A) Mittels der Notwehr,B) Mittels des Verteidigungsnotstandes,C) Mittels der allgemeinen Selbsthilfe,D) Mittels des Selbsthilferechts des Besitzers,.
15. Welche der nachstehenden Aussagen werden von der Schadenersatzpflicht (§ 823 BGB) erfasst?,A) Schadenersatzpflicht entsteht nach widerrechtlichen unerlaubten Handlungen ,B) Ein Anspruch auf Schadenersatz entsteht nur bei strafbaren Handlungen ,C) Schadenersatzpflicht entsteht auch immer bei Notwehrhandlungen ,D) Die widerrechtlich unerlaubte Handlung kann vorsätzlich oder fahrlässig begangen werden ,.
16. Wann liegt verbotene Eigenmacht gemäß BGB vor?,A) Wenn einer Person ohne ihre Zustimmung widerrechtlich Besitz entzogen wird,B) Wenn eine Person ohne ihre Zustimmung in ihrem Besitz widerrechtlich gestört wird,C) Wenn eine Person ohne ihre Zustimmung widerrechtlich festgehalten wird,D) Wenn bei einer Person ohne ihre Zustimmung aufgrund der StPO eine Tatwaffe beschlagnahmt wird,.
17. Welche Aussagen zur Notwehr gemäß § 227 BGB sind richtig?,"A) Die Notwehr ist zulässig, um einen herrenlosen, aggressiven Hund abzuwehren","B) Die Notwehr ist zulässig, um den Angriff eines Menschen abzuwenden","C) Die Notwehr in Form der Nothilfe ist zulässig, wenn eine angegriffene Person um Hilfe ruft","D) Die Notwehr ist zulässig, wenn der Angreifer mindestens Jahre alt ist",.
"18. Wachperson W bewacht das Lager eines Kunden. Während eines Kontrollganges beobachtet W die Person X, die vor der Wand einer Lagerhalle steht und eine Farbspraydose hörbar schüttelt. W ist Besitzdiener. Kann W gemäß BGB eingreifen, um die Verunstaltung der Lagerhalle mit Graffiti durch X zu verhindern?","A) Ja, W kann aber erst im Sinne der allgemeinen Selbsthilfe einschreiten, wenn X begonnen hat, die Wand der Lagerhalle zu besprühen","B) Ja, W kann durch das Selbsthilferecht des Besitzdieners verhindern, dass X den Besitz des Kunden durch Graffiti stört","C) Ja, W kann den unmittelbar bevorstehenden , rechtswidrigen Angriff auf das Rechtsgut „Eigentum"" des Kunden durch Notwehr abwehren","D) Ja, W kann im Sinne des Angriffsnotstands gegen X vorgehen, um die Gefahr der Verunstaltung der Lagerhalle durch Graffiti abzuwenden",.
19. Besitzt der Besitzdiener gemäß BGB ein eigenes Selbsthilferecht?,"A) Ja. Er darf in Bezug auf den ihm überlassenen Besitz das Selbsthilferecht so anwenden, als wäre er der Besitzer","B) Nein. Er darf nur die Selbsthilferechte anwenden, die dem Besitzer zustehen. Er muss dabei die Interessen des Besitzers beachten",C) Nein. Er ist als Besitzdiener an die Weisungen des unmittelbaren Besitzers gebunden,D) Ja. Der Besitzdiener ist genauso wie der Besitzherr unmittelbarer Besitzer,.
"20. Ist eine Person, die widerechtlich das Eigentum einer anderen Person beeinträchtigt hat, gemäß BGB zum Schadensersatz verpflichtet?","A) Nein, sie ist nicht zum Schadensersatz verpflichtet, wenn eine Haftpflichtversicherung den Schaden bezahlt","B) Nein, sie ist nicht zum Schadensersatz verpflichtet, wenn sie als Wachperson gehandelt hat","C) Nein, sie ist nicht zum Schadensersatz verpflichtet, wenn sie zur Tatzeit sechs Jahre alt ist","D) Ja, sie ist zum Schadensersatz verpflichtet, z.B. in Form der Erstattung von Reparaturkosten",.
21. Welche Aussagen zur Notwehr sind gemäß § 227 BGB richtig?,"A) Ist die Notwehr rechtmäßig, besteht keine Pflicht zum Schadensersatz im Sinne der unerlaubten Handlung gemäß § 823 BGB","B) Wer sich auf die Notwehr beruft, muss begründen können, dass die Voraussetzungen der Notwehr vorlagen","C) Die Notwehr im BGB dient der Gefahrenabwehr. Dies ist der Fall, wenn ein wildes Tier einen Menschen anfällt","D) Die Notwehrhandlung ist auch dann noch zulässig, wenn der Angreifer erkennbar den Angriff beendet hat und weglaufen will",.
22. Welche Aussagen zum Grundsatz der Verhältnismäßigkeit sind richtig?,"A) Sind mehrere Mittel verfügbar, ist das mildeste Mittel zu wählen","B) Eine Maßnahme ist nur so lange zulässig, bis ihr Zweck erreicht ist","C) Es darf jedes Mittel eingesetzt werden, um den gewünschten Erfolg zu erreichen",D) Dieser Grundsatz muss nur von der Staatsgewalt beachtet werden,.
23. Welche Aussagen zum Hausrecht sind richtig?,"A) Das Hausrecht über Mieträume besitzen beide, der Vermieter und der Mieter","B) Das Hausrecht besitzt bei angemieteten Räumen nur die Person, die die Miete dafür zahlt",C) Das Hausrecht kann vom Hausrechtsinhaber auf andere übertragen werden z.B. auf Wachpersonen,"D) Das Hausrecht kann durch ein Gesetz eingeschränkt werden, z.B. durch § 29 GewO, Auskunft und Nachschau",.
24. Welche Aussagen zum Eigentum sind gemäß BGB richtig?,A) Eigentum kann allein durch Gesetze oder Rechte anderer eingeschränkt werden,B) Eigentum kann allein durch Schenkung oder Erbe erlangt werden,C) Eigentum kann mittels Notwehr gegen einen Angiff geschützt werden,"D) Eigentum kann nicht eingeschränkt werden, da es ein Grundrecht ist",.
25. Wann dürfen Wachpersonen gemäß § 127 Abs. 1 StPO eine Person vorläufig festnehmen?,A) Wenn sie Hinweise auf eine bevorstehende Straftat erhalten,B) Wenn sie einen unbekannten Straftäter auf frischer Tat verfolgen und dessen Identität nicht sofort feststellbar ist,C) Wenn sie die Vollendung einer Straftat unterbinden wollen,D) Wenn sie einen Täter bei der Verübung einer Ordnungswidrigkeit auf frischer Tat betreffen,.
"26. K betritt kurz vor Geschäftsschluss ein Kaufhaus, versteckt sich und läßt sich nach Geschäftsschluss einschließen. Nach einer Weile hat er verschiedene Elektroartikel in seinem Rucksack verstaut und will das Kaufhaus verlassen. Kaufhausdetektiv P stellt K und verhindert, dass K mit der Beute flüchtet. P hält K bis zum Eintreffen der alarmierten Polizei fest. Auf welche Rechtfertigungsgründe kann P sein Einschreiten stützen?",A) Auf die vorläufige Festnahme gemäß § 127 Abs. 1 StPO,B) Auf den rechtfertigenden Notstand gemäß § 34 StGB,C) Auf den entschuldigenden Notstand gemäß § 35 StGB,D) Auf die Notwehr gemäß § 32 StGB,.
27. Was sind Merkmale des Betruges gemäß § 263 StGB?,A) Täuschung einer anderen Person über Tatsachen,B) Vermögensschaden,C) Herstellen einer unechten Urkunde,D) Nötigungsmittel wie Androhung von Gewalt,.
28. Eine Person führt einen amtlichen Dienstausweises  und verlangt Auskünfte über einen Geschäftsbetrieb . Macht sich die Person strafbar?,"A) Ja, wegen Betrug (§ 263 StGB)","B) Ja, wegen Urkundenfälschung (§ 267 StGB)","C) Ja, wegen Amtsanmaßung (§ 132 StGB)","D) Ja, wegen Mißbrauch von Ausweispapieren (§ 281 StGB)",.
"29. Der 25-jährige K durchtrennt mit einem Bolzenschneider ein stabiles Bügelschloß, das ein 500 Euro teures Rennrad gegen Wegnahme sichert. Anschließend fährt K mit dem Fahrrad weg. K behält das Fahrrad. Welche Aussage ist gemäß StGB richtig?",A) K kann wegen Unterschlagung gemäß § 246 StGB bestraft werden,"B) K kann wegen Diebstahls geringwertiger Sachen gemäß §§ 242 , 248a StGB bestraft werden","C) K kann wegen eines besonders schweren Falls des Diebstahls gemäß §§ 242, 243 StGB bestraft werden",D) K hat auch den Straftatbestand der Sachbeschädigung gemäß § 303 StGB erfüllt,.
"30. Türsteher T sieht, wie auf der anderen Straßenseite eine Person von zwei Jugendlichen verprügelt wird. Wie handelt T rechtlich korrekt?",A) T verlässt seinen Arbeitsplatz und hilft der angegriffenen Person in Nothilfe,"B) T verständigt telefonisch die Polizei, während er sich weiter um die Einlasskontrolle kümmert",C) T erfüllt die Aufgaben gemäß seiner Dienstanweisung und übersieht mit Absicht den Vorfall. Er darf seinen Arbeitsplatz nicht verlassen,D) T muss der angegriffenen Person helfen. Ansonsten verletzt er seine Garantenstellung,.
"31. Einer Person ist auf dem Heimweg ein Buch aus der Tasche gefallen. Als die Person den Verlust des Buchs bemerkt, kann sie sich nicht erinnern, wo ihr das Buch abhandengekommen ist. Ein Passant, der das Buch auf einem Fußweg entdeckt, nimmt es an sich, um es zu behalten. Welche Aussage zu diesem Fall ist richtig?",A) Der Passant hat sich wegen Betruges strafbar gemacht,B) Der Passant hat sich wegen Diebstahls strafbar gemacht,C) Der Passant hat sich wegen Unterschlagung strafbar gemacht,D) Der Passant hat sich nicht strafbar gemacht,.
"32. Schwere Körperverletzung liegt vor, wenn durch eine vorsätzlich begangene Körperverletzung gemäß §§ 223, 226 StGB bestimmte Folgen eingetreten sind. Bei welchen Verletzungen liegt eine schwere Körperverletzung vor?",A) Ein ausgeschlagener Backenzahn,B) Verlust des Sehvermögens auf einem Auge,C) Vorübergehende Schwellung eines Auges,D) Verlust eines Armes,.
33. Wann liegt Diebstahl gemäß § 242 StGB vor?,"A) Wenn eine Person aus einem Museum besonders schutzwürdige Sachen stiehlt, z.B. historische Waffen",B) Wenn eine Person einen Wandtresor aufbricht und den darin befindlichen wertvollen Schmuck stiehlt,C) Wenn eine Person in Diebstahlsabsicht in einem Juweliergeschäft mit Zueignungsabsicht eine goldene Armbanduhr an sich nimmt und in ihrer Kleidung versteckt,.,.
34. Wann liegt Hausfriedensbruch gemäß StGB vor?,A) Ein flüchtender Räuber übersteigt einen Werkszaun und versteckt sich auf dem Werksgelände,B) Eine Person ist während eines Kinobesuchs eingeschlafen und wacht zwei Stunden nach Ende des Films wieder auf,"C) Ein Kunde verweilt über die Öffnungszeiten hinaus im Kaufhaus und entfernt sich nicht, obwohl er dazu vom Kaufhausdetektiv aufgefordert wird","D) Eine Person betritt einen Supermarkt mit der Absicht zu stehlen. Sie verlässt kurz darauf das Geschäft, ohne etwas gestohlen zu haben",.
35. Was gehört zum Deliktaufbau eines Straftatbestandes?,A) Tatbestandsmäßigkeit,B) Personenschaden und Sachschaden,C) Rechtswidrigkeit und Schuld,D) Garantenstellung,.
36. Welche Aussagen zur Freiheitsberaubung gemäß § 239 StGB sind richtig?,A) Der Tatbestand schützt die persönliche Bewegungsfreiheit und die allgemeine Handlungsfreiheit des Einzelnen,"B) Tatopfer kann jeder Mensch sein, der in der Lage ist, seinen Aufenthaltsort nach Belieben zu verändern","C) Freiheitsberaubung ist nur durch Einsperren eines Menschen möglich, z .B. durch Einschließen in einen Raum",D) Bei der Freiheitsberaubung ist nur die vollendete Tat strafbar. Der Versuch ist straflos,.
"37. Wer handelt ordnungswidrig gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?","A) Der Bewachungsgewerbetreibende, wenn er das Verhalten des Wach- und Sicherungspersonals nicht durch Dienstanweisungen regelt","B) Das Wach- und Sicherungspersonal, wenn es als Brillenträger der Pflicht nicht nachkommt, die Brille gegen Verlieren zu sichern","C) Das Wach- und Sicherungspersonal, wenn es während der Dienstzeit alkoholische Getränke zu sich nimmt","D) Das Wach- und Sicherungspersonal, wenn es unterlässt, durch Anlegen der Ausrüstungsgegenstände für ausreichende Bewegungsfreiheit zu sorgen",.
"38. Was sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, sogenannte „Nebentätigkeiten""?",A) Empfangs- und Pfortendienst,B) Lagerarbeiten,C) Alarmverfolgung,D) Gartenarbeiten,.
39. Was sind Maßnahmen der persönlichen Eigensicherung?,A) Die Beachtung von Gebots- und Verbotszeichen,B) Das Tragen bequemer Lederschuhe bei allen Sicherungsaufgaben,C) Das Benutzen von explosionsgeschützten Handleuchten in Räumen mit erhöhter Explosionsgefahr,"D) Die jährliche Funktionskontrolle technischer Hilfsmittel, die im täglichen Dienst verwendet werden",.
"40. Unter welchen Voraussetzungen darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, das Wach- und Sicherungspersonal mit Schusswaffen ausgerüstet werden?","A) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es einmal monatlich an der Waffe ausgebildet wird",B) Der Bewachungsgewerbetreibende muss die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen ausdrücklich anordnen,"C) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es das 21. Lebensjahr vollendet hat","D) Das Wach- und Sicherungspersonal muss nach dem Waffengesetz zuverlässig, geeignet, sachkundig sowie an der Waffe ausgebildet sein",.
"41. Welche Aussagen zur Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, sind richtig?",A) Sie gilt für Wach- und Sicherungstätigkeiten zum Schutzen von Personen und Sachwerten,"B) Sie schreibt vor, dass das Wach- und Sicherungspersonal nur mit Ausrüstungsgegenständen ausgerüstet werden darf, die sich auf dem neuesten technischen Stand befinden","C) Sie bestimmt , dass das Wach- und Sicherungspersonal im Dienst Gasschuss- waffen führen darf, wenn es über den „Kleinen Waffenschein "" verfügt",D) Sie soll einer Überforderung des Wach- und Sicherungspersonals entgegenwirken,.
"42. Das Wach- und Sicherungspersonal muß gemäß der Unfallverhütungsvorschritt DGUV Vorschrift 23, Wach- und Sicherungsdienste, in Wachobjekte eingewiesen werden. Welche Aussagen zur Objekteinweisung sind richtig?","A) Der Unternehmer muß dafür sorgen, dass das Wach- und Sicherungspersonal in das Wachobjekt und in die spezifischen Gefahren eingewiesen wird","B) Der Unternehmer muß dafür sorgen, dass das Wach- und Sicherungspersonal immer zur Tageszeit eingewiesen wird","C) Der Unternehmer kann auf die Objekteinweisung verzichten, wenn das Wach- und Sicherungspersonal über ausreichend Berufserfahrung verfügt. Ansonsten genügt eine Objekteinweisung alle zwei Jahre","D) Der Unternehmer muß das Wach- und Sicherungspersonal über das Verhalten bei der Begegnung mit Diensthunden einweisen lassen, wenn im Wachobjekt diese Hunde eingesetzt werden",.
"43. Wofür sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, besondere Befähigungsnachweise für Wach- und Sicherungstätigkeiten erforderlich?",A) Für das Führen von Diensthunden,B) Für das Begleiten von Besuchern,C) Für die Durchführung von Eingangskontrollen,D) Für das Führen von Schusswaffen,.
"44. Was sind „Sicherungstätigkeiten mit besonderen Gefahren und Konfrontations- potential"" gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A) Der Sicherungs- und Kontrolldienst in einem Warenlager,B) Der Sicherungs- und Ordnungsdienst in Diskotheken,C) Der Sicherungs- und Kontrolldienst in einem Verwaltungsgebäude,"D) Der Sicherungs- und Kontrolldienst im öffentlichen Nah-, Fern- und Flugverkehr",.
45. Wann ist der Einsatz einer Schusswaffe meldepflichtig?,A) Jeder Schusswaffeneinsatz ist meldepflichtig,"B) Nur dann, wenn es zur Verletzung einer Person gekommen ist",C) Nur wenn es in der Dienstanweisung steht,"D) Nur dann, wenn eine Sache beschädigt oder zerstört worden ist",.
46. Welche Aussagen zu Anscheinswaffen sind gemäß WaffG richtig?,A) Anscheinswaffen dürfen im Bewachungsgewerbe zur Abschreckung potenzieller Täter geführt werden,"B) Anscheinswaffen sind Waffen, die ihrer äußeren Form nach den Anschein von Feuerwaffen hervorrufen und bei denen zum Antrieb der Geschosse keine heißen Gase verwendet werden","C) Anscheinswaffen dürfen geführt werden, wenn es der Auftraggeber zur Erfüllung eines Bewachungsauftrages verlangt",D) Anscheinswaffen sind auch unbrauchbar gemachte Schusswaffen mit dem Aussehen von Feuerwaffen,.
47. Eine Wachperson führt eine Schusswaffe. Welche gültigen Dokumente muss sie gemäß WaffG mitführen?,A) Waffenbesitzkarte,B) Personalausweis oder Pass,C) Waffenschein,D) Firmenausweis,E) Kopie der Dienstanweisung
"48. Was sind „Allgemeine Bestimmungen"" des WaffG?",A) Das WaffG regelt den Umgang mit Waffen oder Munition unter Berücksichtigung der Belange der öffentlichen Sicherheit und Ordnung,"B) Umgang mit einer Waffe oder Munition hat, wer diese erwirbt , besitzt, überlässt, führt, verbringt, mitnimmt, damit schießt, sie herstellt, bearbeitet, instand setzt oder damit Handel treibt","C) Der Umgang mit Waffen oder Munition ist nur Personen gestattet, die das 25. Lebensjahr vollendet haben","D) Bei der Beantragung einer Waffenbesitzkarte muss eine Haftpflichtversicherung in Höhe von 1 Million Euro, pauschal für Personen- uns Sachschäden, nachgewiesen werden",.
49. Was sollte bei der Kommunikation mit Geflüchteten beachtet werden?,A) Fragen stellen und aktiv zuhören,B) Bei Schwierigkeiten Ordnungsregeln in jedem Fall durchsetzen,C) Ausschließlich auf der Sachebene kommunizieren,"D) Eigene Werte transparent machen, ohne dabei zu belehren",.
50. Was sollten Wachpersonen bei der vorläufigen Festnahme im Rahmen der Eigensicherung beachten?,A) Keine Festnahme ohne Durchsuchung. Vor der Durchsuchung den Täter fesseln,B) Die Hände des Täters konzentriert beobachten,C) Kein unnötiges Risiko eingehen und rechtzeitig Verstärkung anfordern,"D) Dem Täter mit den Worten „Sie müssen mal mitkommen!"" die Festnahme ankündigen",.
51. Welche nonverbalen Signale können eine Konfliktsituation entspannen?,A) Verschränkte Arme,B) Zustimmendes Lächeln,C) Zorniger Gesichtsausdruck,D) Offene Arme,.
52. Türsteher T kontrolliert Gast G im Einlassbereich einer Diskothek. Wie sollte sich T verhalten?,A) T baut sich vor G auf und demonstriert Stärke und Überlegenheit,B) T respektiert die Intimzone von G und hält ausreichenden Abstand,C) T steht mit gesenktem Kopf und hängenden Schultern vor G,D) T lehnt entspannt am Eingang und bittet G um eine Zigarette,.
53. Welche Verhaltensweisen sind oft bei Jugendlichen zu beobachten?,A) Sie bilden gerne Gruppen,B) Sie handeln selten spontan,C) Sie sind schnell zu begeistern,D) Sie handeln stets beherrscht und kontrolliert,.
54. Wann verläuft ein Gespräch positiv?,A) Wenn ein Gesprächspartner dominant auftritt,B) Wenn der Blickkontakt zum Gesprächspartner vermieden wird,C) Wenn ein Gesprächspartner oft unterbrochen wird,D) Wenn sich die Gesprächspartner ausreden lassen,.
"55. Welche Aussage über das Verhalten einer Einzelperson in Gruppen, Mengen oder Massen ist richtig?","A) In der Gruppe, Menge oder Masse fühlt sich die Einzelperson unterlegen und hält sich mit eigenen Aktivitäten zurück","B) Eine Person verhält sich immer gleich. Es ist egal, ob sie allein oder Mitglied einer Gruppe ist oder sich in einer Menge oder Masse befindet","C) In der Anonymität der Gruppe, Menge oder Masse lassen sich Einzelpersonen oft zu Handlungen verleiten, die sie sonst unterlassen würden","D) Das Verhalten einer Person in einer Gruppe ist unberechenbar, sie unterwirft sich spontanen Gruppenregeln und passt sich stets an",.
56. Welches Verhalten kann bei aggressiven Personen beobachtet werden?,A) Sie sind in ihren Aktionen gehemmt,B) Sie sind oft gewalttätig,C) Sie sind leicht zu überzeugen und zeigen sich verständnisvoll,D) Sie reagieren eher gefühlsmäßig,.
57. Mitarbeitergespräche sind ein wichtiges Instrument zur Mitarbeiterführung. Welche Grundsätze gelten für solche Gespräche?,A) Der Vorgesetzte lädt die Mitarbeiter frühzeitig zum Gespräch ein,C) Der Vorgesetzte spielt seine größere Gesprächserfahrung und Position aus,C) Der Vorgesetzte informiert die Mitarbeiter vorher nicht über den Gesprächsanlass,D) Der Vorgesetzte fasst am Ende des Gesprächs die Ergebnisse kurz zusammen,.
58. Welche Präventivmaßnahmen können das Ausmaß einer Panik begrenzen?,A) Gut geschultes und ausgebildetes Personal einsetzen,B) Mobile Lautsprecheranlagen bereitstellen,"C) Notausgänge geschlossen halten, damit Unbefugte keinen Zutritt erhalten",D) Mittel der Eigensicherung wie Reizstoffsprühgeräte bereithalten,.
59. Welche Aussagen über den ersten Eindruck sind richtig?,A) Er entsteht unbewusst in Bruchteilen einer Sekunde,"B) Er ist immer richtig, wenn der Beobachter eine gute Menschenkenntnis besitzt",C) Er ist ein rationaler Vorgang und vermittelt so einen Gesamteindruck über den Charakter einer Person,D) Er kann Erinnerungen wecken und so den Umgang mit dem Gegenüber beeinflussen,.
60. Was können Minderwertigkeitsgefühle bewirken?,"A) Sie stärken die Fähigkeit, verständnisvoll mit anderen Menschen umzugehen",B) Sie können die Urteilsfähigkeit stärken,C) Sie können Depressionen auslösen,D) Sie können zur Resignation führen,.
"61. Mehrere Erwachsene nähern sich dem Einlass einer Veranstaltung. Sie unterhalten sich lautstark, einige stoßen sich freundschaftlich an. Welche Einschätzung dieser Situation ist wahrscheinlich richtig?",A) Die Gruppe stellt eine Gefahr dar. Es droht eine Eskalation der Situation. Der Zugang ist zu unterbinden,"B) Die Gruppe stellt allem Anschein nach keine Gefahr dar. Sie ist offensichtlich gut gelaunt. Es reicht aus, die Erwachsenen zu beobachten",C) Die Gruppe stellt eine Gefahr dar. Auf freundschaftliches Schubsen folgt immer eine handgreifliche Auseinandersetzung,"D) Die Gruppe stellt eine Gefahr dar, weil die körperliche Unversehrtheit anderer Besucher gefährdet ist",.
"62. Welches Verhalten ist Wachpersonen zu empfehlen, wenn ihr Gegenüber aggressiv ist?",A) Spontan mit Gegenaggressionen reagieren,B) Auf die Eigensicherung achten,C) Eigenen Gefühlen freien Lauf lassen,D) Mit Entschlossenheit und Selbstsicherheit auftreten,.
63. Was kann die Lösung von Konflikten unterstützen?,A) Ausdauernde Geschwätzigkeit,B) Diplomatisches Geschick,C) Geduldiges Zuhören,D) Besserwisserei,.
64. Welche Äußerungen können den Gesprächspartner provozieren?,"A) „Entschuldigen Sie mal, aber so einen Blödsinn habe ich noch nie gehört!""","B) „Bitte lassen Sie uns über das Problem reden.""","C) „Verstehen Sie mich bitte nicht falsch, ich wollte Sie nicht belehren.""","D) „Was Sie da sagen, ist doch grober Unfug!""",.
