Frage,a,b,c,d,e,
33. Auf welchen allgemeinen staatsrechtlichen Grundsatz stützt sich die Notwehr?,A) „Das Recht braucht dem Unrecht nicht zu weichen.“,B) „Der Schwächere muss dem Stärkeren weichen.“,C) „Gleiches mit gleichem vergelten.“,"D) „Auge um Auge, Zahn um Zahn.“",.,
"34.  Der Hausfriedensbruch (§ 123 Strafgesetzbuch) schützt bestimmte Örtlichkeiten vor  unbefugtem Betreten bzw. Verweilen. Welcher geschützten Örtlichkeit werden z.B.  Bahnhofshallen, Schnellbahnen und Untergrundbahnen zugerechnet? ",A)  Wohnung,B) Geschäftsraum,C) Befriedetes Besitztum,"D) Abgeschlossene Räume, welche zum öffentlichen Dienst bestimmt sind","E) Abgeschlossene Räume, welche zum öffentlichen Verkehr bestimmt sind",.
35.  Welches Ziel hat die vorläufige Festnahme gemäß § 127 (1) StPO?,A)   Es sollen Schadenersatzansprüche gesichert werden,B) Es soll die Strafverfolgung durch Polizei und Justiz ermöglicht werden,C) Dem Täter soll an Ort und Stelle das Unrechte seines Handelns erklärt werden,.,.,
36.  Durch einen Schlag ins Gesicht hat ein Angegriffener auf dem rechten Auge sein Sehvermögen verloren. Welches der nachstehenden Körperverletzungsdelikte kommt hierfür in Betracht? ,A) Körperverletzung gemäß § 223 Strafgesetzbuch,B)  Gefährliche Körperverletzung gemäß § 224 Strafgesetzbuch,C) Schwere Körperverletzung gemäß § 226 Strafgesetzbuch,"D) Fahrlässige Körperverletzung gemäß § 229 Strafgesetzbuch 
",.,
"37. Bei der Übergabe von Schusswaffen muss gemäß DGUV V23 beachtet werden, ...",A)  dass die Schusswaffe keine sichtbaren Mängel aufweist,B) dass die Schusswaffe gereinigt und gepflegt ist,C)  dass die Schusswaffe schussbereit ist,D)  dass die Schusswaffe entladen ist,.,
"38.  Was sind Befähigungsnachweise gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A)  Nachweis eines erfolgreichen Hauptschulabschlusses,B) Nachweis eines beliebigen erfolgreichen Berufsabschlusses,C) Nachweis der Waffensachkunde,D) Nachweis der Teilnahme am Unterrichtungsverfahren,.,
"39. Unter welchen Voraussetzungen darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, das Wach- und Sicherungspersonal mit Schusswaffen ausgerüstet werden? ","A) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es einmal monatlich an der Waffe ausgebildet wird.",B) Der Bewachungsgewerbetreibende muss die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen ausdrücklich anordnen,"C) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es das 21. Lebensjahr vollendet hat. ","D) Das Wach- und Sicherungspersonal muss nach dem Waffengesetz zuverlässig, geeignet, sachkundig sowie an der Waffe ausgebildet sein. ",.,
"40. Was bestimmt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, zur Dienstanweisung?","A) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal anhand der Dienstanweisung vor Aufnahme der Tätigkeit und darüber hinaus regelmäßig unterwiesen wird","B) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal jährlich arbeitsmedizinisch untersucht wird","C) Dass der Gewerbetreibende dafür sorgen muss, dass in der speziellen Dienstanweisung Umfang und Ablauf von Nebentätigkeiten schriftlich festgelegt ist. ","D) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal im Gefahrenfall Weisungen des Auftraggebers befolgen muss, auch wenn diese der Arbeitssicherheit widersprechen.",.,
41.  Ein Sicherheitsmitarbeiter hat sich verletzt und ist eine Woche arbeitsunfähig. Woran ist zu denken? ,A) Es genügt ein Eintrag in das Verbandbuch ,B) Es genügt die Unfallanzeige an den Unfallversicherungsträger ,C)  Es muss ein Eintrag in das Verbandbuch erfolgen sowie eine Unfallanzeige an den Unfallversicherungsträger,"D) Es genügt, wenn der Hausarzt aufgesucht wird",.,
"42.  Was ist eine Berufsgenossenschaft, z.B. die Verwaltungs-Berufsgenossenschaft? ",A)  Gesetzlicher Unfallversicherungsträger,B)  Gewerkschaft,C) Eingetragener Verein ,.,.,
43. Von welchem Personenkreis dürfen Wach- und Sicherungstätigkeiten durchgeführt werden?,A)  Von den zuverlässigen Personen ab dem 18. Lebensjahr ,B) Nur von Personen mit Wacherfahrung,"C) Nur von Personen, die die Sachkundeprüfung erfolgreich abgelegt haben
",D)  Nur von Personen ohne gesundheitliche Einschränkung,.,
"44. Nach der DGUV-V A1 müssen Vorkehrungen getroffen werden, damit nach einem Unfall sofort an Ort und Stelle Erste Hilfe geleistet und eine erforderliche ärztliche Versorgung veranlasst werden kann. Demnach muss grundsätzlich jeder Unternehmer ...",A)  …insbesondere Erste-Hilfe-Material zur Verfügung stellen,B) …unter Berücksichtigung betrieblicher Verhältnisse Meldeeinrichtungen installieren und einen AIarmplan erstellen,C) …jedem Mitarbeiter ein Mobiltelefon für die mögliche Alarmierung eines Notarztes zur Verfügung stellen,"D) …einen Betriebsarzt bestellen, unabhängig von der Zahl der Belegschaft und der Art des Betriebes",.,
"45. Wann liegt gemäß § 28 WaffG ein Bedürfnis zum Besitz und Führen von Schusswaffen im Bewachungsgewerbe vor? 
Wenn glaubhaft gemacht wird, dass ...","A)  zur Sicherung einer gefährdeten Person Schusswaffen erforderlich sind
",B) bei der Bewachung eine erhebliche Gefährdung des Bewachungspersonals besteht,C) zur Sicherung eines gefährdeten Objekts Schusswaffen erforderlich sind,D) der Auftraggeber auf einer Bewaffnung des Bewachungspersonals besteht,.,
46.  Wozu berechtigt der Waffenschein gemäß WaffG?,A) Zum Erwerb von Schusswaffen. ,B) Zum Führen von halbautomatischen Pistolen. ,C) Zum Erwerb von Munition. ,D) Zum Besitz von Waffen. ,.,
47.  Die Anzeigepflicht nach Erwerb von Schusswaffen wird im Waffengesetz wie folgt geregelt:,"A)  Nur der Waffenhändler ist verpflichtet, den Verkauf bei der zuständigen Behörde anzuzeigen
",B) Der Besitzer braucht den Erwerb nicht anzuzeigen. Durch die Eintragung der Schusswaffen in die Waffenbesitzkarte ist der Besitz legitimiert,C) Der Besitzer hat innerhalb von zwei Wochen der zuständigen Behörde den Erwerb schriftlich anzuzeigen,.,.,
"48.  Was muss eine Person gemäß WaffG tun, wenn sie eine Schusswaffe von einem Waffenhändler erworben hat?",A)  Der Erwerb muss innerhalb von zwei Wochen der Erlaubnisbehörde angezeigt werden. Zusätzlich muss die Waffenbesitzkarte vorgelegt und der Name und die Anschrift des Waffenhändlers angegeben werden,B) Der Erwerb muss innerhalb von einer Woche der Erlaubnisbehörde gemeldet werden. Zusätzlich muss die Waffenbesitzkarte vorgelegt und der Hersteller der Waffen genannt werden,C) Der Erwerb muss innerhalb von vier Wochen der Erlaubnisbehörde gemeldet werden. Zusätzlich muss die Waffenbesitzkarte vorgelegt und das Bedürfnis für den Erwerb der Waffe begründet werden,.,.,
49. Welche Aussage zur selektiven Wahrnehmung ist richtig?,A) Alle negativen und positiven Informationen über Personen oder Situationen werden wahrgenommen,"B) Wichtige Informationen werden immer gleich wahrgenommen. Stimmungen, Gefühle oder Erwartungen haben keinen Einfluss","C) Nur die diejenigen Informationen werden wahrgenommen, die für die wahrnehmende Person von Bedeutung und Interesse sind",D) Es werden ausschließlich bewusst gemachte Informationen wahrgenommen,.,
"50. Welche Äußerungen sind angemessen, um auf ein bestehendes Rauchverbot hinzuweisen?","A) ""Wenn Sie die Zigarette nicht sofort ausmachen, werde ich ärgerlich!""","B) ""Wie bitte? Können Sie nicht lesen, hier ist Rauchverbot!""","C) ""Bitte beachten Sie das hier geltende Rauchverbot!""","D) ""In diesem Bereich herrscht Rauchverbot. Bitte machen Sie die Zigarette aus!""",.,
51. Was können Gründe für eine erhöhte Risikobereitschaft bei Jugendlichen sein?,A) Vorurteile,B) Gruppendynamik,"C) Wunsch, die eigenen Grenzen auszutesten",D) Grundbedürfnisse,.,
"52. Welche Ansichten zum ""Selbstwertgefühl"" sind richtig? ",A) Das Selbstwertgefühl ist das Ergebnis einer Selbstbewertung ,B) Das Selbstwertgefühl ist unabhängig von der Wertschätzung anderer,C) Das Selbstwertgefühl ist eine Selbstbewertung in der Auseinandersetzung mit sich selbst und dem Umfeld ,D) Das Selbstwertgefühl wird allein durch die Erziehung geprägt,.,
53. Was empfehlt sich für den Umgang mit aggressiven Personen? ,A) Ruhig und bestimmt auftreten ,B) Unbeherrscht auftreten ,C) Nachgiebig sein ,D) Eigensicherung beachten,.,
54. Wann ist eine Person tolerant? ,A) Wenn sie andere Menschen wegen ihres Aussehens ablehnt ,B) Wenn sie die Verhaltensweisen anderer Menschen respektiert,C) Wenn sie die Ansichten anderer Menschen mit allen Mitteln bekämpft,D) Wenn sie die Ansichten und Meinungen anderer Menschen achtet ,.,
55. Sie sind als Sicherheilsmitarbeiter bei einer Aktionärsversammlung eingesetzt. Die Versammlung verläuft ruhig. Wie soll Ihr Verhalten gegenüber den Anwesenden sein?,A) aggressiv,B) unterwürfig,C) freundlich,D) kompetent,E) schüchtern,
56. Häufige Ursache(n) einer Aggression kann / können sein ...,A) eine gesteigerte Reaktion auf Frustration,B) eine Reaktion auf den ersten Eindruck,"C) ständiger starker Hunger, Durst, Übermüdung",D) sachlich vorgetragene Kritik,.,
57. Unter Aggressionsverschiebung versteht man allgemein ...,A) aggressives Handeln gegen den Verursacher (Auslöser) der Aggression,B) aggressives Handeln gegen sich selbst,"C) aggressives Handeln gegen schwache Personen oder Sachen (als Ersatzobjekte), wenn der Verursacher der Aggression zu mächtig ist",.,.,
"58. Vereinfacht bezeichnet man ,,Kommunikation"" als den…",A) Austausch von Emotionen,B) Austausch von schriftlichen Nachrichten,C) Austausch von Worten,D) Austausch von Botschaften (Nachrichten) zwischen einem Sender und einem Empfänger,.,
"59. Wie sollte einer Person, die ungehalten und aufgebracht reagiert, begegnet werden?",A) Freundschaftlich,B) Besonnen,C) Sanftmütig,D) Nachgiebig,E) Beschwichtigend,
"60. Der Sicherheitsmitarbeiter verhindert das Entstehen von Konflikten, wenn er ...",A) bestehende Regeln und Vorschriften immer durchsetzt,B) in jeder Situation kompromisslos auftritt,C) auf jede Situation angemessen reagiert und seinen Handlungsspielraumbnutzt,D) sich jederzeit auf seine Jedermannsrechte beruft und diese anwendet,.,
61. Was können Gründe für Risikobereitschaft und Leichtsinn bei Jugendlichen sein?,A) Unsicherheit und Angst sollen überspielt werden,B) Das eigene Ansehen in der Gruppe soll gesteigert werden,C) Die körperlichen Fähigkeiten sollen trainiert werden,.,.,
62. Was sollte der Sicherheitsmitarbeiter während einer Befragung beachten?,"A) Nur zum Schein Versprechungen machen, die er nicht halten kann",B) Sachlich präzise Fragen stellen,C) Mit Nachdruck Antworten erzwingen,D) Neutralität im Gespräch wahren,.,
"63. Woran ist erkennbar, dass eine Person wenig Selbstwertgefühl besitzt?",A) Sie weicht nach Möglichkeit jeder Konfliktsituation aus,B) Sie ist von sich überzeugt und will überall im Mittelpunkt stehen,C) Sie ist ängstlich und kann sich nicht durchsetzen,"D) Sie hat keine Hemmungen, andere Personen anzusprechen",.,
64. Welche Aussagen über die Körpersprache sind richtig?,"A) Körpersprache ist nicht leicht zu deuten, da sie mehrdeutig sein kann",B) Körpersprache ist meist unbewusst und spontan,"C) Körpersprache ist einfach zu verstehen, weil sie zum größten Teil entschlüsselt wurde",D) Körpersprache schafft immer Sympathien,.,
"65. Welche Komponente gehört nicht zu einer Brandmeldeanlage
","A) Brandmeldezentrale (BMZ)
",B) Stromversorgung,C) Rauchmelder,D) Scharfschalteinrichtung,E) Handfeuermelder,
66. Welche Grundsätze der Brandbekämpfung sind richtig?,A) Den Löschstrahl möglichst gegen die Windrichtung einsetzen,B)  Möglichst mit mehreren Personen und Löschern gleichzeitig löschen,"C) Löschmittel bei Flüssigkeitsbränden direkt in die Flüssigkeit halten
","D) Benutzte Feuerlöscher nach einer Brandbekämpfung ersetzen
",.,
67. Welche Maßnahmen gehören zum organisatorischen vorbeugenden Brandschutz? ,A) Das Aufstellen einer Brandschutzordnung ,B) Der Einbau von schwer entflammbarem Material,C) Die Erkennung und Bekämpfung von Bränden ,D) Die Planung von Brandschutzkontrollen ,.,
68. Worauf müssen Wachpersonen bei der Kontrolle von Fluchtwegen und Fluchttüren in einem Sicherungsobjekt achten? ,A) Dass auf den Fluchtwegen abgestellte Gegenstände im Notfall schnell weggeräumt werden können ,B) Dass sich die Notausgangstüren in Fluchtrichtung öffnen lassen ,C) Dass die Schlüssel für Notausgangstüren in einem Schlüsselkasten bereitgehalten werden,D) Dass die vorhandene Sicherheitsbeleuchtung intakt ist ,.,
69. Was sind Gefahrenmeldeanlagen?,A)  Telefonanlagen,B) Einbruchmeldeanlagen,"C) Schließanlagen
",D)  Überfallmeldeanlagen,.,
70.  Welche brennbaren Stoffe werden der Brandklasse F zugeordnet?,A)  Speiseöl,B) Frittierfett,"C) Benzin
",D)  Alkohol,.,
71.  Welche biometrischen Identifikationsverfahren können in modernen Zutrittskontrollsystemen verwendet werden?,"A)  Überfallcode
",B) Handflächenerkennung,C) Persönliche Identifikationsnummer,"D) Gesichtsfelderkennung
",.,
"72.  Welche Vorteile bietet drahtlose Kommunikationstechnik gegenüber der drahtgebundenen Technik?
",A)  Sehr große Reichweiten,B) Schneller Rufaufbau,C) Kaum Möglichkeiten des Mithörens,D)  Freie Wahl eines Standorts,.,
